League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Manchester City,Galatasaray,1.55,3.0,6.95,1.21,7.5,11.73,1.16,4.9,1.85,1.95,3.54,1.25,1.01,29.0,1.02,7.7,1.26,3.4,1.7,2.19,1.08,0.0,4.35,1.86,1.43,2.14,1.51,3.65,1.1,14.5,6.25,1.24,3.46,1.41,2.57,1.76,1.97,2.19,1.66,2.83,1.37
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Monaco,Juventus,3.88,2.14,2.7,3.31,3.45,2.23,1.34,3.31,2.44,1.51,5.75,1.08,1.05,14.3,1.21,4.61,1.77,2.16,1.57,2.3,1.3,0.0,1.33,1.29,1.71,1.65,1.97,3.62,2.49,6.5,1.84,1.32,3.05,1.59,2.26,2.26,1.8,2.45,1.47,3.25,1.27
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Arsenal,Kairat,1.22,4.33,23.0,1.01,11.0,46.0,1.1,5.6,1.66,2.28,2.88,1.36,1.0,34.0,1.02,7.9,1.13,4.6,2.88,1.37,1.01,0.0,8.5,3.0,0.87,1.85,1.24,3.09,1.01,24.0,15.0,1.36,2.9,1.57,2.17,2.05,1.72,2.6,1.43,3.5,1.22
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Napoli,Chelsea,3.3,2.2,2.8,3.35,3.65,2.11,1.33,3.12,2.56,1.47,5.5,1.07,1.0,12.7,1.25,3.86,1.75,2.1,1.65,2.15,1.3,0.0,1.36,1.14,1.86,1.42,1.72,3.14,1.98,6.35,1.92,1.34,2.95,1.6,2.2,2.31,1.78,2.55,1.45,3.32,1.26
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Ajax,Olympiakos Piraeus,3.25,2.25,2.65,2.75,3.5,2.31,1.26,3.55,2.38,1.58,5.2,1.13,1.03,16.0,1.19,4.97,1.68,2.3,1.5,2.5,1.57,0.0,1.4,0.86,1.14,1.13,1.54,2.67,2.35,8.0,1.8,1.28,3.15,1.53,2.35,1.89,1.85,2.43,1.51,3.12,1.31
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Atlético Madrid,FK Bodo - Glimt,0.0,0.0,0.0,1.44,5.49,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.0,1.67,1.53,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,PSV,Bayern München,4.4,2.56,1.87,5.0,4.8,1.55,1.17,4.7,1.93,1.92,3.5,1.24,1.01,27.0,1.08,7.5,1.33,3.4,1.41,2.73,1.2,0.0,1.13,1.14,2.57,1.28,2.09,3.37,3.3,8.0,1.5,1.25,3.38,1.47,2.5,1.99,1.99,2.23,1.58,2.75,1.36
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Union Saint-Gilloise,Atalanta,3.6,2.28,2.5,3.1,3.66,1.94,1.32,3.36,2.53,1.51,5.3,1.11,1.01,16.0,1.2,4.67,1.68,2.18,1.57,2.38,1.7,0.0,1.33,0.86,1.86,1.4,1.57,2.97,2.14,6.9,2.21,1.29,2.75,1.65,2.24,2.29,1.79,2.6,1.41,3.5,1.26
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,Athletic Club Bilbao,Sporting CP,3.07,2.33,3.3,2.23,3.4,2.9,1.37,3.08,2.63,1.49,6.35,1.09,1.05,11.5,1.25,3.8,1.88,2.07,1.58,2.16,1.3,0.0,1.57,1.14,1.86,1.21,1.33,2.54,1.6,8.7,2.88,1.31,2.9,1.63,2.15,2.37,1.7,2.55,1.43,3.43,1.26
EUROPA CHAMPIONS LEAGUE,2026-01-28,17:00:00,8,FC Barcelona,København,0.0,0.0,0.0,2.87,2.43,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.69,1.83,1.41,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
