League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-01-03,14:00:00,18,Rizespor,Beşiktaş,3.1,2.15,3.0,2.69,3.43,2.5,1.36,2.9,1.05,13.0,1.25,3.82,1.79,1.98,1.62,2.15,1.5,1.25,1.45,1.38,1.25,1.43,1.42,2.85,1.98,6.4,1.98,1.37,2.8,1.64,2.1,2.0,1.7,2.55,1.44,3.4,1.26
Turkey Süper Lig,2025-01-03,14:00:00,18,Alanyaspor,Konyaspor,2.62,2.17,4.65,1.98,3.36,3.82,1.45,2.84,1.05,8.7,1.36,3.06,2.12,1.69,1.88,1.88,1.27,1.35,1.84,1.5,1.11,1.36,1.19,2.55,1.53,6.75,2.8,1.4,2.65,1.67,2.04,2.08,1.65,2.65,1.41,3.45,1.25
Portugal Liga NOS,2025-01-03,15:00:00,17,CD Nacional,Porto,7.25,2.5,1.72,9.5,5.5,1.3,1.3,3.2,1.03,11.0,1.2,4.5,1.6,2.2,2.1,1.65,3.4,1.15,1.06,1.43,1.86,1.23,1.27,2.5,5.67,11.0,1.19,1.27,3.5,1.5,2.5,1.82,1.98,2.3,1.57,3.0,1.36
France Ligue 2,2025-01-03,16:00:00,17,Paris,Martigues,1.62,2.63,12.0,1.22,5.13,9.06,1.3,3.4,1.0,9.2,1.21,4.23,1.58,2.25,2.5,1.5,1.03,1.11,4.2,2.0,1.14,1.79,1.07,2.86,1.24,7.5,4.4,1.38,2.8,1.65,2.08,2.0,1.8,2.55,1.44,3.3,1.27
France Ligue 2,2025-01-03,16:00:00,17,Grenoble Foot 38,Bastia,3.75,1.95,3.4,2.92,3.01,2.34,1.53,2.38,1.1,6.86,1.47,2.67,2.4,1.52,2.0,1.73,1.5,1.3,1.4,1.75,1.0,1.08,1.32,2.4,2.08,6.4,1.93,1.34,2.9,1.56,2.23,1.98,1.82,2.4,1.5,3.05,1.3
France Ligue 2,2025-01-03,16:00:00,17,Ajaccio,Annecy,3.75,1.91,3.5,2.72,2.98,2.51,1.57,2.25,1.12,6.2,1.5,2.4,2.65,1.44,2.2,1.62,1.47,1.33,1.4,1.75,1.0,1.16,1.31,2.47,2.1,6.1,1.92,1.46,2.5,1.82,1.98,2.2,1.58,2.9,1.35,3.8,1.22
France Ligue 2,2025-01-03,16:00:00,17,Rodez,Red Star,2.4,2.3,4.33,1.85,3.43,3.72,1.33,3.25,1.03,13.7,1.23,4.1,1.74,2.0,1.67,2.1,1.18,1.2,1.95,1.43,0.88,1.89,1.24,3.13,1.61,6.5,2.55,1.3,3.15,1.52,2.33,1.84,1.84,2.3,1.53,2.95,1.33
France Ligue 2,2025-01-03,16:00:00,17,Amiens SC,Troyes,3.1,2.05,3.75,2.25,3.13,2.97,1.44,2.63,1.01,8.7,1.37,3.05,2.0,1.74,1.83,1.83,1.36,1.25,1.57,2.13,0.88,1.68,1.25,2.93,1.81,6.5,2.18,1.35,2.9,1.58,2.17,2.0,1.8,2.48,1.48,3.2,1.29
France Ligue 2,2025-01-03,16:00:00,17,Caen,Clermont,2.88,2.1,4.0,2.08,3.21,3.23,1.44,2.63,1.01,8.7,1.33,3.25,2.08,1.68,1.83,1.83,1.3,1.25,1.68,1.38,1.0,1.35,1.23,2.58,1.74,6.75,2.33,1.28,3.2,1.49,2.4,1.88,1.92,2.23,1.56,2.85,1.36
Wales Welsh Premier League,2025-01-03,16:45:00,21,Bala Town,Caernarfon Town,2.3,2.2,4.75,1.82,3.81,3.66,1.36,3.0,1.04,11.0,1.27,3.55,1.7,2.04,1.83,1.83,1.21,1.24,2.05,1.7,1.8,1.34,1.38,2.72,1.39,7.3,3.84,1.19,3.82,1.38,2.62,1.7,2.05,2.1,1.59,2.78,1.34
France Ligue 1,2025-01-03,17:00:00,16,Nice,Rennes,2.88,2.2,3.75,2.19,3.19,3.01,1.4,2.75,1.06,8.75,1.29,3.73,2.01,1.83,1.75,2.0,1.32,1.31,1.66,2.14,0.14,1.63,1.12,2.75,1.84,6.25,2.18,1.43,2.55,1.72,1.98,2.15,1.61,2.8,1.37,3.65,1.23
Spain La Liga,2025-01-03,17:00:00,12,Valencia CF,Real Madrid,7.0,2.3,2.0,6.5,4.33,1.48,1.36,3.0,1.01,12.2,1.28,3.8,1.8,1.91,2.05,1.7,2.7,1.17,1.09,1.13,1.78,1.35,1.57,2.92,3.3,7.0,1.41,1.36,2.8,1.61,2.15,1.98,1.72,2.55,1.44,3.3,1.27
