League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-01-05,07:30:00,18,Kasımpaşa,Gazişehir Gaziantep,2.3,2.4,4.5,1.7,3.9,4.33,1.3,3.4,1.04,15.0,1.19,4.5,1.62,2.25,1.62,2.2,1.25,1.28,2.15,0.75,0.5,1.42,1.06,2.48,1.54,6.75,2.7,1.27,3.3,1.48,2.45,1.77,1.92,2.18,1.58,2.8,1.37
Portugal LigaPro,2025-01-05,08:00:00,17,UD Oliveirense,Felgueiras 1932,4.33,2.1,2.4,3.7,3.3,1.95,1.4,2.75,1.05,8.5,1.3,3.35,1.87,1.82,1.77,1.85,1.93,1.22,1.18,0.5,1.29,1.17,1.49,2.66,3.06,9.0,1.51,1.1,5.05,1.24,3.34,1.45,2.48,1.82,1.98,2.23,1.55
Italy Serie A,2025-01-05,08:30:00,19,Monza,Cagliari,3.1,2.1,3.5,2.4,3.3,3.0,1.4,2.75,1.06,10.0,1.33,3.4,2.0,1.72,1.75,2.0,1.38,1.33,1.55,0.33,0.63,1.19,1.1,2.29,1.84,6.4,2.17,1.27,3.3,1.48,2.43,1.78,1.91,2.2,1.57,2.8,1.36
Scotland Premiership,2025-01-05,09:00:00,22,Hibernian,Rangers,6.5,2.5,1.95,5.5,4.3,1.57,1.3,3.4,1.04,10.0,1.2,4.33,1.58,2.2,1.8,1.95,2.7,1.19,1.11,1.3,1.22,1.42,1.74,3.16,3.55,7.5,1.34,1.19,4.0,1.34,2.9,1.57,2.23,1.9,1.79,2.33,1.5
Turkey Süper Lig,2025-01-05,10:00:00,18,BB Bodrumspor,Kayserispor,2.88,2.1,4.0,2.15,3.25,3.3,1.4,2.75,1.04,9.8,1.31,3.33,2.0,1.8,1.8,1.91,1.35,1.35,1.75,1.25,1.13,1.29,1.07,2.36,1.56,6.75,2.65,1.34,2.9,1.58,2.18,1.95,1.75,2.45,1.48,3.2,1.29
Greece Super League,2025-01-05,10:00:00,17,Levadiakos,Panserraikos,2.88,2.0,4.33,2.1,3.25,3.6,1.5,2.5,1.08,7.8,1.41,2.95,2.1,1.65,1.95,1.8,1.31,1.3,1.7,0.88,1.13,1.12,1.32,2.44,1.73,5.8,2.4,1.57,2.1,1.95,1.67,2.55,1.4,3.45,1.22,4.7,1.11
England Premier League,2025-01-05,11:00:00,20,Fulham,Ipswich Town,2.1,2.38,5.5,1.63,4.1,5.25,1.33,3.25,1.03,15.0,1.23,4.35,1.68,2.05,1.8,1.95,1.14,1.21,2.4,1.6,0.89,1.57,0.92,2.49,1.27,8.0,4.1,1.16,4.4,1.29,3.15,1.48,2.43,1.76,1.93,2.17,1.6
France Ligue 1,2025-01-05,11:00:00,16,Lens,Toulouse,2.6,2.1,4.33,1.95,3.55,4.1,1.4,2.75,1.05,11.0,1.33,3.4,1.85,1.85,1.8,1.95,1.23,1.3,1.85,1.57,1.0,1.73,1.21,2.94,1.5,6.75,2.8,1.36,2.8,1.64,2.1,2.02,1.68,2.65,1.41,3.45,1.25
France Ligue 1,2025-01-05,11:00:00,16,Angers SCO,Brest,3.6,2.05,3.2,3.05,3.25,2.4,1.44,2.63,1.07,9.0,1.38,3.1,2.0,1.73,1.91,1.91,1.55,1.33,1.37,0.57,0.43,1.26,1.3,2.56,2.2,6.25,1.83,1.41,2.65,1.7,2.02,2.1,1.64,2.7,1.38,3.65,1.23
Italy Serie A,2025-01-05,11:00:00,19,Lecce,Genoa,3.4,1.95,3.6,2.65,3.05,2.9,1.53,2.38,1.1,7.5,1.47,2.75,2.3,1.55,2.0,1.75,1.4,1.37,1.47,1.33,1.63,1.31,1.02,2.33,1.76,6.4,2.3,1.4,2.7,1.68,2.04,2.08,1.65,2.65,1.41,3.55,1.24
