League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ENGLAND 3,2025-10-02,16:00:00,11,Rotherham United,Bradford City,4.13,2.13,2.5,3.35,3.25,2.08,1.33,3.0,2.75,1.4,7.0,1.1,1.05,8.8,1.25,3.45,1.98,1.92,1.72,2.0,1.25,1.25,1.3,1.75,1.6,1.33,1.4,2.73,2.39,7.0,1.82,1.18,3.84,1.41,2.7,1.68,2.08,2.1,1.61,2.74,1.35
BRAZIL 2,2025-10-02,19:00:00,30,Paysandu,Cuiabá,3.42,1.91,3.65,2.62,3.0,2.62,1.5,2.5,3.3,1.3,7.5,1.05,1.11,6.89,1.44,2.8,2.38,1.58,1.95,1.75,1.36,1.36,1.44,0.79,0.87,1.52,1.4,2.92,1.88,7.0,2.38,1.14,3.75,1.34,2.85,1.86,2.14,2.04,1.69,2.64,1.4
BRAZIL 1,2025-10-02,19:00:00,26,Vitória,Ceará,3.08,1.95,3.85,2.42,2.98,3.15,1.5,2.45,3.4,1.25,8.5,1.05,1.07,7.0,1.47,2.45,2.44,1.5,2.15,1.75,1.36,1.34,1.53,1.42,1.08,1.57,1.12,2.69,1.8,8.7,2.7,1.26,3.5,1.47,2.6,1.77,1.95,2.25,1.59,2.97,1.3
BRAZIL 1,2025-10-02,19:30:00,26,Fortaleza,São Paulo,3.25,2.01,3.3,2.7,3.1,2.74,1.5,2.55,3.2,1.3,8.0,1.06,1.06,8.5,1.42,2.96,2.37,1.64,1.95,1.89,1.41,1.31,1.44,1.31,0.92,1.54,1.25,2.79,1.9,7.5,2.42,1.26,3.32,1.43,2.44,2.07,1.93,2.05,1.7,2.9,1.36
BRAZIL 1,2025-10-02,20:30:00,26,Flamengo,Cruzeiro,2.14,2.16,5.2,1.6,3.75,5.3,1.4,2.9,2.95,1.36,7.0,1.08,1.02,10.0,1.29,3.1,2.03,1.85,2.0,1.74,1.25,1.25,2.25,2.38,1.58,1.94,1.35,3.29,1.34,9.0,3.0,1.19,4.0,1.31,2.7,1.77,2.17,1.98,1.74,2.54,1.43
BRAZIL 2,2025-10-02,21:30:00,30,Vila Nova,Criciúma,3.25,1.82,3.61,2.6,2.83,3.17,1.5,2.4,3.58,1.25,9.1,1.04,1.07,6.0,1.55,2.5,2.64,1.46,2.22,1.68,1.33,1.36,1.51,1.79,1.31,1.52,1.01,2.53,1.95,7.0,2.1,1.27,3.4,1.47,2.5,1.78,1.95,2.29,1.55,3.04,1.31
