League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2025-01-20,12:00:00,22,SSC Farul,UTA Arad,2.6,2.08,4.1,2.05,3.25,3.4,1.48,2.5,1.01,8.6,1.34,3.05,1.95,1.75,1.8,1.87,1.26,1.3,1.62,1.4,1.0,1.54,1.23,2.77,1.42,7.0,3.2,1.22,3.65,1.4,2.65,1.62,2.1,1.98,1.7,2.5,1.44
Greece Super League,2025-01-20,13:00:00,19,Panserraikos,Lamia,2.75,2.0,4.75,1.95,3.1,3.9,1.53,2.38,1.09,4.7,1.45,2.6,2.3,1.55,2.05,1.7,1.25,1.36,1.81,1.0,0.67,1.25,0.97,2.22,1.46,6.9,3.35,1.56,2.21,2.02,1.71,2.67,1.39,3.76,1.19,4.75,1.15
Turkey Süper Lig,2025-01-20,14:00:00,20,Trabzonspor,Sivasspor,2.0,2.5,5.5,1.48,4.49,6.06,1.3,3.75,1.03,17.0,1.17,4.75,1.58,2.33,1.7,2.1,1.15,1.22,2.7,2.0,0.88,1.64,1.05,2.69,1.35,7.0,3.55,1.33,2.95,1.55,2.25,1.9,1.79,2.4,1.49,3.05,1.3
Romania Liga I,2025-01-20,15:00:00,22,Rapid Bucureşti,CSM Iaşi,2.14,2.15,6.0,1.53,3.9,5.8,1.47,2.5,1.05,7.8,1.34,3.1,2.0,1.78,2.02,1.68,1.12,1.22,2.11,1.7,0.5,1.54,1.35,2.89,1.46,6.4,3.15,1.44,2.5,1.76,1.92,2.2,1.56,2.9,1.34,3.9,1.19
Portugal LigaPro,2025-01-20,15:00:00,18,UD Oliveirense,FC Penafiel,4.2,2.0,2.7,4.0,3.1,1.95,1.45,2.55,1.02,8.3,1.33,3.1,2.05,1.8,1.8,1.95,1.75,1.28,1.25,0.44,2.38,1.12,1.31,2.43,2.04,6.65,2.15,1.1,5.15,1.23,3.42,1.44,2.51,1.76,1.95,2.19,1.57
Netherlands Eerste Divisie,2025-01-20,16:00:00,21,Roda JC,Cambuur,3.1,2.3,3.1,2.55,3.5,2.55,1.33,3.25,1.02,15.0,1.2,4.33,1.67,2.15,1.53,2.38,1.52,1.22,1.53,1.89,2.2,1.9,1.89,3.79,1.95,6.4,2.05,1.34,2.9,1.57,2.23,1.95,1.74,2.45,1.48,3.15,1.29
Netherlands Eerste Divisie,2025-01-20,16:00:00,22,Ajax II,PSV II,2.25,2.6,4.0,1.72,4.06,4.28,1.19,4.25,1.01,26.0,1.09,7.0,1.33,3.2,1.36,3.0,1.25,1.18,2.1,1.2,1.18,1.61,1.24,2.85,1.3,8.6,4.1,1.22,3.8,1.28,3.3,1.52,2.32,1.92,1.78,2.55,1.45
Netherlands Eerste Divisie,2025-01-20,16:00:00,22,Utrecht II,De Graafschap,4.5,2.5,2.2,4.7,4.37,1.61,1.26,3.5,1.02,19.0,1.18,4.75,1.6,2.3,1.62,2.25,2.2,1.18,1.2,0.73,1.0,1.39,1.79,3.18,2.95,6.75,1.48,1.3,3.15,1.52,2.33,1.85,1.83,2.32,1.53,2.95,1.33
Spain Segunda División,2025-01-20,16:30:00,23,Mirandés,Málaga CF,2.88,1.83,5.0,2.1,2.88,3.75,1.62,2.2,1.12,6.0,1.57,2.25,2.75,1.4,2.38,1.53,1.22,1.33,1.72,2.18,1.0,1.15,1.08,2.23,1.6,6.65,3.22,1.36,2.79,1.67,2.08,2.11,1.62,2.78,1.34,3.92,1.18
France Ligue 2,2025-01-20,16:45:00,19,Troyes,Annecy,2.63,2.1,4.33,2.0,3.25,3.6,1.4,2.75,1.06,8.5,1.33,3.2,2.03,1.83,1.8,1.91,1.28,1.25,1.72,1.38,1.22,1.73,1.3,3.03,1.65,6.4,2.48,1.44,2.55,1.73,1.98,2.17,1.6,2.8,1.37,3.7,1.22
Italy Serie A,2025-01-20,16:45:00,21,Como,Udinese,2.75,2.1,4.0,2.0,3.4,3.6,1.44,2.63,1.06,10.0,1.33,3.3,2.0,1.8,1.8,1.95,1.28,1.31,1.73,1.33,1.2,1.52,1.39,2.91,1.56,6.75,2.65,1.3,3.05,1.54,2.3,1.88,1.81,2.33,1.5,3.05,1.32
