League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-01-12,07:30:00,19,Sivasspor,Alanyaspor,3.3,2.15,3.25,2.85,3.38,2.49,1.44,3.0,1.03,10.65,1.27,3.61,1.89,1.94,1.68,2.15,1.53,1.35,1.52,1.3,0.78,1.22,1.09,2.31,2.12,6.4,1.88,1.37,2.8,1.63,2.12,1.98,1.72,2.55,1.44,3.4,1.26
Portugal LigaPro,2025-01-12,08:00:00,16,Academico Viseu,FC Vizela,3.05,2.02,3.54,2.35,3.1,2.7,1.46,2.6,1.03,7.5,1.33,2.82,2.1,1.65,1.85,1.85,1.4,1.32,1.52,1.75,1.11,1.55,1.25,2.8,1.95,7.0,2.22,1.15,4.3,1.31,2.92,1.58,2.17,1.99,1.73,2.57,1.42
Portugal LigaPro,2025-01-12,08:00:00,16,Felgueiras 1932,Paços de Ferreira,2.57,2.05,4.4,1.91,3.25,3.45,1.44,2.67,1.01,8.3,1.31,2.93,2.0,1.7,1.87,1.83,1.25,1.29,1.79,1.11,1.25,1.63,1.21,2.84,1.5,8.9,3.06,1.14,4.45,1.29,3.04,1.54,2.25,1.92,1.79,2.45,1.46
Netherlands Eerste Divisie,2025-01-12,08:15:00,21,Telstar,PSV II,1.95,2.63,5.5,1.45,4.5,6.5,1.25,3.75,1.02,17.0,1.12,6.0,1.44,2.7,1.57,2.25,1.12,1.14,2.7,1.7,1.18,1.65,1.31,2.96,1.43,6.75,3.15,1.29,3.15,1.5,2.35,1.83,1.85,2.3,1.54,2.95,1.33
Netherlands Eredivisie,2025-01-12,08:15:00,18,Twente,Willem II,2.0,2.4,6.5,1.44,4.4,6.0,1.33,3.25,1.03,15.0,1.19,4.45,1.65,2.1,1.91,1.91,1.1,1.18,2.85,2.33,1.22,1.99,0.83,2.82,1.26,8.0,4.1,1.21,3.8,1.38,2.7,1.64,2.1,1.98,1.72,2.48,1.47
Italy Serie A,2025-01-12,08:30:00,20,Genoa,Parma,2.5,2.2,4.33,2.0,3.4,3.6,1.36,3.0,1.05,11.0,1.3,3.6,1.83,1.95,1.7,2.05,1.26,1.29,1.8,0.82,0.8,1.24,1.19,2.43,1.65,6.5,2.48,1.3,3.15,1.52,2.33,1.84,1.84,2.33,1.52,3.05,1.32
Italy Serie B,2025-01-12,08:30:00,21,Salernitana,Sassuolo,4.33,2.2,2.5,3.65,3.4,1.8,1.36,3.0,1.05,9.5,1.25,3.6,1.8,1.9,1.75,2.0,1.87,1.28,1.24,1.09,2.18,1.7,1.43,3.13,2.65,6.4,1.58,1.42,2.65,1.68,2.02,2.08,1.65,2.65,1.4,3.55,1.24
Belgium Pro League,2025-01-12,09:30:00,21,Beerschot-Wilrijk,Royal Antwerp FC,4.2,2.25,2.25,3.9,3.85,1.75,1.31,3.1,1.03,15.0,1.21,4.25,1.65,2.1,1.65,2.1,2.0,1.25,1.21,1.1,1.5,1.26,1.22,2.48,2.7,7.0,1.52,1.21,3.9,1.38,2.8,1.61,2.15,1.97,1.74,2.45,1.48
Portugal LigaPro,2025-01-12,09:45:00,16,Porto II,Portimonense,2.78,2.11,3.68,2.25,3.3,3.1,1.39,2.86,1.01,8.7,1.26,3.22,1.98,1.88,1.73,1.99,1.35,1.29,1.63,1.43,1.13,1.02,1.16,2.18,1.55,8.6,2.91,1.15,4.2,1.32,2.88,1.58,2.17,1.99,1.73,2.57,1.42
Spain La Liga,2025-01-12,10:00:00,19,UD Las Palmas,Getafe CF,3.2,1.95,4.0,2.38,3.0,3.2,1.53,2.38,1.12,6.5,1.52,2.37,2.5,1.53,2.0,1.75,1.35,1.38,1.52,1.33,0.25,1.34,1.06,2.4,1.76,6.25,2.3,1.48,2.45,1.79,1.9,2.25,1.55,2.9,1.34,3.9,1.2
