League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SOUTH KOREA 2,2025-04-27,02:00:00,9,Gimpo Citizen,Jeonnam Dragons,3.2,2.05,3.5,2.51,3.23,2.76,1.44,2.63,3.25,1.33,10.0,1.06,1.02,7.8,1.3,2.97,2.0,1.67,1.83,1.83,1.4,1.35,1.5,0.4,2.0,1.54,1.28,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 2,2025-04-27,02:00:00,9,Suwon Bluewings,Seongnam,2.3,2.1,5.5,1.63,3.84,5.1,1.44,2.63,3.25,1.33,9.0,1.07,1.02,8.1,1.28,3.08,1.95,1.7,2.0,1.73,1.15,1.29,2.2,2.6,1.25,1.79,0.92,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 1,2025-04-27,02:00:00,10,Pohang Steelers,FC Seoul,3.8,2.05,2.75,3.41,3.2,2.15,1.42,2.62,2.95,1.35,7.5,1.07,1.06,8.5,1.36,3.1,2.0,1.65,1.83,1.85,1.67,1.28,1.3,2.0,1.0,1.8,1.58,3.38,2.15,6.25,1.86,1.48,2.45,1.78,1.91,2.23,1.56,2.9,1.34,3.9,1.21
SOUTH KOREA 2,2025-04-27,04:30:00,9,Busan I'Park,Hwaseong,2.5,2.1,5.0,1.81,3.57,4.2,1.44,2.63,3.25,1.33,9.0,1.07,1.0,9.2,1.29,3.04,1.95,1.7,1.91,1.8,1.2,1.3,1.95,1.33,0.25,1.63,1.09,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH KOREA 1,2025-04-27,04:30:00,10,Sangju Sangmu,Ulsan,3.0,2.2,3.0,2.54,3.2,2.66,1.3,3.2,2.4,1.5,5.4,1.09,1.04,10.0,1.22,4.2,1.88,1.84,1.5,2.35,1.5,1.25,1.48,2.0,1.67,1.73,1.81,3.54,1.9,6.25,2.1,1.46,2.5,1.76,1.94,2.2,1.57,2.9,1.35,3.9,1.21
SOUTH KOREA 1,2025-04-27,04:30:00,10,Daejeon Citizen,Gangwon,2.8,2.0,3.8,2.27,3.1,3.26,1.45,2.55,3.0,1.33,7.5,1.07,1.08,7.5,1.4,2.88,2.1,1.6,1.85,1.83,1.3,1.3,1.65,1.4,1.0,1.45,1.04,2.49,1.81,6.1,2.23,1.57,2.23,1.95,1.75,2.5,1.46,3.4,1.26,4.6,1.15
AUSTRIA 2,2025-04-27,05:30:00,26,Kapfenberger SV,Ried,5.19,2.34,2.05,4.2,3.98,1.73,1.31,3.25,2.4,1.49,5.3,1.11,1.04,13.0,1.22,3.9,1.65,2.05,1.75,2.0,2.3,0.0,1.1,1.92,2.21,1.42,1.68,3.1,3.86,9.0,1.36,1.35,2.83,1.6,2.11,2.07,1.73,2.37,1.55,3.42,1.25
PORTUGAL 2,2025-04-27,07:00:00,31,CD Feirense,Porto II,3.1,2.1,3.6,2.4,3.1,2.85,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,2.42,1.55,1.95,1.7,1.8,1.91,0.0,0.0,0.0,1.63,0.75,1.77,1.51,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLAND 1,2025-04-27,07:15:00,30,Korona Kielce,Jagiellonia Białystok,3.95,1.9,2.8,3.0,3.2,2.1,1.33,3.0,2.73,1.42,6.0,1.09,1.01,10.0,1.22,3.52,1.83,1.91,1.67,2.08,1.3,0.0,1.27,1.53,1.6,1.5,1.3,2.8,1.83,6.5,2.35,1.21,3.58,1.47,2.5,1.7,1.96,2.1,1.7,2.62,1.42
NETHERLANDS 1,2025-04-27,07:15:00,30,Fortuna Sittard,Willem II,2.4,2.1,5.0,1.88,3.59,4.5,1.44,2.63,3.25,1.33,9.0,1.07,0.0,0.0,2.68,1.51,1.96,1.85,1.95,1.8,0.0,0.0,0.0,1.4,0.8,1.37,0.96,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
