League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2025-02-04,11:00:00,25,SCM Gloria Buzău,Botoşani,3.15,1.91,3.75,2.42,3.12,2.98,1.61,2.21,1.08,6.5,1.48,2.5,2.37,1.48,2.03,1.68,1.35,1.32,1.47,1.17,0.5,1.47,1.23,2.7,1.82,6.25,2.2,1.53,2.25,1.9,1.76,2.45,1.46,3.3,1.27,4.4,1.16
Romania Liga I,2025-02-04,13:00:00,25,Rapid Bucureşti,Unirea Slobozia,1.89,2.31,7.2,1.41,4.4,7.4,1.38,2.75,1.02,10.0,1.31,3.25,1.92,1.82,2.15,1.6,1.08,1.17,2.43,1.92,1.08,1.63,1.31,2.94,1.33,7.0,3.65,1.45,2.48,1.76,1.9,2.2,1.56,2.9,1.34,3.9,1.19
Romania Liga I,2025-02-04,15:30:00,25,Dinamo Bucureşti,Oţelul Galaţi,2.25,2.06,5.8,1.67,3.57,5.2,1.52,2.39,1.06,7.5,1.43,2.7,2.2,1.55,2.16,1.6,1.14,1.25,1.96,1.92,1.08,1.24,1.36,2.6,1.52,6.5,2.8,1.5,2.35,1.84,1.82,2.35,1.5,3.1,1.3,4.1,1.17
Switzerland Challenge League,2025-02-04,15:30:00,15,FC Schaffhausen,Stade Lausanne-Ouchy,3.5,2.2,2.75,3.02,3.36,2.27,1.34,3.1,1.0,8.2,1.2,3.55,1.8,1.94,1.67,2.1,1.46,1.26,1.45,0.5,1.2,1.64,1.65,3.29,2.0,7.8,2.04,1.28,2.97,1.54,2.14,1.97,1.71,2.54,1.38,3.52,1.2
Switzerland Super League,2025-02-04,16:30:00,22,Grasshopper,Lausanne Sport,3.45,2.15,2.75,2.88,3.34,2.36,1.35,2.95,1.05,9.5,1.25,3.75,1.79,1.95,1.6,2.15,1.62,1.25,1.36,0.9,0.9,1.49,1.62,3.11,2.16,8.5,1.95,1.19,3.74,1.4,2.64,1.72,2.0,2.15,1.59,2.83,1.33
Switzerland Super League,2025-02-04,16:30:00,22,Sion,Servette,3.5,2.15,2.7,3.08,3.47,2.18,1.35,2.95,1.05,9.5,1.25,3.7,1.79,1.95,1.62,2.1,1.65,1.25,1.35,1.6,1.2,1.71,1.58,3.29,2.19,8.6,1.92,1.17,3.98,1.35,2.74,1.64,2.07,2.09,1.66,2.71,1.38
England Championship,2025-02-04,16:45:00,31,Queens Park Rangers,Blackburn Rovers,3.25,2.0,3.75,2.49,3.29,2.74,1.52,2.6,1.08,8.5,1.42,2.9,2.1,1.65,1.92,1.85,1.42,1.32,1.55,1.33,1.14,1.59,0.99,2.58,1.75,8.5,2.3,1.2,3.95,1.35,2.9,1.58,2.2,1.92,1.77,2.38,1.5
England Championship,2025-02-04,16:45:00,31,Burnley,Oxford United,2.05,2.2,7.5,1.37,4.2,9.8,1.47,2.7,1.07,9.5,1.4,3.0,1.98,1.77,2.45,1.55,1.07,1.19,2.75,1.86,0.57,1.39,1.03,2.42,1.19,9.0,5.1,1.23,3.65,1.4,2.65,1.65,2.08,2.0,1.7,2.5,1.46
England EFL League Two,2025-02-04,16:45:00,17,Salford City,Bromley,3.0,2.1,3.75,2.14,3.27,3.37,1.4,2.75,1.06,8.5,1.42,2.8,2.0,1.75,1.83,1.83,1.36,1.25,1.62,1.79,1.43,1.51,1.25,2.76,1.75,7.0,2.54,1.18,3.9,1.36,2.88,1.62,2.16,1.99,1.72,2.55,1.45
England EFL League Two,2025-02-04,16:45:00,25,Newport County,Morecambe,3.0,2.2,3.4,2.4,3.39,2.79,1.36,3.0,1.04,12.0,1.25,3.75,1.77,1.98,1.62,2.2,1.4,1.25,1.62,1.67,0.93,1.23,0.99,2.22,2.32,6.4,1.93,1.21,3.58,1.41,2.6,1.77,1.95,2.19,1.57,2.88,1.32
Argentina Primera División,2025-02-04,19:00:00,3,Godoy Cruz,Talleres Córdoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2025-02-04,21:00:00,3,Atlético Tucumán,Deportivo Riestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
