League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 2,2025-08-24,06:00:00,27,V-Varen Nagasaki,Renofa Yamaguchi,2.13,2.15,5.1,1.62,3.63,4.4,1.36,3.07,2.83,1.42,6.2,1.09,1.04,9.0,1.25,3.6,1.78,1.92,1.75,2.02,1.25,0.0,2.12,1.92,0.58,1.96,1.31,3.27,1.53,7.75,3.44,1.23,3.38,1.48,2.4,1.88,1.92,2.31,1.52,3.1,1.28
SOUTH KOREA 2,2025-08-24,07:00:00,26,Hwaseong,Suwon Bluewings,4.94,2.25,2.3,3.95,3.56,1.71,1.36,2.85,2.65,1.4,7.0,1.09,1.02,10.0,1.29,3.4,1.85,1.85,1.8,1.88,1.25,0.0,1.2,1.0,2.0,1.0,1.6,2.6,2.97,7.4,1.66,1.35,2.8,1.66,2.08,2.45,1.66,2.74,1.37,3.85,1.18
SOUTH KOREA 2,2025-08-24,07:00:00,26,Asan Mugunghwa,Busan I'Park,3.0,2.03,3.08,2.36,3.11,2.67,1.36,2.8,2.7,1.42,6.5,1.03,1.06,9.0,1.29,3.3,1.95,1.75,1.75,1.98,1.34,0.0,1.48,1.24,1.48,1.42,1.38,2.8,1.71,7.0,2.88,1.54,2.28,2.0,1.8,3.19,1.43,3.54,1.21,5.35,1.07
SOUTH KOREA 1,2025-08-24,07:00:00,27,Anyang,Daejeon Citizen,3.1,2.15,3.2,2.41,3.17,2.56,1.38,2.8,2.8,1.37,6.8,1.07,1.02,11.0,1.29,3.2,1.81,1.89,1.73,2.0,1.48,0.0,1.51,1.15,1.77,1.41,1.24,2.65,1.7,8.0,2.7,1.3,2.69,1.52,2.33,1.84,1.84,2.32,1.52,4.08,1.15
SOUTH KOREA 1,2025-08-24,07:00:00,27,Pohang Steelers,Jeonbuk Motors,3.5,2.1,2.9,2.81,3.19,2.22,1.35,2.84,3.06,1.36,7.2,1.03,1.01,9.3,1.26,3.32,1.88,1.82,1.7,2.0,1.3,0.0,1.4,1.69,2.58,1.53,1.18,2.71,2.14,7.5,2.08,1.44,2.52,1.82,1.98,2.1,1.64,3.1,1.38,4.51,1.24
SOUTH KOREA 1,2025-08-24,07:00:00,27,FC Seoul,Ulsan,2.7,2.16,3.68,2.16,3.19,2.92,1.36,2.9,2.62,1.37,7.0,1.09,1.02,9.0,1.29,3.45,1.93,1.77,1.69,2.0,1.31,0.0,1.58,1.42,1.23,1.71,1.62,3.33,1.64,8.0,2.85,1.32,2.93,1.62,2.15,1.88,1.71,2.38,1.5,3.64,1.3
JAPAN 2,2025-08-24,07:00:00,27,Vegalta Sendai,JEF United,2.95,2.0,3.66,2.2,3.09,2.93,1.42,2.62,3.0,1.33,8.0,1.06,1.01,8.5,1.33,2.95,2.05,1.68,1.8,1.91,1.33,0.0,1.57,1.42,1.85,1.54,1.15,2.69,1.53,7.65,3.44,1.28,3.1,1.56,2.25,2.23,1.8,2.49,1.45,3.4,1.23
JAPAN 1,2025-08-24,07:00:00,27,Tokyo,Kyoto Sanga,3.0,2.29,3.2,2.29,3.25,2.66,1.33,3.1,2.6,1.44,6.0,1.09,1.05,9.5,1.25,3.6,1.8,1.9,1.67,2.1,1.48,0.0,1.53,1.38,1.71,1.51,1.2,2.71,2.04,6.65,2.16,1.16,4.15,1.25,3.35,1.87,2.16,2.0,1.69,2.59,1.39
SOUTH KOREA 2,2025-08-24,07:00:00,26,Cheongju,Incheon United,5.0,2.15,2.2,5.0,3.21,1.64,1.44,2.58,3.02,1.36,7.0,1.07,1.06,8.5,1.33,3.04,1.9,1.8,2.0,1.73,1.22,0.0,1.13,0.96,2.32,1.21,1.25,2.46,2.95,6.86,1.69,1.64,2.12,2.08,1.67,2.77,1.36,3.99,1.16,6.21,1.04
NETHERLANDS 2,2025-08-24,07:15:00,3,VVV,Roda JC,2.95,2.2,2.8,2.49,3.3,2.55,1.3,3.1,2.3,1.5,5.5,1.12,1.03,13.0,1.19,4.0,1.6,2.1,1.53,2.3,1.3,0.0,1.48,0.0,3.0,2.48,1.33,3.81,1.95,7.3,2.23,1.22,3.8,1.38,2.8,1.65,2.1,1.89,1.85,2.33,1.48
NETHERLANDS 1,2025-08-24,07:15:00,3,Heerenveen,Twente,3.2,2.25,2.75,2.85,3.75,2.21,1.29,3.14,2.3,1.55,5.25,1.12,1.0,12.0,1.19,4.33,1.73,2.11,1.5,2.4,1.29,0.0,1.44,0.5,1.5,2.05,1.66,3.71,1.83,6.5,2.2,1.24,3.5,1.56,2.45,1.8,1.85,2.37,1.49,3.4,1.29
CHINA 1,2025-08-24,08:00:00,22,Shanghai SIPG,Tianjin Teda,1.67,3.0,6.0,1.27,5.7,7.4,1.17,4.5,1.85,1.86,3.6,1.25,1.01,26.0,1.05,7.27,1.28,3.34,1.59,2.4,1.03,0.0,3.1,2.24,1.5,1.71,1.4,3.11,1.2,11.0,5.0,1.19,3.95,1.37,2.83,1.63,2.2,1.95,1.77,2.48,1.48
CHINA 1,2025-08-24,08:00:00,22,Meizhou Hakka,Zhejiang FC,4.0,2.5,2.38,3.45,3.93,1.8,1.25,3.6,2.2,1.6,4.75,1.13,1.03,17.0,1.13,5.0,1.44,2.59,1.5,2.56,1.25,0.0,1.25,0.76,1.5,1.35,1.41,2.76,2.07,8.0,2.1,1.17,4.35,1.3,3.1,1.52,2.33,1.83,1.85,2.28,1.54
SCOTLAND 1,2025-08-24,08:00:00,3,St. Mirren,Rangers,4.2,2.4,2.2,5.0,4.3,1.6,1.32,3.1,2.4,1.5,5.2,1.13,1.0,12.0,1.17,4.33,1.67,2.2,1.67,2.05,1.25,0.0,1.22,1.0,1.0,1.14,1.6,2.74,2.9,8.5,1.51,1.14,4.33,1.34,3.0,1.54,2.3,1.85,1.89,2.25,1.57
CHINA 1,2025-08-24,08:00:00,22,Changchun Yatai,Sichuan Jiuniu,2.8,2.15,3.6,2.18,3.25,2.83,1.36,3.1,2.74,1.4,6.1,1.04,1.05,10.0,1.29,3.78,1.85,1.85,1.68,1.97,1.25,0.0,1.6,0.57,0.81,1.16,1.13,2.29,1.98,8.0,2.2,1.19,4.1,1.35,2.9,1.58,2.2,1.91,1.77,2.4,1.49
GERMANY 2,2025-08-24,08:30:00,3,Arminia Bielefeld,Dynamo Dresden,2.2,2.3,3.9,1.9,3.6,3.65,1.3,3.2,2.45,1.47,5.0,1.11,1.04,11.0,1.14,4.0,1.57,2.1,1.62,2.15,1.22,0.0,1.97,3.0,0.0,1.99,2.15,4.14,1.61,9.0,3.04,1.29,3.4,1.3,2.5,1.96,2.0,2.1,1.65,2.7,1.4
GERMANY 2,2025-08-24,08:30:00,3,Greuther Fürth,Holstein Kiel,3.1,2.2,2.95,2.7,3.4,2.36,1.34,3.0,2.4,1.48,5.5,1.11,1.04,10.5,1.16,3.75,1.65,2.13,1.47,2.5,1.27,0.0,1.47,3.0,0.0,1.15,0.93,2.08,1.75,8.5,2.61,1.2,3.6,1.33,2.85,1.67,2.12,1.88,1.77,2.65,1.44
GERMANY 2,2025-08-24,08:30:00,3,Darmstadt 98,Hertha BSC,2.55,2.25,3.5,2.03,3.45,3.25,1.29,3.25,2.28,1.47,5.25,1.13,1.04,12.0,1.18,5.31,1.6,2.3,1.5,2.4,1.27,0.0,1.55,3.0,0.0,1.98,1.2,3.18,1.98,7.5,2.23,1.25,3.6,1.41,2.7,1.67,2.1,2.1,1.67,2.58,1.44
BELGIUM 1,2025-08-24,08:30:00,5,Royal Antwerp FC,KV Mechelen,2.5,2.15,4.05,1.79,3.4,3.75,1.32,3.1,2.4,1.5,5.5,1.12,1.04,10.5,1.23,3.95,1.84,1.95,1.57,2.25,1.3,0.0,1.73,2.0,2.0,1.15,0.87,2.02,1.67,8.0,2.7,1.22,4.1,1.42,2.65,1.7,2.05,2.15,1.6,2.95,1.42
GERMANY 3,2025-08-24,08:30:00,3,Ingolstadt,Hansa Rostock,3.0,2.2,2.95,2.59,3.25,2.5,1.33,3.0,2.55,1.48,5.75,1.11,1.02,10.0,1.24,3.9,1.75,2.0,1.6,2.2,1.3,0.0,1.41,1.0,1.0,1.75,1.64,3.39,2.09,8.3,1.93,1.18,3.9,1.36,2.7,1.68,1.98,2.15,1.61,2.7,1.36
CHINA 1,2025-08-24,08:35:00,22,Henan Jianye,Dalian Zhixing,2.4,2.3,4.0,2.34,3.35,2.55,1.33,3.04,2.57,1.45,5.5,1.1,1.0,12.0,1.21,4.1,1.73,2.04,1.62,2.2,1.24,0.0,1.83,0.9,1.38,1.57,1.38,2.95,1.55,8.5,3.1,1.2,3.95,1.35,2.88,1.58,2.18,1.92,1.76,2.38,1.49
CHINA 1,2025-08-24,09:00:00,22,Shandong Luneng,Qingdao Youth Island,2.05,2.5,5.25,1.28,5.3,8.8,1.22,3.66,2.2,1.62,4.6,1.14,1.03,16.5,1.1,5.0,1.45,2.5,1.53,2.3,1.2,0.0,2.4,1.62,1.29,1.81,1.19,3.0,1.35,10.0,4.2,1.16,4.35,1.24,3.6,1.41,2.65,1.66,1.88,2.0,1.68
DENMARK 1,2025-08-24,09:00:00,6,Midtjylland,Silkeborg,2.1,2.6,4.2,1.58,4.0,4.2,1.24,3.7,2.05,1.66,4.5,1.13,1.02,19.0,1.14,5.0,1.42,2.74,1.5,2.4,1.22,0.0,2.15,1.67,1.0,2.06,1.57,3.63,1.53,7.1,2.7,1.26,3.6,1.39,2.6,1.74,1.95,2.25,1.57,2.7,1.33
DENMARK 1,2025-08-24,09:00:00,6,Fredericia,Randers,3.75,2.3,2.43,3.2,3.35,1.97,1.32,3.1,2.4,1.49,5.75,1.12,1.01,11.0,1.19,3.9,1.65,2.2,1.57,2.15,1.29,0.0,1.35,1.0,1.33,1.46,1.09,2.55,2.24,6.65,1.75,1.29,3.45,1.38,2.5,1.73,2.0,2.22,1.62,2.84,1.38
SWEDEN 1,2025-08-24,09:00:00,21,Djurgården,Brommapojkarna,2.0,2.6,4.01,1.49,4.2,4.75,1.25,3.6,2.17,1.62,4.85,1.15,1.02,17.0,1.1,4.8,1.47,2.57,1.57,2.2,1.16,0.0,2.3,1.4,1.4,1.75,1.43,3.18,1.32,10.0,4.4,1.15,4.55,1.23,3.6,1.4,2.7,1.63,2.12,1.96,1.73
SWEDEN 1,2025-08-24,09:00:00,21,Sirius,Hammarby,4.0,2.33,2.25,3.79,3.56,1.74,1.3,3.2,2.38,1.53,5.0,1.12,1.03,11.0,1.22,4.42,1.62,2.3,1.57,2.22,1.25,0.0,1.24,0.89,1.89,1.62,1.83,3.45,3.1,8.5,1.54,1.16,4.35,1.22,3.7,1.38,2.75,1.85,1.95,1.97,1.73
SWITZERLAND 1,2025-08-24,09:00:00,4,Grasshopper,Winterthur,2.4,2.3,4.0,1.9,3.28,3.47,1.32,3.1,2.4,1.5,5.5,1.11,1.03,11.0,1.2,3.9,1.62,2.3,1.6,2.2,1.28,0.0,1.77,0.0,0.0,1.7,1.26,2.96,1.54,9.0,2.91,1.2,3.6,1.38,2.7,1.68,1.98,2.1,1.57,2.62,1.42
NORWAY 1,2025-08-24,09:30:00,19,Haugesund,Vålerenga,4.75,2.5,2.05,4.4,3.73,1.6,1.25,3.42,2.2,1.62,5.0,1.15,1.02,12.0,1.16,4.8,1.47,2.57,1.6,2.25,2.3,0.0,1.16,0.56,1.11,1.15,1.13,2.28,3.48,9.8,1.42,1.1,5.0,1.24,3.34,1.45,2.6,1.68,1.92,2.23,1.66
NETHERLANDS 1,2025-08-24,09:30:00,3,Utrecht,Excelsior,1.83,2.85,5.5,1.36,5.0,7.0,1.22,3.8,2.0,1.68,4.55,1.18,1.03,16.5,1.14,5.5,1.41,2.65,1.66,2.15,1.17,0.0,2.8,3.0,0.0,1.88,1.31,3.19,1.38,7.0,3.8,1.25,3.6,1.41,2.62,1.94,2.1,2.1,1.67,2.62,1.42
NETHERLANDS 1,2025-08-24,09:30:00,3,NEC,NAC Breda,2.2,2.3,4.8,1.61,4.3,5.0,1.29,3.3,2.4,1.49,5.3,1.12,1.01,11.0,1.2,4.0,1.57,2.1,1.73,1.95,1.22,0.0,2.38,3.0,0.0,1.95,0.6,2.55,1.34,8.0,3.0,1.18,3.7,1.42,2.71,1.75,1.9,2.15,1.67,2.7,1.42
POLAND 1,2025-08-24,09:45:00,6,Piast Gliwice,Cracovia Kraków,2.95,2.0,3.8,2.16,3.02,3.07,1.48,2.55,3.2,1.32,8.1,1.06,1.08,7.0,1.39,2.85,2.15,1.7,1.93,1.83,1.35,0.0,1.62,0.33,2.0,0.97,1.5,2.47,1.62,8.5,2.4,1.21,3.6,1.4,2.7,1.67,2.1,2.05,1.7,2.6,1.44
