League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ENGLAND 1,2025-12-30,16:30:00,19,Nottingham Forest,Everton,2.85,2.0,4.0,2.3,3.2,3.3,1.5,2.76,3.0,1.34,8.5,1.05,1.03,8.0,1.36,3.11,2.12,1.72,1.87,1.85,1.33,0.0,1.67,1.11,1.22,1.62,1.05,2.67,1.58,7.0,2.7,1.22,3.6,1.43,2.6,1.96,2.05,2.14,1.66,2.68,1.41
ENGLAND 1,2025-12-30,16:30:00,19,West Ham United,Brighton & Hove Albion,3.74,2.2,2.74,3.05,3.7,2.2,1.36,3.0,2.5,1.48,6.0,1.1,1.03,12.0,1.21,3.85,1.73,2.1,1.6,2.15,1.25,0.0,1.35,0.67,0.89,1.22,1.39,2.61,3.06,7.0,1.7,1.28,3.77,1.4,2.72,1.65,2.12,2.07,1.71,2.58,1.44
ENGLAND 1,2025-12-30,16:30:00,19,Burnley,Newcastle United,4.7,2.26,2.28,4.5,4.3,1.68,1.33,3.0,2.45,1.47,6.45,1.08,1.05,12.5,1.25,3.74,1.77,2.05,1.76,2.0,1.24,0.0,1.19,0.89,0.67,1.05,1.35,2.4,3.05,7.2,1.48,1.26,3.83,1.39,2.75,1.82,2.14,2.04,1.73,2.55,1.45
ENGLAND 1,2025-12-30,16:30:00,19,Chelsea,AFC Bournemouth,2.05,2.36,5.0,1.62,4.0,5.4,1.25,3.36,2.36,1.61,4.9,1.14,1.01,17.0,1.13,4.75,1.55,2.4,1.61,2.32,1.14,0.0,2.41,1.56,0.67,1.72,1.63,3.35,1.49,8.0,3.5,1.18,4.06,1.35,2.95,1.64,2.28,1.96,1.79,2.43,1.49
SCOTLAND 1,2025-12-30,16:45:00,20,Hibernian,Aberdeen,2.42,2.15,4.8,1.88,3.12,3.73,1.36,2.85,2.62,1.44,6.5,1.09,1.01,10.4,1.22,3.6,1.94,1.76,1.71,2.05,1.28,0.0,1.91,1.67,1.5,1.74,1.31,3.05,1.44,8.0,3.15,0.0,0.0,1.27,3.35,1.46,2.5,1.72,1.98,2.1,1.64
SCOTLAND 1,2025-12-30,16:45:00,20,Rangers,St. Mirren,2.1,2.16,5.2,1.59,3.55,4.8,1.39,2.77,2.65,1.4,5.8,1.09,1.01,8.6,1.25,3.3,1.79,1.91,1.87,1.83,1.12,0.0,2.28,1.78,0.71,1.91,1.39,3.3,1.26,9.0,4.4,1.2,3.9,1.36,2.85,1.58,2.17,1.93,1.76,2.38,1.5
SCOTLAND 1,2025-12-30,16:45:00,20,Livingston,Dundee United,3.0,2.02,3.38,2.41,3.0,2.69,1.36,2.75,2.88,1.35,7.0,1.06,1.0,9.35,1.32,3.3,1.96,1.74,1.69,2.0,1.32,0.0,1.48,0.63,1.0,1.28,1.24,2.52,1.65,7.5,2.55,1.23,3.65,1.41,2.65,1.67,2.05,2.05,1.67,2.6,1.42
SCOTLAND 1,2025-12-30,16:45:00,20,Dundee,Kilmarnock,3.65,2.19,3.0,2.61,2.88,2.56,1.38,2.8,2.94,1.35,7.5,1.08,1.03,7.6,1.3,2.99,2.17,1.61,1.77,1.94,1.4,0.0,1.39,1.44,0.78,1.04,1.14,2.18,2.08,7.5,1.95,1.26,3.4,1.45,2.5,1.74,1.96,2.15,1.61,2.75,1.38
SCOTLAND 1,2025-12-30,17:00:00,20,Motherwell,Celtic,4.33,2.35,2.47,3.87,3.32,1.79,1.36,2.89,2.55,1.44,5.6,1.07,1.0,9.3,1.21,3.62,1.77,1.93,1.65,2.11,1.25,0.0,1.21,2.0,1.78,1.61,1.52,3.13,3.35,8.0,1.42,1.3,3.15,1.52,2.33,1.84,1.84,2.33,1.52,3.0,1.32
ENGLAND 1,2025-12-30,17:15:00,19,Arsenal,Aston Villa,1.98,2.3,6.4,1.45,4.5,6.9,1.33,2.93,2.6,1.43,7.0,1.07,1.02,9.5,1.26,3.4,1.88,1.92,2.06,1.74,1.24,0.0,2.8,2.78,1.89,1.86,1.29,3.15,1.22,11.75,5.8,1.22,3.63,1.46,2.48,1.9,2.06,2.12,1.67,2.67,1.42
ENGLAND 1,2025-12-30,17:15:00,19,Manchester United,Wolverhampton Wanderers,1.75,2.5,8.0,1.33,5.0,7.75,1.29,3.44,2.36,1.61,5.25,1.14,1.04,10.0,1.14,4.45,1.64,2.35,1.84,1.88,1.12,0.0,3.28,1.89,0.11,1.96,0.93,2.89,1.31,10.5,5.5,1.2,3.68,1.37,2.65,1.6,2.08,2.1,1.68,2.63,1.42
