League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
SERBIA 1,2026-02-23,12:00:00,24,Javor Ivanjica,LFK Mladost Lučani,2.54,2.05,4.89,1.86,3.07,3.85,1.49,2.36,3.25,1.27,8.3,1.02,1.05,6.55,1.4,2.63,2.32,1.54,2.04,1.68,1.36,0.0,1.8,1.45,0.82,1.38,1.03,2.41,1.3,9.0,5.18,1.34,2.82,1.6,2.08,2.44,1.65,2.7,1.36,3.82,1.18
ROMANIA 1,2026-02-23,12:00:00,28,Csikszereda,Hermannstadt,3.63,2.04,2.99,2.66,3.05,2.66,1.44,2.62,2.8,1.33,8.0,1.07,1.02,7.8,1.32,2.88,2.15,1.66,1.83,1.87,1.32,0.0,1.4,1.38,0.77,1.35,1.17,2.52,2.1,6.98,1.73,1.48,2.52,1.67,1.93,2.26,1.55,3.04,1.29,4.42,1.12
ITALY 1,2026-02-23,14:30:00,26,Fiorentina,Pisa,2.22,2.3,5.37,1.65,3.88,5.0,1.37,3.05,2.65,1.47,5.8,1.08,1.05,13.3,1.25,4.1,1.79,2.08,1.74,2.06,1.29,0.0,2.24,0.83,0.67,1.72,1.06,2.78,1.38,8.0,4.0,1.37,2.87,1.7,2.13,2.49,1.69,2.71,1.43,3.46,1.24
DENMARK 1,2026-02-23,15:00:00,21,Brøndby,SønderjyskE,2.5,2.37,4.21,1.99,3.48,3.59,1.33,3.2,2.6,1.48,6.5,1.08,1.01,11.0,1.2,3.74,1.75,2.05,1.62,2.15,1.28,0.0,1.78,1.7,1.2,1.69,1.35,3.04,1.74,8.4,2.49,1.22,3.5,1.43,2.5,2.01,2.0,2.24,1.63,2.97,1.3
POLAND 1,2026-02-23,15:00:00,22,Lechia Gdańsk,Zagłębie Lubin,2.25,2.19,4.0,1.73,3.7,4.43,1.35,3.07,2.6,1.41,6.45,1.05,1.04,11.5,1.25,3.48,1.84,1.92,1.77,1.94,1.17,0.0,2.09,1.52,1.52,1.66,1.41,3.07,1.47,8.0,3.5,1.26,3.45,1.47,2.62,2.01,2.01,2.18,1.59,2.88,1.33
ROMANIA 1,2026-02-23,15:00:00,28,FCSB,Metaloglobus,1.41,3.08,11.7,1.11,6.1,13.2,1.19,3.9,1.95,1.7,4.0,1.16,1.01,20.0,1.08,5.55,1.4,2.66,2.3,1.65,1.04,0.0,6.43,1.62,0.15,1.99,1.33,3.32,1.01,18.25,9.0,1.18,3.85,1.28,2.71,1.88,2.1,2.12,1.67,2.7,1.38
NETHERLANDS 2,2026-02-23,16:00:00,28,AZ II,Den Bosch,2.73,2.59,3.19,2.2,3.5,2.62,1.21,3.68,2.08,1.7,4.33,1.16,1.01,15.5,1.09,5.83,1.43,2.59,1.38,2.81,1.23,0.0,1.58,0.46,1.0,1.71,1.35,3.06,1.89,6.5,2.36,0.0,0.0,1.33,2.83,1.8,2.23,2.01,1.7,2.6,1.4
NETHERLANDS 2,2026-02-23,16:00:00,24,Emmen,Ajax II,1.95,2.57,5.04,1.46,4.75,5.0,1.2,3.84,2.06,1.69,4.2,1.16,1.02,19.0,1.12,5.64,1.41,2.62,1.5,2.38,1.16,1.14,2.43,1.64,0.62,1.86,1.3,3.16,1.29,11.0,3.9,1.18,4.04,1.3,3.4,1.74,2.2,1.7,1.76,2.47,1.48
SAUDI ARABIA 1,2026-02-23,16:00:00,10,Al Shabab,Al Riyadh,2.24,2.11,5.43,1.58,4.2,5.6,1.38,2.7,2.74,1.37,6.5,1.05,1.01,8.5,1.23,3.9,1.87,1.83,1.83,1.86,1.22,0.0,2.01,1.2,0.55,1.64,1.21,2.85,1.57,8.6,2.77,1.18,3.9,1.36,2.7,1.88,2.04,2.07,1.61,2.74,1.35
SAUDI ARABIA 1,2026-02-23,16:00:00,10,Al Fateh,Al Akhdoud,2.18,2.27,4.84,0.0,0.0,0.0,1.31,3.22,2.4,1.46,5.5,1.11,1.04,11.9,1.18,3.88,1.67,2.07,1.67,2.05,1.13,0.0,2.23,1.27,0.1,1.49,0.78,2.27,1.41,9.1,3.34,1.21,3.79,1.34,2.78,1.84,2.08,2.09,1.73,2.62,1.38
SAUDI ARABIA 1,2026-02-23,16:00:00,10,Al Quadisiya,Al Ittifaq,1.86,2.53,5.81,1.36,5.0,7.5,1.22,3.4,2.3,1.56,5.0,1.12,1.01,14.3,1.12,4.75,1.48,2.33,1.73,2.05,1.12,0.0,2.6,2.27,1.6,1.62,1.26,2.88,1.23,10.5,5.09,1.18,3.82,1.37,2.66,1.68,2.01,2.08,1.6,2.74,1.35
SAUDI ARABIA 1,2026-02-23,16:00:00,10,Dhamk,Al Ahli,7.85,2.8,1.61,8.5,5.75,1.29,1.21,3.58,2.26,1.56,4.9,1.11,1.02,17.0,1.14,4.45,1.55,2.3,2.01,1.7,1.06,0.0,1.03,0.73,2.3,1.24,1.55,2.79,5.81,11.0,1.19,1.26,3.2,1.49,2.3,1.86,1.8,2.41,1.45,3.28,1.25
EGYPT 1,2026-02-23,16:30:00,19,El Gounah,Al Mokawloon,3.4,1.79,4.57,2.6,2.55,3.25,1.77,1.93,4.33,1.14,11.0,1.02,1.12,4.65,1.68,2.06,3.08,1.28,2.38,1.55,1.5,0.0,1.45,0.71,1.33,1.25,1.06,2.31,2.35,7.7,1.82,1.38,2.62,1.78,1.97,2.17,1.55,2.92,1.31,3.75,1.22
EGYPT 1,2026-02-23,16:30:00,19,Smouha SC,Al Ahly,7.15,2.15,2.08,5.2,3.5,1.6,1.44,2.5,3.15,1.31,8.5,1.03,1.03,7.4,1.33,2.83,2.09,1.66,2.2,1.58,1.2,0.0,1.06,1.88,1.57,1.48,1.96,3.44,2.94,6.75,1.5,1.46,2.59,1.75,1.92,2.24,1.52,3.05,1.28,3.8,1.22
EGYPT 1,2026-02-23,16:30:00,19,Kahraba Ismailia,El Geish,4.0,1.79,3.04,3.35,2.85,2.15,1.6,2.18,3.58,1.21,11.0,1.04,1.12,6.09,1.5,2.39,2.6,1.42,2.11,1.64,1.34,0.0,1.24,0.0,0.75,1.2,1.04,2.24,2.22,6.25,1.82,1.51,2.42,1.83,1.83,2.38,1.46,3.28,1.25,4.0,1.2
SPAIN 2,2026-02-23,16:30:00,27,Cádiz,Real Sociedad II,2.7,2.03,3.9,2.09,3.25,3.3,1.41,2.72,3.04,1.33,6.5,1.03,1.05,8.0,1.34,2.9,2.1,1.67,1.85,1.85,1.33,0.0,1.76,1.54,0.62,1.43,1.33,2.76,1.6,8.7,3.1,1.33,3.28,1.48,2.3,1.91,1.83,2.36,1.48,3.2,1.26
ITALY 1,2026-02-23,16:45:00,26,Bologna,Udinese,2.45,2.08,4.2,1.85,3.5,4.33,1.47,2.65,3.0,1.36,7.0,1.05,1.03,7.7,1.34,2.95,2.1,1.72,1.92,1.8,1.33,0.0,1.96,1.17,1.33,1.65,1.14,2.79,1.32,7.5,3.9,1.36,2.87,1.63,2.14,2.36,1.7,2.63,1.43,3.45,1.25
