League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2025-01-27,11:00:00,10,Zamalek,El Gounah,2.05,2.1,6.5,1.54,3.71,6.13,1.43,2.6,1.07,8.0,1.36,3.1,2.07,1.67,2.25,1.57,1.12,1.25,2.37,2.0,0.5,1.76,1.19,2.95,1.26,10.0,4.45,1.21,3.58,1.46,2.63,2.0,2.01,2.25,1.61,2.92,1.31
Romania Liga I,2025-01-27,12:00:00,23,Petrolul 52,Botoşani,2.75,1.95,5.0,2.09,3.17,3.61,1.57,2.25,1.06,6.3,1.5,2.4,2.55,1.49,2.2,1.62,1.21,1.3,1.69,1.64,0.55,1.32,1.17,2.49,1.55,8.0,2.92,1.3,2.97,1.63,2.25,2.04,1.76,2.64,1.4,3.58,1.21
Turkey Süper Lig,2025-01-27,14:00:00,21,Kasımpaşa,Hatayspor,2.3,2.38,4.75,1.72,4.0,4.5,1.33,3.25,1.04,15.0,1.21,4.22,1.67,2.15,1.67,2.1,1.22,1.28,2.2,0.78,0.25,1.45,1.03,2.48,1.46,7.0,3.05,1.25,3.4,1.44,2.55,1.73,1.97,2.12,1.63,2.7,1.4
Egypt Egyptian Premier League,2025-01-27,14:00:00,10,Haras El Hodood,Coca-Cola,5.0,1.73,2.88,3.9,2.8,2.0,1.66,2.05,1.14,5.5,1.67,2.15,3.25,1.33,2.75,1.4,1.7,1.46,1.18,1.25,0.5,0.89,1.17,2.06,2.48,6.3,1.8,1.37,2.97,1.62,2.21,2.02,1.74,2.62,1.46,3.58,1.27
Egypt Egyptian Premier League,2025-01-27,14:00:00,10,Al Masry,ENPPI,2.6,1.83,5.5,1.79,3.07,5.12,1.55,2.3,1.1,6.5,1.55,2.3,2.55,1.43,2.5,1.5,1.13,1.3,1.93,1.75,0.6,1.05,1.13,2.18,1.45,8.6,3.2,1.27,3.14,1.59,2.31,1.98,1.82,2.55,1.49,3.34,1.24
Italy Serie A,2025-01-27,14:30:00,22,Venezia,Hellas Verona,2.88,2.1,4.0,2.12,3.48,3.3,1.44,2.63,1.06,10.0,1.33,3.3,1.93,1.88,1.8,1.95,1.33,1.31,1.65,1.1,0.9,1.35,0.96,2.31,1.76,6.6,2.72,1.26,3.5,1.49,2.4,1.87,1.82,2.45,1.47,3.4,1.27
Portugal LigaPro,2025-01-27,15:00:00,19,Torreense,Benfica II,3.1,2.1,3.5,2.44,3.26,2.87,1.4,2.75,1.02,8.1,1.33,3.1,1.99,1.8,1.8,1.91,1.4,1.25,1.55,2.0,1.5,1.3,1.52,2.82,1.82,8.5,2.32,1.19,4.4,1.35,3.07,1.64,2.22,1.9,1.9,2.47,1.5
Romania Liga I,2025-01-27,15:00:00,23,CFR Cluj,SSC Farul,2.2,2.2,6.0,1.48,4.07,6.21,1.4,2.75,1.01,8.7,1.3,3.35,1.91,1.86,2.0,1.73,1.13,1.22,2.06,1.64,0.91,1.75,1.28,3.03,1.3,9.55,4.4,1.29,3.35,1.53,2.41,1.87,1.87,2.38,1.54,3.2,1.32
Netherlands Eerste Divisie,2025-01-27,16:00:00,23,PSV II,VVV,2.88,2.5,3.1,2.4,3.77,2.68,1.25,3.75,1.01,13.0,1.14,6.0,1.48,2.6,1.4,2.75,1.5,1.2,1.6,0.8,1.3,1.56,1.34,2.9,2.09,6.55,2.11,1.28,3.2,1.36,2.7,1.67,2.17,2.06,1.73,2.75,1.37
Netherlands Eerste Divisie,2025-01-27,16:00:00,21,Den Bosch,Utrecht II,2.2,2.38,5.0,1.62,3.9,5.25,1.33,3.25,1.02,17.0,1.2,4.33,1.67,2.15,1.67,2.1,1.16,1.18,2.35,1.73,0.5,1.74,1.24,2.98,1.5,6.75,2.9,1.36,2.8,1.61,2.15,1.98,1.73,2.5,1.46,3.25,1.28
