League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
England EFL League One,2025-01-21,16:45:00,26,Peterborough United,Exeter City,2.63,2.3,3.6,2.1,3.5,3.4,1.3,3.4,1.02,17.0,1.18,4.75,1.65,2.15,1.67,2.1,1.32,1.28,1.71,1.29,1.08,1.22,0.87,2.09,1.84,6.8,2.48,1.2,4.0,1.25,3.28,1.48,2.4,1.85,1.85,2.3,1.52
England EFL League One,2025-01-21,16:45:00,26,Bolton Wanderers,Charlton Athletic,2.88,2.2,3.75,2.1,3.4,3.4,1.4,2.75,1.06,8.5,1.3,3.35,1.91,1.83,1.75,2.0,1.3,1.25,1.67,1.62,1.17,1.68,1.27,2.95,1.62,7.2,2.99,1.25,3.6,1.25,3.28,1.48,2.4,1.85,1.85,2.3,1.52
England EFL League One,2025-01-21,16:45:00,16,Wigan Athletic,Burton Albion,2.25,2.2,4.5,1.7,3.5,5.25,1.36,2.88,1.05,9.0,1.28,3.5,2.2,1.6,1.77,1.9,1.18,1.22,2.05,1.09,0.75,1.18,1.06,2.24,1.33,9.9,4.15,1.22,3.5,1.44,2.51,1.77,1.95,2.27,1.53,2.97,1.3
England Championship,2025-01-21,16:45:00,28,Watford,Preston North End,2.5,2.3,4.33,2.05,3.4,3.5,1.33,3.25,1.07,10.0,1.33,3.3,2.0,1.73,1.62,2.2,1.28,1.28,1.78,2.23,0.69,1.43,1.05,2.48,1.57,6.75,2.65,1.29,3.2,1.49,2.4,1.81,1.88,2.25,1.55,2.9,1.35
England Championship,2025-01-21,16:45:00,28,Swansea City,Sheffield United,3.5,2.1,3.1,2.62,3.3,2.62,1.4,2.75,1.06,10.0,1.35,3.25,1.95,1.8,1.73,2.0,1.48,1.28,1.5,1.54,1.79,1.45,1.25,2.7,1.75,6.75,2.25,1.19,4.1,1.33,2.95,1.54,2.3,1.85,1.83,2.3,1.54
England Championship,2025-01-21,16:45:00,28,Oxford United,Luton Town,3.0,2.2,3.5,2.6,3.4,2.62,1.4,2.75,1.07,9.5,1.35,3.25,2.1,1.67,1.67,2.1,1.52,1.3,1.45,1.79,0.31,1.16,1.13,2.29,2.2,6.75,1.79,1.19,4.1,1.34,2.9,1.56,2.23,1.9,1.79,2.38,1.5
England Championship,2025-01-21,16:45:00,28,Hull City,Queens Park Rangers,2.88,2.0,4.0,2.2,3.25,3.4,1.5,2.5,1.08,7.5,1.4,2.88,2.15,1.65,1.91,1.8,1.3,1.3,1.62,0.86,1.15,1.31,0.84,2.15,1.46,7.0,3.0,1.15,4.6,1.27,3.3,1.46,2.5,1.72,1.98,2.08,1.65
England Championship,2025-01-21,16:45:00,28,Derby County,Sunderland,4.0,2.1,2.75,3.4,3.3,2.15,1.44,2.63,1.06,8.5,1.36,3.1,2.1,1.65,1.83,1.83,1.6,1.28,1.35,1.54,1.43,1.39,1.35,2.74,2.02,6.75,1.95,1.21,3.8,1.38,2.7,1.64,2.1,1.98,1.72,2.5,1.46
England Championship,2025-01-21,16:45:00,28,Blackburn Rovers,Coventry City,3.4,2.2,3.1,2.62,3.3,2.7,1.4,2.75,1.05,9.0,1.3,3.45,2.05,1.7,1.67,2.1,1.45,1.25,1.5,1.86,0.79,1.26,1.09,2.35,2.07,6.75,1.91,1.2,3.9,1.37,2.8,1.62,2.12,1.97,1.72,2.48,1.47
England EFL League Two,2025-01-21,16:45:00,26,Harrogate Town,Colchester United,4.5,2.05,2.63,3.7,3.4,2.05,1.44,2.63,1.06,9.5,1.38,3.0,2.1,1.67,1.91,1.8,1.75,1.31,1.27,1.15,1.08,1.08,1.07,2.15,2.85,6.75,1.65,1.18,3.9,1.37,2.75,1.7,2.05,2.09,1.63,2.7,1.36
England EFL League Two,2025-01-21,16:45:00,17,Fleetwood Town,Milton Keynes Dons,2.88,2.25,3.4,2.3,3.6,2.9,1.33,3.25,1.05,9.0,1.28,3.55,1.75,1.95,1.62,2.2,1.45,1.25,1.48,1.33,1.3,1.31,1.42,2.73,1.82,7.0,2.43,1.27,3.38,1.49,2.44,1.82,1.98,2.32,1.54,3.05,1.33
England Championship,2025-01-21,16:45:00,28,Middlesbrough,West Bromwich Albion,2.6,2.2,4.5,1.95,3.5,3.8,1.4,2.75,1.05,9.0,1.33,3.3,1.95,1.8,1.8,1.91,1.25,1.25,1.8,1.64,1.36,1.48,1.15,2.63,1.49,7.0,2.9,1.17,4.3,1.3,3.15,1.5,2.35,1.81,1.88,2.23,1.57
England Championship,2025-01-21,17:00:00,28,Millwall,Cardiff City,2.63,2.05,4.75,2.1,3.1,3.75,1.5,2.5,1.1,6.5,1.5,2.4,2.37,1.53,2.0,1.73,1.25,1.3,1.7,1.43,0.77,1.34,1.1,2.44,1.7,6.75,2.4,1.24,3.55,1.43,2.6,1.68,2.02,2.08,1.65,2.65,1.41
