League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Germany Bundesliga,2025-01-15,14:30:00,17,Bochum,St. Pauli,3.1,2.1,3.4,2.32,3.12,2.63,1.4,2.75,1.06,10.0,1.36,3.2,1.9,1.96,1.75,2.0,1.42,1.32,1.5,0.71,1.13,1.25,1.13,2.38,1.88,6.4,2.15,1.24,3.7,1.44,2.55,1.78,1.9,2.35,1.52,3.25,1.29
England Premier League,2025-01-15,16:30:00,21,Everton,Aston Villa,3.75,2.1,3.0,3.11,3.16,2.04,1.44,2.63,1.08,9.2,1.37,3.25,1.95,1.91,1.8,1.95,1.57,1.33,1.36,1.11,1.11,1.34,1.12,2.46,2.48,6.75,1.64,1.24,3.55,1.41,2.65,1.68,2.04,2.05,1.67,2.55,1.44
England Premier League,2025-01-15,16:30:00,21,Leicester City,Crystal Palace,4.0,2.3,2.5,2.98,3.29,2.04,1.33,3.25,1.04,14.0,1.24,4.25,1.75,2.05,1.62,2.2,1.78,1.28,1.28,0.9,1.11,1.11,1.4,2.51,2.55,6.75,1.61,1.19,4.1,1.33,2.95,1.55,2.28,1.88,1.81,2.33,1.52
England Premier League,2025-01-15,16:30:00,21,Newcastle United,Wolverhampton Wanderers,1.8,2.75,6.5,1.51,4.18,5.0,1.22,4.0,1.01,25.0,1.13,6.4,1.45,2.7,1.67,2.1,1.09,1.15,3.1,1.89,0.9,1.56,1.22,2.78,1.16,10.0,5.4,1.15,4.6,1.26,3.4,1.44,2.55,1.68,2.04,2.02,1.68
Germany Bundesliga,2025-01-15,16:30:00,17,Stuttgart,RB Leipzig,2.6,2.5,3.4,1.95,3.58,2.96,1.25,3.75,1.02,19.0,1.15,5.5,1.44,2.75,1.44,2.63,1.36,1.26,1.68,1.75,1.63,1.96,1.12,3.08,1.68,6.4,2.45,1.24,3.7,1.44,2.55,1.78,1.9,2.3,1.53,3.2,1.3
Germany Bundesliga,2025-01-15,16:30:00,17,Bayern München,Hoffenheim,1.44,3.5,10.0,1.12,7.53,11.56,1.14,5.5,0.0,0.0,1.05,10.0,1.22,4.2,1.75,2.0,1.02,1.06,6.0,2.71,0.57,2.19,1.11,3.3,1.05,14.0,11.0,1.17,4.6,1.32,3.1,1.58,2.2,1.98,1.72,2.6,1.43
Germany Bundesliga,2025-01-15,16:30:00,17,Werder Bremen,Heidenheim,2.1,2.4,5.0,1.49,3.98,4.84,1.3,3.4,1.02,17.0,1.2,4.5,1.6,2.3,1.67,2.1,1.17,1.22,2.25,1.29,0.75,1.26,1.13,2.39,1.5,6.75,2.9,1.26,3.5,1.49,2.4,1.87,1.82,2.45,1.47,3.4,1.27
Germany Bundesliga,2025-01-15,16:30:00,17,Union Berlin,Augsburg,2.6,2.1,4.75,1.88,3.14,3.59,1.44,2.63,1.07,9.5,1.38,3.1,2.05,1.75,1.95,1.8,1.21,1.31,1.87,1.71,0.29,1.41,0.95,2.36,1.54,6.75,2.7,1.21,4.0,1.39,2.75,1.7,2.0,2.2,1.6,3.0,1.34
England Championship,2025-01-15,16:45:00,16,Blackburn Rovers,Portsmouth,2.25,2.25,5.0,1.71,3.46,4.36,1.36,3.0,1.04,13.0,1.28,3.75,2.01,1.83,1.8,1.91,1.17,1.22,2.25,1.77,0.54,1.26,0.94,2.2,1.55,6.75,2.65,1.18,4.1,1.34,2.9,1.57,2.23,1.9,1.79,2.35,1.5
Italy Serie A,2025-01-15,16:45:00,19,Inter Milan,Bologna,1.95,2.38,6.5,1.37,4.18,6.47,1.33,3.25,1.03,13.0,1.25,4.0,1.75,2.05,1.95,1.8,1.11,1.2,2.65,2.22,1.67,1.57,1.17,2.74,1.27,7.5,4.1,1.35,2.95,1.63,2.1,2.1,1.63,2.85,1.36,4.1,1.2
Scotland Premiership,2025-01-15,17:00:00,17,Rangers,Aberdeen,1.91,2.5,6.5,1.25,5.3,7.4,1.3,3.4,1.02,15.0,1.12,6.5,1.4,2.75,1.91,1.91,1.04,1.09,3.7,2.82,1.2,2.0,1.2,3.2,1.24,8.5,4.1,1.11,5.3,1.21,3.8,1.36,2.8,1.58,2.18,1.88,1.8
England Premier League,2025-01-15,17:00:00,21,Arsenal,Tottenham Hotspur,1.8,2.75,6.0,1.49,4.27,5.0,1.22,4.0,1.01,27.0,1.14,6.2,1.36,3.1,1.62,2.2,1.1,1.16,3.0,2.33,1.11,1.98,1.67,3.65,1.25,8.5,4.1,1.17,4.35,1.29,3.15,1.49,2.4,1.77,1.92,2.17,1.6
