League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2025-01-31,11:00:00,11,Ismaily SC,El Geish,3.25,1.8,4.0,2.34,2.85,3.29,1.67,2.1,1.15,4.9,1.63,2.15,3.05,1.3,2.38,1.53,1.29,1.43,1.53,1.5,2.4,1.04,1.17,2.21,1.95,6.15,2.26,1.3,2.97,1.66,2.19,2.07,1.73,2.62,1.38,3.58,1.21
Egypt Egyptian Premier League,2025-01-31,11:00:00,11,El Gounah,Haras El Hodood,3.25,1.8,4.0,2.42,2.53,3.65,1.75,1.98,1.14,5.5,1.66,2.1,2.85,1.35,2.5,1.5,1.26,1.41,1.48,0.67,1.17,1.2,1.04,2.24,1.82,6.1,2.47,1.36,2.7,1.72,2.09,2.18,1.67,2.88,1.32,3.6,1.25
Romania Liga I,2025-01-31,12:00:00,24,Hermannstadt,UTA Arad,2.9,1.96,4.0,2.26,3.0,3.37,1.56,2.3,1.08,7.0,1.44,2.7,2.24,1.55,1.95,1.74,1.3,1.32,1.53,1.73,1.0,1.23,1.2,2.43,1.76,6.4,2.3,1.52,2.3,1.87,1.79,2.4,1.48,3.15,1.29,4.35,1.16
Croatia Prva HNL,2025-01-31,13:00:00,20,Istra 1961,Gorica,2.5,2.1,5.0,1.75,3.4,4.1,1.44,2.63,1.06,8.0,1.36,3.0,2.2,1.65,2.0,1.73,1.21,1.29,1.9,1.11,0.0,1.22,0.96,2.18,1.47,7.3,3.66,1.55,2.23,1.99,1.73,2.64,1.4,3.7,1.2,5.25,1.14
Serbia SuperLiga,2025-01-31,13:00:00,21,Napredak,Vojvodina,4.0,2.05,2.63,3.97,3.48,1.84,1.44,2.63,1.06,8.0,1.33,3.15,1.96,1.76,1.91,1.8,1.84,1.27,1.22,1.3,1.8,1.35,1.68,3.03,2.9,8.0,1.59,1.4,2.82,1.68,2.11,2.11,1.68,2.75,1.42,3.82,1.24
Egypt Egyptian Premier League,2025-01-31,14:00:00,11,Pyramids FC,Zamalek,2.88,2.1,3.6,2.19,3.32,3.09,1.44,2.55,1.06,8.5,1.33,3.25,1.95,1.77,1.8,1.91,1.35,1.34,1.57,2.5,1.75,1.88,1.51,3.39,1.67,8.2,2.52,1.25,3.28,1.54,2.41,2.38,1.88,2.43,1.54,3.2,1.26
Turkey Süper Lig,2025-01-31,14:00:00,22,Konyaspor,BB Bodrumspor,2.8,2.01,4.2,2.13,3.27,3.46,1.44,2.57,1.06,8.22,1.38,2.96,2.18,1.65,1.92,1.79,1.31,1.33,1.71,1.22,0.5,1.38,1.17,2.55,1.91,8.0,2.1,1.29,3.35,1.53,2.41,1.87,1.87,2.38,1.54,3.2,1.32
Poland Ekstraklasa,2025-01-31,14:00:00,19,GKS Katowice,Stal Mielec,2.88,2.25,3.5,2.1,3.2,3.47,1.33,3.15,1.02,11.0,1.18,3.88,1.71,2.06,1.57,2.25,1.32,1.28,1.69,1.33,0.44,1.72,1.3,3.02,1.84,6.4,2.17,1.33,2.88,1.57,2.16,2.2,1.72,2.45,1.45,3.15,1.28
Turkey Süper Lig,2025-01-31,14:00:00,22,Eyüpspor,Sivasspor,2.35,2.15,4.2,1.81,3.59,4.29,1.36,2.9,1.03,10.65,1.25,3.82,1.82,1.94,1.75,1.95,1.22,1.26,1.95,2.22,0.78,1.47,1.09,2.56,1.53,6.75,2.8,1.37,2.8,1.63,2.12,2.02,1.68,2.55,1.44,3.4,1.26
Germany 2. Bundesliga,2025-01-31,14:30:00,20,Nürnberg,Darmstadt 98,2.65,2.2,3.3,2.33,3.66,2.85,1.3,3.2,1.04,10.0,1.22,4.2,1.67,2.21,1.55,2.3,1.37,1.28,1.63,1.89,1.33,1.57,1.77,3.34,1.81,6.75,2.17,1.19,4.1,1.33,2.95,1.54,2.3,1.85,1.83,2.32,1.53
