League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Paraguay Division Profesional,2025-02-03,09:00:00,3,2 de Mayo,Guaraní,3.75,1.91,3.4,2.7,3.0,2.37,1.53,2.38,1.08,7.0,1.46,2.6,2.3,1.5,2.1,1.67,1.51,1.33,1.4,2.0,3.0,1.16,0.98,2.14,1.88,6.15,2.36,1.3,2.97,1.56,2.16,2.0,1.69,2.59,1.39,3.58,1.21
Serbia SuperLiga,2025-02-03,13:00:00,21,Radnički Kragujevac,OFK Beograd,2.4,2.2,4.33,1.88,3.35,3.45,1.36,3.0,1.05,8.5,1.25,3.6,1.85,1.91,1.73,2.0,1.22,1.25,1.89,1.7,2.0,1.61,1.36,2.97,1.64,8.0,2.67,1.35,2.74,1.67,2.03,2.1,1.59,2.83,1.33,3.9,1.23
Greece Super League,2025-02-03,13:00:00,21,Asteras Tripolis,Lamia,2.4,2.0,6.0,1.67,3.4,5.25,1.57,2.25,1.09,4.7,1.48,2.55,2.37,1.48,2.38,1.53,1.15,1.3,2.28,1.6,0.6,1.44,0.96,2.4,1.25,7.3,5.25,1.39,2.65,1.72,1.93,2.25,1.53,3.1,1.29,4.15,1.21
Turkey Süper Lig,2025-02-03,14:00:00,22,Gazişehir Gaziantep,Galatasaray,5.5,2.75,1.87,7.54,4.94,1.36,1.25,4.33,1.01,26.0,1.1,6.6,1.38,2.96,1.55,2.4,3.0,1.2,1.14,2.1,2.78,1.47,2.0,3.47,6.4,8.7,1.17,1.25,3.4,1.44,2.55,1.72,1.98,2.12,1.63,2.65,1.4
Czech Republic First League,2025-02-03,14:00:00,20,Sigma Olomouc,Viktoria Plzeň,4.75,2.3,2.3,4.23,3.81,1.71,1.33,3.25,1.04,11.0,1.23,3.8,1.73,2.08,1.75,2.0,2.07,1.22,1.21,1.56,1.89,1.6,1.32,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2025-02-03,15:00:00,19,Śląsk Wrocław,Piast Gliwice,3.6,1.91,3.6,2.73,2.88,2.81,1.58,2.26,1.11,6.5,1.48,2.37,2.4,1.5,2.1,1.67,1.42,1.33,1.45,0.78,1.22,1.47,1.31,2.78,1.95,6.1,2.07,1.53,2.25,1.89,1.75,2.45,1.45,3.25,1.26,4.4,1.14
Romania Liga I,2025-02-03,15:00:00,24,SSC Farul,Petrolul 52,3.25,1.95,3.75,2.17,3.12,3.47,1.53,2.38,1.03,7.4,1.44,2.65,2.25,1.53,2.0,1.73,1.32,1.34,1.49,1.36,1.27,1.72,1.33,3.05,1.84,6.25,2.18,1.5,2.35,1.83,1.83,2.35,1.5,3.15,1.3,4.3,1.16
Portugal Liga NOS,2025-02-03,15:45:00,20,Moreirense FC,Sporting Braga,4.75,2.1,2.5,4.0,3.5,1.85,1.44,2.63,1.06,10.0,1.36,3.2,1.95,1.75,1.91,1.91,1.9,1.29,1.22,1.78,2.44,1.19,1.47,2.66,2.8,6.75,1.52,1.33,2.95,1.56,2.23,1.85,1.85,2.4,1.48,3.15,1.29
Netherlands Eerste Divisie,2025-02-03,16:00:00,21,De Graafschap,ADO Den Haag,2.88,2.38,3.2,2.3,3.9,2.7,1.29,3.5,1.01,19.0,1.17,5.0,1.57,2.35,1.5,2.5,1.44,1.2,1.65,2.27,1.0,1.84,1.51,3.35,1.9,6.4,2.08,1.3,3.05,1.53,2.3,1.86,1.82,2.35,1.5,3.05,1.32
Netherlands Eerste Divisie,2025-02-03,16:00:00,24,AZ II,VVV,2.5,2.4,3.75,1.91,3.8,3.6,1.29,3.5,1.02,17.0,1.17,5.0,1.57,2.35,1.5,2.5,1.33,1.2,1.85,1.09,1.45,1.78,1.37,3.15,1.71,6.75,2.38,1.33,2.95,1.56,2.23,1.92,1.77,2.4,1.49,3.15,1.3
