League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
FRANCE 3,2025-09-05,13:30:00,5,Ajaccio,Versailles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,1.13,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-09-05,13:30:00,5,Concarneau,Quevilly Rouen,2.7,2.1,4.0,2.03,3.15,3.7,1.4,2.63,3.0,1.33,8.8,1.06,1.02,8.0,1.41,2.9,2.2,1.61,1.92,1.76,1.3,0,1.78,3.0,0.0,0.0,1.17,1.17,1.63,7.27,3.03,1.37,2.88,1.65,2.1,2.07,1.65,2.69,1.36,4.02,1.16
FRANCE 3,2025-09-05,13:30:00,5,Stade Briochin,Valenciennes,3.6,1.95,2.85,3.09,3.1,2.29,1.48,2.7,3.14,1.33,8.1,1.06,1.02,7.0,1.34,2.75,2.31,1.6,1.85,1.76,1.33,0,1.33,1.33,0.33,1.33,1.0,2.33,2.4,6.9,1.94,1.38,2.56,1.72,2.0,2.56,1.61,2.8,1.38,3.6,1.25
FRANCE 3,2025-09-05,13:30:00,5,Villefranche,Fleury 91,3.64,1.95,3.0,2.75,3.0,2.37,1.48,2.5,3.2,1.32,8.5,1.02,1.03,7.4,1.4,2.74,2.18,1.6,1.92,1.8,1.33,0,1.36,1.33,1.33,0.94,1.09,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-09-05,13:30:00,5,Caen,Dijon,3.0,2.0,3.48,2.46,3.1,2.8,1.44,2.63,3.0,1.33,8.0,1.06,1.01,8.0,1.29,2.92,2.1,1.65,1.91,1.83,1.33,0,1.5,1.33,1.67,1.8,1.71,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2025-09-05,13:30:00,5,Orléans,Le Puy F.43 Auvergne,2.9,2.0,4.0,2.25,3.2,3.1,1.4,2.63,3.0,1.33,8.5,1.06,1.03,7.5,1.35,2.75,2.15,1.66,1.83,1.83,1.33,0,1.57,1.33,0.5,1.4,1.45,2.85,1.7,7.08,2.49,1.43,2.54,1.72,1.95,2.21,1.55,3.06,1.29,4.44,1.12
FRANCE 3,2025-09-05,13:30:00,5,Paris 13 Atletico,Sochaux,3.6,2.02,3.0,3.27,3.0,2.29,1.51,2.5,3.48,1.29,10.0,1.05,1.04,6.5,1.45,2.5,2.2,1.53,2.01,1.7,1.53,0,1.35,2.0,2.0,1.54,0.96,2.5,1.93,6.91,2.3,1.35,2.73,1.66,2.04,2.16,1.65,2.8,1.35,3.6,1.25
FRANCE 3,2025-09-05,13:30:00,5,Bourg-en-Bresse,Aubagne,2.75,1.95,3.8,2.24,3.0,3.2,1.49,2.63,3.0,1.28,8.5,1.06,1.04,6.5,1.39,2.59,2.23,1.53,1.91,1.7,1.31,0,1.6,0.5,0.5,0.0,0.81,0.81,1.58,8.0,2.78,1.4,2.56,1.74,1.92,2.24,1.52,3.04,1.36,3.8,1.22
SPAIN 2,2025-09-05,14:30:00,4,Albacete Balompié,Mirandés,2.5,2.17,4.02,1.92,3.3,4.0,1.44,2.7,2.85,1.35,9.0,1.06,1.01,7.5,1.32,2.97,1.97,1.75,1.84,1.84,1.24,0,1.85,0.0,2.0,0.92,0.64,1.56,1.7,8.7,2.48,1.23,3.25,1.48,2.6,1.85,1.83,2.32,1.56,3.02,1.33
NETHERLANDS 2,2025-09-05,15:00:00,6,De Graafschap,Emmen,1.98,2.7,4.75,1.52,4.7,5.6,1.23,3.9,2.21,1.67,4.8,1.18,1.03,17.0,1.15,5.1,1.5,2.41,1.62,2.2,1.14,0,2.45,1.0,1.0,2.63,1.15,3.78,1.43,9.3,3.25,1.17,4.35,1.31,3.02,1.69,2.34,1.93,1.85,2.34,1.49
SPAIN 2,2025-09-05,16:30:00,4,Córdoba,CD Castellón,2.5,2.31,3.4,2.15,3.25,2.95,1.3,3.2,2.38,1.53,5.55,1.12,1.03,10.0,1.15,4.33,1.64,2.2,1.54,2.28,1.25,0,1.62,1.5,0.0,1.51,2.11,3.62,1.82,9.7,2.3,1.22,4.0,1.38,2.7,1.67,2.1,2.1,1.67,2.62,1.34
BRAZIL 2,2025-09-05,17:00:00,25,Amazonas,Remo,2.88,1.85,4.0,2.15,3.04,3.5,1.55,2.4,3.5,1.25,9.3,1.05,1.05,6.6,1.5,2.45,2.6,1.5,1.98,1.7,1.32,0,1.61,1.5,1.18,1.4,1.13,2.53,1.65,7.5,2.63,1.08,5.13,1.25,3.45,1.6,2.55,1.85,2.02,2.32,1.73
