League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Romania Liga I,2025-01-17,12:00:00,22,Unirea Slobozia,Sepsi,3.9,1.98,2.95,3.25,3.0,2.3,1.49,2.45,1.08,7.0,1.39,2.85,2.12,1.64,1.94,1.81,1.54,1.32,1.3,1.05,1.43,1.33,1.41,2.74,2.23,6.4,1.79,1.36,2.8,1.62,2.1,2.02,1.67,2.6,1.41,3.4,1.25
Turkey Süper Lig,2025-01-17,14:00:00,20,Hatayspor,Galatasaray,6.25,2.75,1.68,8.41,5.98,1.29,1.21,4.0,1.01,29.0,1.08,7.32,1.32,3.25,1.65,2.1,3.4,1.13,1.08,0.7,3.0,1.25,1.91,3.16,4.4,8.5,1.23,1.21,3.8,1.37,2.8,1.6,2.17,1.95,1.75,2.4,1.49
Germany 2. Bundesliga,2025-01-17,14:30:00,18,Fortuna Düsseldorf,Darmstadt 98,2.88,2.38,3.25,2.38,3.5,2.63,1.29,3.5,1.04,10.0,1.18,4.5,1.53,2.4,1.5,2.5,1.43,1.27,1.57,1.0,1.38,1.57,1.79,3.36,1.86,6.25,2.17,1.33,2.95,1.57,2.23,1.92,1.77,2.4,1.49,3.1,1.3
Germany 2. Bundesliga,2025-01-17,14:30:00,18,Jahn Regensburg,Hannover 96,4.5,2.2,2.5,3.8,3.75,1.8,1.4,2.75,1.04,10.0,1.28,3.4,1.86,1.88,1.83,1.83,1.93,1.26,1.23,1.11,0.63,1.25,1.18,2.43,2.65,7.0,1.56,1.24,3.55,1.42,2.63,1.68,2.04,2.06,1.66,2.63,1.42
France Ligue 1,2025-01-17,15:00:00,18,Montpellier,Monaco,5.0,2.5,2.1,4.5,4.0,1.7,1.29,3.5,1.02,21.0,1.16,5.5,1.48,2.54,1.62,2.2,2.25,1.22,1.17,1.0,1.75,1.44,1.5,2.94,2.65,6.4,1.57,1.3,3.05,1.55,2.28,1.89,1.8,2.38,1.5,3.05,1.3
Romania Liga I,2025-01-17,15:00:00,22,FCSB,Hermannstadt,1.99,2.21,6.8,1.44,4.0,7.5,1.44,2.6,1.05,8.5,1.32,3.2,1.9,1.8,2.1,1.62,1.09,1.19,2.34,1.76,1.24,1.8,1.28,3.08,1.36,6.75,3.55,1.55,2.25,1.9,1.76,2.43,1.46,3.2,1.28,4.35,1.15
Portugal LigaPro,2025-01-17,15:00:00,18,Benfica II,Leixões,2.7,2.05,3.8,2.05,3.2,3.3,1.42,2.65,1.06,8.0,1.35,3.0,2.0,1.72,1.83,1.85,1.3,1.3,1.7,2.11,0.63,1.55,1.34,2.89,1.82,8.0,2.33,1.25,3.75,1.45,2.63,1.74,2.02,2.19,1.63,2.82,1.4
Netherlands Eerste Divisie,2025-01-17,16:00:00,22,Cambuur,Excelsior,3.0,2.15,3.1,2.5,3.5,2.6,1.33,3.0,1.04,10.0,1.22,4.2,1.67,2.15,1.5,2.35,1.48,1.25,1.5,1.0,1.55,1.76,1.77,3.53,1.91,6.4,2.08,1.34,2.9,1.58,2.18,1.95,1.75,2.45,1.48,3.15,1.29
France Ligue 2,2025-01-17,16:00:00,19,Ajaccio,Caen,3.45,1.91,3.25,2.88,3.0,2.5,1.5,2.4,1.1,6.5,1.45,2.7,2.29,1.55,1.91,1.77,1.48,1.33,1.4,1.56,0.5,1.22,1.32,2.54,2.05,6.1,1.98,1.49,2.4,1.82,1.86,2.32,1.53,3.05,1.32,4.0,1.2
Netherlands Eerste Divisie,2025-01-17,16:00:00,22,ADO Den Haag,Helmond Sport,1.93,2.45,5.25,1.45,4.5,6.25,1.25,3.45,1.01,13.0,1.17,5.0,1.5,2.5,1.6,2.15,1.11,1.15,2.6,1.91,1.6,1.86,1.29,3.15,1.43,7.0,3.15,1.32,3.05,1.55,2.28,1.9,1.79,2.38,1.5,3.05,1.32
