League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ROMANIA 1,2025-12-15,12:30:00,20,SSC Farul,UTA Arad,2.5,2.05,4.33,1.89,3.3,3.47,1.42,2.65,2.69,1.36,6.5,1.06,1.05,8.5,1.25,3.35,1.77,1.93,1.75,2.0,1.25,1.3,1.88,1.89,1.33,1.79,1.25,3.04,1.62,8.5,2.67,1.27,3.34,1.57,2.39,2.19,1.83,2.42,1.51,3.14,1.27
PORTUGAL 1,2025-12-15,14:30:00,14,CD Nacional,CD Tondela,3.06,2.17,3.6,2.3,3.2,3.15,1.46,2.53,2.7,1.33,6.5,1.02,1.06,8.5,1.35,3.0,2.05,1.68,1.83,1.88,1.31,1.28,1.57,0.5,1.0,1.22,1.14,2.36,1.8,8.5,2.28,1.22,3.5,1.44,2.47,1.85,1.91,2.27,1.52,3.04,1.29
SERBIA 1,2025-12-15,15:30:00,19,Bačka Topola,Red Star Belgrade,6.45,2.63,1.75,12.0,5.9,1.15,1.25,3.42,2.17,1.61,4.6,1.13,1.01,17.0,1.15,5.0,1.44,2.59,1.7,2.0,1.17,1.12,1.1,1.56,2.11,1.68,2.76,4.44,8.6,13.25,1.13,1.26,3.2,1.53,2.3,1.87,1.79,2.42,1.48,3.28,1.25
ROMANIA 1,2025-12-15,15:30:00,20,Unirea Slobozia,FCSB,4.66,2.2,2.25,4.6,3.56,1.61,1.37,2.8,3.0,1.4,6.75,1.04,1.06,8.1,1.33,3.25,1.94,1.76,1.85,1.8,1.28,1.22,1.16,1.11,1.3,1.42,1.84,3.26,4.24,8.8,1.38,1.21,3.28,1.63,2.54,1.98,1.97,2.2,1.61,3.14,1.27
PORTUGAL 1,2025-12-15,15:45:00,14,Sporting Braga,Santa Clara,2.02,2.2,7.1,1.48,3.95,7.3,1.43,2.62,3.02,1.33,7.6,1.03,1.06,9.0,1.33,3.1,2.1,1.65,2.22,1.64,1.24,1.2,2.77,1.67,0.83,1.55,1.24,2.79,1.36,9.5,4.4,1.35,2.79,1.7,2.12,2.05,1.68,2.78,1.34,3.6,1.23
SPAIN 2,2025-12-15,16:30:00,18,CD Castellón,Mirandés,1.91,2.33,6.0,1.44,4.5,6.5,1.33,3.32,2.6,1.45,5.75,1.07,1.01,12.1,1.22,3.9,1.77,1.98,2.0,1.84,1.11,1.15,2.72,1.75,1.0,1.92,1.07,2.99,1.2,11.0,5.3,1.27,3.18,1.52,2.36,2.12,1.87,2.37,1.55,3.07,1.32
SCOTLAND 1,2025-12-15,16:45:00,17,Rangers,Hibernian,2.4,2.2,4.0,1.75,3.41,3.92,1.34,2.89,2.69,1.46,6.25,1.06,1.05,11.0,1.26,3.8,1.77,1.93,1.72,2.16,1.29,1.29,1.98,1.43,1.5,1.73,1.24,2.97,1.53,9.5,3.44,1.14,4.4,1.3,3.1,1.78,2.22,1.93,1.76,2.47,1.48
ITALY 1,2025-12-15,16:45:00,15,Roma,Como,2.63,2.1,3.9,2.2,3.15,3.45,1.44,2.44,3.18,1.32,8.3,1.03,1.08,7.1,1.36,2.88,2.23,1.62,1.87,1.85,1.33,1.3,1.67,1.71,1.29,1.6,1.44,3.04,1.67,8.0,2.9,1.47,2.43,1.8,1.88,2.47,1.52,3.1,1.32,4.1,1.18
FRANCE 2,2025-12-15,16:45:00,17,Boulogne,Troyes,4.0,2.05,2.63,3.6,3.04,1.95,1.45,2.69,3.15,1.32,7.6,1.03,1.07,7.5,1.32,2.8,2.17,1.62,1.91,1.79,1.28,1.28,1.25,0.88,1.43,1.26,1.43,2.69,2.75,8.0,1.66,1.36,2.75,1.74,2.05,2.5,1.64,2.75,1.33,4.05,1.21
ENGLAND 1,2025-12-15,17:00:00,16,Manchester United,AFC Bournemouth,2.36,2.45,4.0,1.85,4.0,3.85,1.23,3.54,2.17,1.62,5.0,1.15,1.02,17.0,1.15,4.9,1.6,2.35,1.51,2.4,1.25,1.2,1.95,1.86,0.71,2.02,1.46,3.48,1.67,7.5,2.6,1.23,4.23,1.41,3.07,1.63,2.32,1.95,1.77,2.35,1.53
