League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Egypt Egyptian Premier League,2025-01-28,11:00:00,10,National Bank of Egypt,Petrojet,3.0,1.91,4.0,2.02,2.75,3.82,1.57,2.25,1.11,6.0,1.53,2.37,2.55,1.45,2.1,1.67,1.24,1.37,1.7,1.25,1.25,1.09,1.3,2.39,1.56,8.3,2.81,1.36,2.9,1.61,2.28,2.0,1.79,2.6,1.48,3.3,1.29
Egypt Egyptian Premier League,2025-01-28,14:00:00,10,Smouha SC,Masr,3.25,1.83,3.75,2.4,3.0,2.8,1.57,2.25,1.12,5.75,1.53,2.3,2.63,1.44,2.25,1.57,1.35,1.39,1.5,1.0,2.0,1.61,1.31,2.92,1.65,6.25,2.84,1.48,2.62,1.82,1.98,2.31,1.6,3.07,1.35,4.35,1.19
Netherlands Eredivisie,2025-01-28,16:00:00,17,Heracles,Groningen,3.0,2.1,3.6,2.33,3.35,2.99,1.4,2.75,1.04,9.45,1.31,3.32,1.75,1.93,1.8,1.95,1.4,1.28,1.6,1.2,0.44,1.43,1.21,2.64,1.79,6.75,2.23,1.2,3.9,1.37,2.8,1.62,2.14,1.96,1.73,2.45,1.48
England Championship,2025-01-28,16:45:00,17,Portsmouth,Millwall,3.6,2.05,3.2,2.48,3.17,2.77,1.5,2.5,1.07,10.0,1.38,3.1,2.18,1.65,1.83,1.83,1.6,1.28,1.4,1.69,1.0,1.47,1.19,2.66,1.7,7.0,2.33,1.07,6.27,1.21,3.96,1.41,2.78,1.71,2.14,2.09,1.74
England EFL League Two,2025-01-28,16:45:00,29,Accrington Stanley,Cheltenham Town,2.88,2.2,3.75,2.24,3.22,2.98,1.4,2.75,1.05,9.0,1.3,3.4,1.87,1.8,1.73,2.0,1.35,1.25,1.62,1.17,0.83,1.27,1.13,2.4,1.82,8.0,2.39,1.22,4.0,1.41,2.77,1.7,2.05,2.09,1.69,2.68,1.44
England EFL League Two,2025-01-28,16:45:00,29,Bradford City,Morecambe,2.1,2.25,6.5,1.47,3.94,5.67,1.4,2.75,1.05,9.5,1.3,3.45,1.88,1.79,2.1,1.67,1.12,1.18,2.45,2.31,1.0,1.41,0.99,2.4,1.45,9.0,3.32,1.23,3.92,1.42,2.73,1.7,2.05,2.05,1.7,2.72,1.43
England EFL League Two,2025-01-28,16:45:00,29,Chesterfield,Bromley,2.63,2.25,4.0,1.92,3.43,3.52,1.36,3.0,1.05,9.0,1.28,3.65,1.78,1.92,1.67,2.1,1.25,1.25,1.77,1.46,1.54,1.53,1.3,2.83,1.51,8.5,3.07,1.25,3.75,1.45,2.63,1.77,1.95,2.19,1.63,2.82,1.4
England EFL League Two,2025-01-28,16:45:00,29,Colchester United,Port Vale,3.1,2.05,3.75,2.43,3.02,2.72,1.5,2.5,1.08,7.5,1.4,2.9,2.25,1.58,1.83,1.83,1.36,1.3,1.55,1.43,1.67,1.55,1.2,2.75,1.69,8.0,2.54,1.25,3.75,1.45,2.63,1.77,1.95,2.19,1.63,2.82,1.4
England EFL League Two,2025-01-28,16:45:00,29,Crewe Alexandra,AFC Wimbledon,3.4,2.0,3.5,2.62,3.03,2.63,1.5,2.5,1.08,7.5,1.5,2.4,2.23,1.6,1.91,1.8,1.44,1.3,1.48,1.92,1.42,1.24,1.23,2.47,2.1,8.0,1.91,1.29,3.35,1.53,2.41,1.85,1.85,2.38,1.54,3.2,1.32
England EFL League Two,2025-01-28,16:45:00,29,Fleetwood Town,Walsall,3.6,2.1,3.0,3.07,3.12,2.23,1.4,2.75,1.06,8.5,1.33,3.3,1.96,1.77,1.73,2.0,1.57,1.28,1.35,1.36,1.92,1.37,1.33,2.7,2.43,8.5,1.75,1.17,4.7,1.31,3.25,1.54,2.38,1.85,1.85,2.35,1.55
