League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-01-19,07:30:00,20,Göztepe,Antalyaspor,2.1,2.2,5.0,1.59,4.11,5.17,1.34,3.0,1.05,13.0,1.22,4.12,1.75,2.03,1.8,1.9,1.13,1.2,2.3,2.78,0.56,1.85,1.03,2.88,1.49,6.5,2.9,1.38,2.7,1.66,2.07,2.05,1.66,2.65,1.41,3.45,1.25
Portugal LigaPro,2025-01-19,08:00:00,18,FC Vizela,União de Leiria,2.75,1.97,4.3,2.0,3.2,3.67,1.49,2.51,1.03,7.3,1.38,2.63,2.16,1.62,1.99,1.73,1.28,1.32,1.7,1.38,1.78,1.7,1.47,3.17,1.64,8.5,2.76,1.14,4.4,1.3,2.97,1.56,2.21,2.0,1.8,2.51,1.44
Netherlands Eredivisie,2025-01-19,08:15:00,19,NAC Breda,Twente,5.0,2.3,2.25,4.96,4.0,1.63,1.33,3.25,1.03,15.0,1.22,4.08,1.66,2.14,1.7,2.05,2.1,1.24,1.19,1.67,1.44,1.33,1.51,2.84,2.95,6.75,1.48,1.27,3.3,1.48,2.43,1.79,1.9,2.23,1.56,2.9,1.35
Italy Serie A,2025-01-19,08:30:00,21,Fiorentina,Torino,2.4,2.05,5.5,1.75,3.4,5.28,1.5,2.5,1.07,9.5,1.4,3.0,2.16,1.65,2.05,1.7,1.17,1.28,2.05,1.89,1.2,1.51,1.13,2.64,1.26,7.0,4.35,1.72,1.98,2.17,1.6,2.8,1.36,3.9,1.2,5.3,1.11
England Championship,2025-01-19,09:00:00,27,Leeds United,Sheffield Wednesday,1.83,2.4,8.0,1.35,5.0,8.75,1.36,3.0,1.03,13.0,1.26,4.0,1.72,2.05,2.2,1.62,1.07,1.18,3.1,2.46,1.42,1.89,1.21,3.1,1.26,8.0,4.1,1.15,4.6,1.28,3.3,1.47,2.48,1.73,1.96,2.12,1.62
Germany 2. Bundesliga,2025-01-19,09:30:00,18,Nürnberg,Karlsruher SC,2.88,2.4,3.25,2.2,3.65,3.16,1.29,3.5,1.03,11.0,1.18,4.75,1.5,2.48,1.5,2.5,1.4,1.27,1.6,1.75,1.67,1.52,1.18,2.7,1.8,6.75,2.23,1.2,3.9,1.36,2.8,1.6,2.17,1.95,1.75,2.43,1.47
Germany 2. Bundesliga,2025-01-19,09:30:00,18,Elversberg,Magdeburg,2.75,2.38,3.4,2.13,3.85,3.17,1.29,3.5,1.04,10.0,1.17,4.75,1.54,2.38,1.5,2.5,1.39,1.26,1.63,1.78,2.44,1.5,1.33,2.83,1.84,6.5,2.17,1.21,3.8,1.37,2.8,1.61,2.15,1.95,1.74,2.43,1.48
Belgium Pro League,2025-01-19,09:30:00,22,KV Kortrijk,RSC Anderlecht,4.33,2.25,2.5,3.94,3.75,1.87,1.36,3.0,1.03,13.0,1.24,3.89,1.78,1.97,1.7,2.05,1.87,1.26,1.26,1.3,1.5,1.38,1.37,2.75,2.32,6.75,1.74,1.27,3.3,1.48,2.43,1.7,2.05,2.23,1.56,2.9,1.35
Germany 2. Bundesliga,2025-01-19,09:30:00,18,Paderborn,Hertha BSC,2.75,2.38,3.5,2.26,3.9,2.89,1.3,3.4,1.03,11.0,1.17,4.75,1.52,2.43,1.5,2.5,1.36,1.25,1.7,1.75,1.67,1.53,1.5,3.03,1.81,7.0,2.15,1.17,4.35,1.3,3.15,1.5,2.4,1.78,1.91,2.18,1.58
Spain La Liga,2025-01-19,10:00:00,20,Celta de Vigo,Athletic Club Bilbao,3.5,1.95,3.5,2.75,3.08,2.77,1.53,2.38,1.09,8.0,1.45,2.75,2.38,1.57,1.95,1.8,1.47,1.32,1.48,2.0,1.67,1.41,1.34,2.75,2.05,6.4,1.96,1.38,2.7,1.65,2.08,2.05,1.67,2.63,1.41,3.45,1.25
