League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Turkey Süper Lig,2025-02-02,07:30:00,22,Adana Demirspor,Kasımpaşa,4.0,2.3,2.25,3.82,4.01,1.81,1.28,3.3,1.03,19.0,1.15,5.17,1.52,2.45,1.55,2.25,1.95,1.25,1.23,0.27,1.64,1.21,1.27,2.48,2.65,6.5,1.58,1.28,3.3,1.48,2.45,1.78,1.91,2.23,1.57,2.8,1.36
Portugal LigaPro,2025-02-02,08:00:00,20,UD Oliveirense,Torreense,4.33,2.05,2.75,3.3,3.2,2.1,1.44,2.63,1.06,8.0,1.36,3.0,2.0,1.67,1.83,1.83,1.72,1.31,1.29,0.55,1.3,1.25,1.37,2.62,2.32,8.5,1.82,1.17,4.6,1.32,3.2,1.55,2.35,1.9,1.9,2.38,1.54
Poland Ekstraklasa,2025-02-02,08:15:00,19,Górnik Zabrze,Puszcza Niepołomice,2.1,2.3,6.0,1.5,4.2,6.0,1.33,3.0,1.05,9.5,1.25,3.75,1.8,1.94,1.95,1.8,1.12,1.18,2.4,1.7,0.6,1.91,1.01,2.92,1.24,8.0,4.3,1.23,3.5,1.41,2.55,2.1,2.05,2.05,1.7,2.55,1.41
Netherlands Eredivisie,2025-02-02,08:15:00,21,Almere City,RKC Waalwijk,2.88,2.1,3.75,2.18,3.53,3.4,1.4,2.75,1.04,10.06,1.31,3.35,1.93,1.88,1.75,2.0,1.33,1.3,1.66,0.64,0.55,1.31,1.07,2.38,1.55,6.75,2.7,1.2,3.95,1.36,2.8,1.6,2.17,1.85,1.85,2.4,1.49
Italy Serie A,2025-02-02,08:30:00,23,Juventus,Empoli,1.91,2.25,9.0,1.41,4.7,9.0,1.4,2.75,1.05,11.0,1.33,3.4,2.01,1.81,2.5,1.5,1.07,1.18,3.0,1.83,1.08,1.48,0.98,2.46,1.25,11.0,5.1,1.2,3.68,1.41,2.6,1.73,1.99,2.17,1.58,2.83,1.33
Croatia Prva HNL,2025-02-02,08:50:00,20,Lokomotiva Zagreb,Hajduk Split,4.75,2.1,2.5,4.0,3.4,1.8,1.41,2.7,1.01,8.5,1.3,3.3,1.95,1.85,1.83,1.83,2.0,1.22,1.16,1.1,1.3,1.46,1.45,2.91,2.77,8.0,1.64,1.15,4.95,1.29,3.38,2.25,2.46,1.82,1.93,2.27,1.59
Czech Republic First League,2025-02-02,09:00:00,20,Slovácko,Sparta Praha,5.0,2.2,2.38,4.6,3.72,1.75,1.4,2.75,1.05,8.5,1.28,3.5,1.93,1.89,1.8,1.95,2.05,1.26,1.2,1.4,2.0,1.21,1.67,2.88,2.65,6.5,1.58,1.42,2.65,1.71,2.0,2.12,1.64,2.7,1.38,3.55,1.24
Slovenia PrvaLiga,2025-02-02,09:00:00,19,Olimpija,Primorje,0.0,0.0,0.0,1.23,5.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.89,0.0,0.0,0.0,0.0,0.0,2.1,1.1,1.81,1.24,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2025-02-02,09:30:00,20,Paderborn,Greuther Fürth,2.2,2.4,4.75,1.73,4.2,4.6,1.29,3.5,1.04,10.0,1.17,4.75,1.53,2.2,1.57,2.25,1.2,1.23,2.1,1.4,1.2,1.64,1.26,2.9,1.53,6.75,2.7,1.2,3.95,1.35,2.88,1.58,2.18,1.92,1.77,2.4,1.49
Germany 2. Bundesliga,2025-02-02,09:30:00,20,Kaiserslautern,Preußen Münster,2.5,2.25,4.33,1.91,3.82,3.99,1.36,3.0,1.05,9.5,1.25,3.75,1.82,2.0,1.73,2.0,1.25,1.27,1.87,1.8,1.0,1.74,1.24,2.98,1.61,7.0,2.5,1.2,3.95,1.34,2.9,1.57,2.23,1.9,1.79,2.35,1.5
Belgium Pro League,2025-02-02,09:30:00,24,Royal Antwerp FC,Club Brugge,4.5,2.3,2.38,4.1,3.82,1.77,1.33,3.25,1.03,15.0,1.22,4.08,1.65,2.15,1.7,2.05,1.98,1.25,1.23,1.92,1.75,1.72,1.6,3.32,2.4,6.4,1.68,1.3,3.15,1.52,2.33,1.85,1.85,2.38,1.5,3.05,1.3
