League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
GERMANY 2,2026-01-16,14:30:00,18,Fortuna Düsseldorf,Arminia Bielefeld,3.0,2.33,3.35,2.6,3.2,2.6,1.35,3.25,2.76,1.47,5.6,1.06,1.04,9.5,1.22,4.16,1.75,1.98,1.63,2.1,1.25,1.28,1.5,1.1,0.67,1.38,1.48,2.86,2.15,8.5,2.0,1.2,3.87,1.38,2.88,1.83,2.15,2.03,1.73,2.55,1.52
GERMANY 2,2026-01-16,14:30:00,18,Eintracht Braunschweig,Magdeburg,3.0,2.33,2.88,2.7,3.4,2.3,1.25,3.28,2.36,1.55,5.5,1.08,1.02,15.0,1.18,4.3,1.64,2.26,1.44,2.44,1.29,1.25,1.45,1.1,1.3,1.35,1.77,3.12,2.06,7.4,2.05,1.21,4.1,1.39,2.77,1.87,2.12,2.05,1.74,2.6,1.43
ROMANIA 1,2026-01-16,15:00:00,22,Argeș,FCSB,4.84,2.04,2.53,3.4,3.0,2.28,1.44,2.34,3.28,1.32,8.0,1.02,1.07,6.35,1.39,2.75,2.37,1.57,1.91,1.8,1.75,1.3,1.25,1.82,1.33,1.42,1.88,3.3,2.04,7.9,2.02,1.3,2.9,1.56,2.29,1.96,1.81,2.56,1.52,3.28,1.25
GERMANY 3,2026-01-16,15:00:00,20,Jahn Regensburg,Ingolstadt,2.6,2.45,3.0,2.2,3.4,2.7,1.24,3.34,2.26,1.56,5.1,1.1,1.03,13.9,1.17,4.8,1.49,2.3,1.46,2.5,1.38,1.22,1.51,1.6,1.18,1.34,1.57,2.91,1.8,7.46,2.25,1.13,4.33,1.32,2.92,1.6,2.18,1.97,1.75,2.43,1.44
FRANCE 1,2026-01-16,15:00:00,18,Monaco,Lorient,2.1,2.43,4.8,1.64,4.2,4.85,1.26,3.45,2.35,1.6,4.75,1.13,1.03,15.0,1.18,5.3,1.54,2.38,1.62,2.4,1.25,1.22,2.27,1.6,0.67,1.47,1.13,2.6,1.46,9.2,3.15,1.33,3.05,1.58,2.26,2.35,1.76,2.53,1.4,3.23,1.28
FRANCE 3,2026-01-16,15:30:00,17,Dijon,Le Puy F.43 Auvergne,2.67,2.03,4.21,2.05,3.2,3.2,1.39,2.6,2.75,1.35,7.4,1.03,1.02,9.2,1.3,3.2,1.93,1.85,1.81,2.07,1.22,1.25,1.75,2.13,1.43,1.6,1.33,2.93,1.53,7.44,3.49,1.47,2.43,1.84,1.86,2.36,1.5,3.24,1.26,4.77,1.1
FRANCE 3,2026-01-16,15:30:00,17,Fleury 91,Orléans,3.0,2.05,3.17,2.45,3.15,2.8,1.37,2.75,2.62,1.38,6.5,1.05,1.02,9.1,1.24,3.34,1.85,1.92,1.66,2.07,1.42,1.3,1.47,1.29,1.25,1.54,1.28,2.82,1.93,6.8,2.3,1.38,2.62,1.78,1.97,2.27,1.61,3.07,1.31,4.46,1.12
FRANCE 3,2026-01-16,15:30:00,17,Sochaux,Châteauroux,2.28,2.1,5.27,1.75,3.45,4.33,1.38,2.74,2.75,1.35,7.0,1.04,1.01,9.0,1.26,3.3,1.95,1.8,1.93,1.82,1.25,1.22,1.97,2.29,1.25,1.31,0.97,2.28,1.52,7.9,2.94,1.31,2.97,1.52,2.17,2.32,1.72,2.59,1.41,3.58,1.21
FRANCE 3,2026-01-16,15:30:00,17,Concarneau,Caen,3.74,1.95,3.22,2.68,3.0,2.45,1.48,2.38,3.35,1.32,8.6,1.01,1.1,7.1,1.38,2.75,2.34,1.61,1.91,1.78,1.3,1.32,1.35,1.71,1.0,1.43,1.47,2.9,1.97,5.9,2.4,1.54,2.28,1.97,1.77,2.54,1.43,3.7,1.21,5.35,1.07
FRANCE 3,2026-01-16,15:30:00,17,Aubagne,Paris 13 Atletico,2.88,2.1,4.06,2.3,3.0,3.14,1.38,2.41,3.3,1.27,8.5,1.06,1.03,6.25,1.36,2.82,2.25,1.57,1.87,1.78,1.3,1.3,1.52,1.13,0.43,1.2,0.94,2.14,1.91,6.85,2.23,1.44,2.56,1.82,1.94,2.35,1.47,3.03,1.3,4.39,1.13
FRANCE 3,2026-01-16,15:30:00,17,Versailles,Rouen,3.26,2.11,3.0,2.7,3.1,2.45,1.48,2.38,3.25,1.27,9.2,1.0,1.03,7.4,1.37,2.8,2.42,1.57,1.98,1.77,1.52,1.27,1.36,1.25,2.14,1.51,1.13,2.64,1.89,6.75,2.34,1.53,2.3,1.94,1.78,2.49,1.51,3.5,1.26,4.68,1.11
FRANCE 3,2026-01-16,15:30:00,17,Quevilly Rouen,Stade Briochin,3.1,1.95,3.69,2.13,3.0,2.87,1.4,2.62,3.2,1.33,7.9,1.02,1.04,6.75,1.4,2.66,2.21,1.59,1.85,1.76,1.25,1.3,1.47,0.57,0.38,0.96,1.1,2.06,1.91,6.7,2.34,1.44,2.5,1.8,1.9,2.81,1.53,3.12,1.28,4.57,1.12
FRANCE 3,2026-01-16,15:30:00,17,Ajaccio,Villefranche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANCE 3,2026-01-16,15:30:00,17,Valenciennes,Bourg-en-Bresse,2.35,2.03,4.24,1.8,3.3,3.9,1.42,2.86,2.88,1.33,7.5,1.04,1.03,7.7,1.3,3.1,2.05,1.75,1.95,1.81,1.24,1.28,1.89,1.67,0.89,1.69,1.15,2.84,1.4,8.05,4.26,1.42,2.49,1.77,1.92,2.72,1.55,3.03,1.28,4.39,1.13
