League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
JAPAN 1,2025-08-22,07:00:00,27,Kashiwa Reysol,Urawa Reds,2.65,2.05,3.9,2.02,3.1,3.3,1.42,2.65,2.9,1.36,7.8,1.02,1.07,8.0,1.38,3.0,1.95,1.75,1.83,1.85,1.3,1.28,1.7,1.92,0.92,1.44,1.34,2.78,1.67,8.5,2.75,1.25,3.6,1.35,2.8,1.6,2.1,1.96,1.7,2.48,1.44
ROMANIA 1,2025-08-22,13:00:00,7,UTA Arad,Unirea Slobozia,2.4,2.2,4.4,1.92,3.5,4.2,1.36,2.87,2.65,1.41,6.75,1.1,1.0,10.0,1.3,3.36,1.88,1.89,1.75,1.95,1.23,0.0,1.75,2.0,1.0,1.79,1.15,2.94,1.86,8.1,2.4,1.4,3.05,1.64,2.04,2.17,1.78,2.39,1.42,3.6,1.25
POLAND 1,2025-08-22,13:00:00,6,Radomiak Radom,Nieciecza,2.69,2.17,3.8,2.2,3.25,3.0,1.33,3.04,2.5,1.42,6.25,1.09,1.01,9.75,1.23,3.6,1.81,1.96,1.66,2.13,1.35,1.25,1.63,1.33,1.33,1.4,1.45,2.85,1.74,9.2,2.6,1.14,4.5,1.3,3.15,1.53,2.35,1.88,1.9,2.3,1.57
GERMANY 2,2025-08-22,13:30:00,3,Preußen Münster,Nürnberg,2.9,2.15,3.2,2.42,3.5,2.69,1.34,2.95,2.55,1.44,6.25,1.1,1.05,9.5,1.28,3.55,1.79,1.95,1.66,2.05,1.43,1.29,1.53,2.0,0.0,0.85,1.15,2.0,1.98,8.0,2.2,1.18,4.1,1.34,2.95,1.56,2.23,1.9,1.78,2.38,1.5
GERMANY 2,2025-08-22,13:30:00,3,Elversberg,Kaiserslautern,2.55,2.2,3.7,2.18,3.68,2.95,1.34,3.0,2.55,1.44,6.25,1.1,1.04,10.0,1.25,3.85,1.8,1.94,1.66,2.05,1.31,1.27,1.75,3.0,0.0,1.37,0.85,2.22,1.63,8.5,2.85,1.19,4.1,1.34,2.95,1.57,2.23,1.91,1.77,2.4,1.49
SERBIA 1,2025-08-22,14:00:00,6,Javor Ivanjica,Napredak,3.12,2.0,3.25,2.6,3.1,2.65,1.4,2.55,3.0,1.3,8.0,1.05,1.06,7.5,1.4,2.8,2.15,1.65,1.85,1.81,1.46,1.28,1.44,1.0,0.75,0.82,0.67,1.49,1.76,6.95,2.38,1.38,2.68,1.7,1.98,2.15,1.56,2.87,1.31,4.1,1.15
GERMANY 3,2025-08-22,14:00:00,3,Wehen Wiesbaden,Rot-Weiss Essen,3.1,2.2,3.0,2.51,3.4,2.52,1.33,2.93,2.5,1.48,6.05,1.11,1.05,10.9,1.2,3.9,1.75,2.0,1.61,2.2,1.25,1.25,1.57,1.5,2.0,2.59,2.57,5.16,1.95,7.37,2.2,1.14,4.16,1.34,2.83,1.7,2.13,2.01,1.67,2.58,1.42
NORWAY 1,2025-08-22,14:00:00,19,KFUM,HamKam,2.05,2.25,5.25,1.53,3.71,5.1,1.35,2.95,2.6,1.43,6.5,1.1,1.05,9.0,1.3,3.45,1.82,1.88,1.93,1.77,1.14,1.23,2.35,1.5,0.9,1.34,1.17,2.51,1.3,10.0,4.5,1.15,4.25,1.26,3.4,1.44,2.55,1.68,2.02,2.05,1.67
FRANCE 3,2025-08-22,14:30:00,3,Caen,Versailles,2.9,2.13,3.65,1.91,3.2,3.6,1.44,2.58,3.24,1.33,7.8,1.06,1.02,8.0,1.32,2.95,2.1,1.72,1.83,1.83,1.3,1.3,1.61,1.5,3.0,1.7,1.23,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAIN 2,2025-08-22,14:30:00,2,SD Eibar,Granada CF,2.7,1.98,4.0,2.45,3.09,2.96,1.47,2.45,3.2,1.3,8.75,1.06,1.08,7.5,1.42,2.8,2.25,1.65,1.98,1.72,1.28,1.32,1.7,3.0,0.0,0.0,0.0,0.0,1.63,8.0,2.88,1.23,3.5,1.43,2.55,1.72,1.96,2.14,1.6,2.75,1.37
