League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
ITALY 2,2026-02-10,15:00:00,24,Sampdoria,Palermo,4.39,1.87,3.0,3.52,3.0,2.35,1.48,2.45,3.0,1.33,8.6,1.01,1.05,7.0,1.4,2.75,2.29,1.62,1.92,1.88,1.36,0,1.29,1.64,1.55,1.51,1.4,2.91,1.95,8.0,2.05,1.31,2.92,1.59,2.08,2.45,1.7,2.63,1.4,3.5,1.25
ITALY 2,2026-02-10,16:00:00,24,Reggiana,Mantova,3.1,2.0,3.6,2.4,2.7,3.0,1.48,2.47,2.8,1.34,7.9,1.02,1.03,8.5,1.3,3.0,2.09,1.74,1.77,1.95,1.33,0,1.44,1.18,0.82,1.4,1.38,2.78,1.91,8.0,2.04,1.34,2.68,1.72,1.97,2.15,1.62,2.82,1.37,3.73,1.21
ITALY 2,2026-02-10,16:00:00,24,Virtus Entella,Cesena,3.68,1.78,3.68,2.78,2.95,2.62,1.58,2.29,3.41,1.33,9.0,1.0,1.09,6.4,1.42,2.8,2.38,1.62,1.89,1.85,1.4,0,1.42,1.64,1.58,1.58,1.33,2.91,2.05,8.0,2.18,1.39,2.75,1.6,2.16,2.1,1.65,2.75,1.4,3.61,1.23
ITALY 2,2026-02-10,16:00:00,24,Pescara,Catanzaro,3.1,2.1,2.85,2.71,3.41,2.5,1.36,3.1,2.65,1.42,6.0,1.06,1.04,11.0,1.25,3.6,1.8,1.89,1.65,2.15,1.25,0,1.4,0.92,1.09,1.69,1.36,3.05,1.89,8.5,2.3,1.28,3.43,1.48,2.53,2.01,1.97,2.2,1.59,2.87,1.36
ITALY 2,2026-02-10,16:00:00,24,Venezia,Modena,2.35,2.12,4.2,1.8,3.66,4.75,1.38,2.81,2.88,1.36,7.5,1.03,1.06,8.45,1.32,3.44,1.95,1.82,1.73,1.85,1.3,0,1.85,2.73,1.45,1.89,1.92,3.81,1.64,8.0,2.62,1.28,3.0,1.6,2.22,2.26,1.77,2.5,1.44,3.28,1.27
ITALY 2,2026-02-10,16:00:00,24,Calcio Padova,Carrarese,3.2,2.17,3.16,2.7,2.83,2.75,1.42,2.36,2.88,1.36,7.2,1.03,1.05,6.5,1.32,2.89,2.1,1.72,1.75,1.95,1.36,0,1.4,1.0,0.91,1.29,1.25,2.54,1.93,7.2,1.85,1.29,3.16,1.52,2.35,2.12,1.86,2.37,1.52,3.11,1.32
ENGLAND 1,2026-02-10,16:30:00,26,Tottenham Hotspur,Newcastle United,3.55,2.2,2.8,3.0,3.4,2.1,1.34,3.25,2.6,1.48,5.7,1.09,1.02,14.5,1.22,4.0,1.7,2.1,1.6,2.25,1.73,0,1.28,0.83,0.83,1.46,1.4,2.86,2.1,7.5,1.93,1.12,4.7,1.27,3.18,1.5,2.38,1.9,1.91,2.26,1.57
SWITZERLAND 1,2026-02-10,16:30:00,24,Luzern,Grasshopper,2.45,2.38,3.95,1.83,3.8,3.76,1.28,3.3,2.43,1.52,5.55,1.08,1.03,13.0,1.2,4.2,1.67,2.04,1.6,2.28,1.25,0,1.8,0.73,0.82,1.61,1.47,3.08,1.7,8.5,2.4,1.27,3.74,1.47,2.43,1.78,2.08,2.06,1.68,2.63,1.42
ENGLAND 1,2026-02-10,16:30:00,26,Everton,AFC Bournemouth,3.1,2.14,3.25,2.37,3.4,2.87,1.4,3.1,2.85,1.43,7.0,1.07,1.05,10.0,1.27,3.64,1.89,1.85,1.62,2.2,1.33,0,1.5,1.33,0.92,1.44,1.57,3.01,1.95,7.8,2.0,1.16,3.75,1.38,2.78,1.83,2.12,2.02,1.7,2.55,1.44
ENGLAND 1,2026-02-10,16:30:00,26,Chelsea,Leeds United,2.08,2.4,5.4,1.55,4.35,5.8,1.29,3.38,2.39,1.53,5.6,1.09,1.03,16.0,1.18,4.55,1.62,2.3,1.67,2.15,1.22,0,2.46,1.75,0.58,1.7,1.25,2.95,1.4,8.0,3.6,1.21,3.58,1.44,2.57,1.74,1.98,2.19,1.57,2.88,1.35
