Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
GvaOIRzo,12/01/2026,14:30,ITALY 1,Round 20,Genoa,Cagliari,bet365,2.75,1.95,4.75,bet365,2.05,3.0,4.33,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.11,6.5,bet365,1.5,2.63,bet365,2.63,1.5,bet365,5.0,1.17,bet365,11.0,1.05,bet365,2.1,1.67,bet365,1.2,1.36,1.73
2m7Bv9c4,12/01/2026,16:45,ITALY 1,Round 20,Juventus,Cremonese,bet365,1.62,2.63,11.0,bet365,1.25,6.0,12.0,bet365,1.29,3.5,bet365,2.38,1.53,bet365,5.5,1.14,bet365,1.03,15.0,bet365,1.2,4.5,bet365,1.67,2.2,bet365,2.63,1.5,bet365,4.5,1.2,bet365,2.2,1.62,bet365,1.05,1.13,3.75
t2A2rrUO,12/01/2026,17:00,SPAIN 1,Round 19,Sevilla,Celta Vigo,bet365,3.25,2.1,3.25,bet365,2.7,3.25,2.7,bet365,1.44,2.63,bet365,3.0,1.36,bet365,9.0,1.07,bet365,1.07,9.0,bet365,1.36,3.2,bet365,2.1,1.73,bet365,3.75,1.29,bet365,8.0,1.08,bet365,1.8,1.95,bet365,1.44,1.33,1.44
f9UUyIS6,12/01/2026,14:00,CYPRUS 1,Round 17,Krasava,Ol. Nicosia,Betfair,3.0,2.0,3.6,Betfair,2.3,3.0,3.0,Betfair,1.44,2.63,Betfair,3.2,1.3,Betfair,8.5,1.05,Betfair,1.07,8.0,Betfair,1.4,2.88,Betfair,2.3,1.6,Betfair,4.5,1.2,Betano.br,6.7,1.09,Betfair,1.91,1.8,Betfair,1.3,1.33,1.53
nqRMwvbf,12/01/2026,14:00,CYPRUS 1,Round 17,Pafos,Omonia Aradippou,Betfair,1.5,2.8,12.0,Betfair,1.12,6.5,15.0,Betfair,1.25,3.5,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.01,15.0,Betfair,1.2,4.5,Betfair,1.65,2.2,Betfair,2.7,1.44,Betano.br,4.5,1.18,Betfair,2.75,1.4,Betfair,1.01,1.07,5.0
CMtCZAiT,12/01/2026,12:00,EGYPT LEAGUE CUP,Round 6,Enppi,Arab Contractors,Betfair,4.5,1.83,2.8,Betfair,4.2,2.8,1.95,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,10.5,1.03,Betfair,1.1,6.5,Betfair,1.65,2.2,Betfair,3.1,1.36,Betfair,6.5,1.1,Betfair,15.0,1.01,Betfair,2.5,1.5,Betfair,1.73,1.36,1.17
80rUVEzJ,12/01/2026,16:45,ENGLAND FA CUP,1/32-finals,Liverpool,Barnsley,bet365,1.44,3.4,10.0,bet365,1.13,8.5,13.0,bet365,1.17,5.0,bet365,1.8,1.91,bet365,3.5,1.29,Superbet.br,1.01,30.0,bet365,1.07,9.0,bet365,1.29,3.75,bet365,1.73,2.0,bet365,2.63,1.44,bet365,1.8,1.95,bet365,1.04,1.08,5.0
CbE12Ovq,12/01/2026,17:10,FRANCE CUP,1/16-finals,PSG,Paris FC,bet365,1.53,3.1,9.5,bet365,1.2,7.0,10.0,bet365,1.18,4.5,bet365,1.83,1.83,bet365,3.75,1.25,bet365,1.01,23.0,bet365,1.1,7.0,bet365,1.33,3.4,bet365,1.83,1.83,bet365,3.0,1.36,bet365,1.83,1.83,bet365,1.06,1.1,4.33
jaW32SON,12/01/2026,05:30,INDONESIA 1,Round 17,PSBS Biak Numfor,FC Bhayangkara,Betfair,4.5,2.2,2.2,Betfair,4.6,3.5,1.67,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.05,10.0,Betfair,1.29,3.5,Betfair,1.9,1.87,Betfair,3.4,1.3,Betfair,6.5,1.1,Betfair,1.83,1.83,Betfair,2.0,1.22,1.14
8z3UIm94,12/01/2026,09:00,INDONESIA 1,Round 17,Persijap Jepara,Dewa United,Betfair,4.5,2.25,2.3,Betfair,4.2,3.6,1.7,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.03,12.0,Betfair,1.22,4.1,Betfair,1.8,2.0,Betfair,2.88,1.4,Betfair,6.0,1.13,Betfair,1.67,2.1,Betfair,2.0,1.22,1.17
nukTojpo,12/01/2026,14:00,ISRAEL 2,Round 18,H. Akko,Hapoel Hadera,Betfair,3.0,2.0,3.5,Betfair,2.3,3.0,2.9,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.06,8.5,Betfair,1.36,3.1,Betfair,2.15,1.67,Betfair,4.1,1.22,Betfair,8.0,1.07,Betfair,1.8,1.91,Betfair,1.33,1.3,1.53
xMBh9OHd,12/01/2026,14:00,ISRAEL 2,Round 18,Hapoel Afula,Hapoel Kfar Shalem,Betfair,3.5,2.2,2.75,Betfair,2.8,3.25,2.2,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.04,11.0,Betfair,1.25,3.8,Betfair,1.87,1.9,Betfair,3.25,1.33,Betfair,6.5,1.1,Betfair,1.67,2.1,Betfair,1.53,1.25,1.33
fsAlgYiB,12/01/2026,14:00,ISRAEL 2,Round 18,Maccabi Petah Tikva,Hap. Ramat Gan,Betano.br,1.91,2.35,6.0,Betano.br,1.42,4.3,6.4,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,6.0,1.11,Betfair,1.02,13.0,Betfair,1.22,4.33,Betfair,1.73,2.1,Betfair,2.88,1.4,Betfair,5.5,1.14,Betfair,2.0,1.73,Betano.br,1.11,1.18,2.75
