Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
f5bUxN5U,13/01/2026,16:45,NORTHERN IRELAND CUP,1/16-finals,Glenavon,Newington,Betfair,2.1,2.5,4.2,Betfair,1.67,3.8,4.0,Betfair,1.2,4.0,Betfair,2.2,1.6,Betfair,4.8,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,Betfair,1.44,2.6,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.45,2.55,Betfair,1.2,1.22,2.0
8UZoZk7l,13/01/2026,10:00,UGANDA 1,Round 12,URA SC,Entebbe UPPC,Betfair,2.6,2.0,4.2,Betfair,1.91,3.25,3.6,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.05,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.1,1.65,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.91,1.8,Betfair,1.25,1.3,1.8
xjRqm2MM,13/01/2026,22:00,BARBADOS 1,Round 1,Wotton,Ellerton FC,Betfair,3.75,2.5,2.2,Betfair,3.5,4.5,1.67,Betfair,1.17,4.5,Betfair,2.0,1.73,Betfair,4.5,1.17,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,2.0,1.73,Betfair,3.3,1.29,Betfair,1.36,2.88,Betfair,2.0,1.17,1.29
IH6BT54D,13/01/2026,11:00,BRAZIL COPINHA,Play Offs,Fortaleza U20,Novorizontino U20,Betfair,2.6,2.2,3.6,Betfair,1.95,3.3,3.3,Betfair,1.29,3.3,Betfair,2.6,1.44,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,2.0,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.6,2.2,Betfair,1.29,1.25,1.73
fyagjLNt,13/01/2026,11:00,BRAZIL COPINHA,Play Offs,Ituano U20,Agua Santa U20,Betfair,2.4,2.1,4.5,Betfair,1.75,3.3,4.2,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.85,1.85,Betfair,1.17,1.25,1.91
MDHUsdPN,13/01/2026,11:00,BRAZIL COPINHA,Play Offs,Nacional SP U20,CA Juventus U20,Betfair,3.2,2.0,3.3,Betfair,2.5,2.9,2.7,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.05,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,1.85,1.85,Betfair,1.4,1.33,1.44
lxFfXm5l,13/01/2026,11:00,BRAZIL COPINHA,Play Offs,Operario PR U20,Independente AP U20,Betfair,1.5,3.0,9.0,Betfair,1.13,6.5,13.0,Betfair,1.17,4.5,Betfair,2.0,1.73,Betfair,4.5,1.17,,0.0,0.0,Betfair,1.08,6.5,Betfair,1.36,2.88,Betfair,2.0,1.73,,0.0,0.0,Betfair,1.91,1.8,Betfair,1.03,1.08,5.0
SjdeTdAU,13/01/2026,14:30,BRAZIL COPINHA,Play Offs,Retro U20,Internacional U20,Betfair,3.75,2.1,2.7,Betfair,3.0,3.1,2.2,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.03,9.0,Betfair,1.29,3.3,Betfair,1.95,1.75,Betfair,3.6,1.25,Betfair,7.0,1.07,Betfair,1.75,1.95,Betfair,1.62,1.3,1.33
6y8nVIuI,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,Canaa U20,Figueirense U20,Betfair,3.3,2.38,2.63,Betfair,2.8,3.5,2.15,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.11,5.5,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.44,2.6,Betfair,1.62,1.25,1.36
lzh2lahg,13/01/2026,15:00,BRAZIL COPINHA,Play Offs,Flamengo SP U20,Monte Roraima U20,Betfair,2.1,2.3,4.5,Betfair,1.62,3.75,4.6,Betfair,1.29,3.3,Betfair,2.6,1.44,Betfair,7.0,1.07,Betfair,1.01,11.0,Betfair,1.2,4.0,Betfair,1.75,1.95,Betfair,2.88,1.36,Betfair,5.5,1.11,Betfair,1.73,2.0,Betfair,1.17,1.22,2.1
