Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
WU3FGVsp,19/12/2025,16:30,GERMANY 1,Round 15,Dortmund,B. Monchengladbach,bet365,1.91,2.6,5.5,bet365,1.48,4.75,6.0,bet365,1.25,3.75,bet365,2.2,1.62,bet365,5.0,1.17,bet365,1.02,19.0,bet365,1.17,5.0,bet365,1.53,2.5,bet365,2.3,1.62,bet365,4.0,1.25,bet365,1.67,2.1,bet365,1.13,1.18,2.63
WEk4h6tH,19/12/2025,16:00,ITALY SUPER CUP,Semi-finals,Bologna,Inter,bet365,5.5,2.3,2.2,bet365,5.0,3.9,1.67,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.9,1.95,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.91,1.91,bet365,2.15,1.25,1.17
jBQMQI2M,19/12/2025,17:00,SPAIN 1,Round 17,Valencia,Mallorca,bet365,2.63,2.0,4.75,bet365,1.95,3.2,4.1,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.44,2.75,bet365,2.38,1.57,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.05,1.7,bet365,1.22,1.36,1.8
8UB2uhXj,19/12/2025,12:30,ALBANIA 1,Round 17,Dinamo Tirana,Vora,Betfair,2.1,2.0,7.0,Betfair,1.44,3.6,7.5,Betfair,1.45,2.55,Betfair,3.6,1.25,Betfair,10.0,1.02,Betfair,1.06,7.5,Betfair,1.44,2.6,Betfair,2.4,1.5,Betfair,4.8,1.14,Betfair,10.0,1.02,Betfair,2.55,1.45,Betfair,1.07,1.25,2.5
juh3q1YO,19/12/2025,12:30,ALBANIA 1,Round 17,Egnatia,Partizani,Betfair,2.2,2.0,6.0,Betfair,1.55,3.3,6.0,Betfair,1.5,2.4,Betfair,3.8,1.22,Betfair,10.0,1.02,Betfair,1.06,7.5,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.55,1.45,Betfair,1.1,1.29,2.25
via534Jt,19/12/2025,15:30,ALBANIA 1,Round 17,Flamurtari,Teuta,Betfair,3.75,1.91,3.1,Betfair,3.0,2.8,2.4,Betfair,1.5,2.4,Betfair,3.8,1.25,Betfair,10.0,1.02,Betfair,1.07,7.0,Betfair,1.45,2.55,Betfair,2.55,1.45,Betfair,5.5,1.11,Betfair,11.0,1.01,Betfair,2.1,1.65,Betfair,1.5,1.36,1.33
6kFObmTb,19/12/2025,10:30,ALGERIA 1,Round 13,El Bayadh,Khenchela,Betfair,3.5,1.83,3.6,Betfair,2.63,2.8,2.8,Betfair,1.57,2.25,Betfair,4.0,1.2,Betfair,10.0,1.03,Betfair,1.1,6.5,Betfair,1.57,2.38,Betfair,2.88,1.4,Betfair,6.5,1.1,Betfair,13.0,1.02,Betfair,2.25,1.57,Betfair,1.36,1.36,1.4
QiVPdRcB,19/12/2025,13:00,ALGERIA 1,Round 13,Constantine,Paradou,Betfair,2.5,1.91,5.5,Betfair,1.75,3.1,4.75,Betfair,1.57,2.25,Betfair,3.75,1.22,Betfair,10.0,1.03,Betfair,1.1,6.5,Betfair,1.57,2.38,Betfair,2.88,1.4,Betfair,6.0,1.13,Betfair,13.0,1.02,Betfair,2.5,1.5,Betfair,1.13,1.3,1.91
IkA4kqjo,19/12/2025,14:00,ALGERIA 1,Round 13,ES Setif,Kabylie,Betfair,3.6,1.83,3.4,Betfair,2.8,2.8,2.63,Betfair,1.57,2.25,Betfair,3.75,1.22,Betfair,10.0,1.03,Betfair,1.1,6.5,Betfair,1.57,2.38,Betfair,2.88,1.4,Betfair,6.0,1.1,Betfair,13.0,1.02,Betfair,2.25,1.57,Betfair,1.4,1.36,1.36
6qML8G6M,19/12/2025,04:00,AUSTRALIA 1,Round 9,Macarthur FC,Brisbane Roar,bet365,3.1,2.2,3.4,bet365,2.45,3.5,2.65,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.91,1.91,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.7,2.05,bet365,1.44,1.29,1.5
WdlZ8gyn,19/12/2025,06:00,AUSTRALIA 1,Round 9,WS Wanderers,Auckland FC,bet365,3.1,2.25,3.1,bet365,2.5,3.6,2.5,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,4.0,bet365,1.8,2.0,bet365,3.0,1.4,bet365,5.5,1.14,bet365,1.67,2.1,bet365,1.5,1.29,1.5
Mw3ibCtA,19/12/2025,05:00,AUSTRALIA 1 WOM,Round 8,Newcastle W,Melbourne Victory W,Betfair,4.5,2.4,2.0,Betfair,4.4,4.0,1.6,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.2,1.13,Betfair,1.01,17.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.25,1.57,Betfair,4.0,1.2,Betfair,1.57,2.25,Betfair,2.2,1.2,1.17
lh1dyImA,19/12/2025,07:00,AZERBAIJAN 1,Round 16,Kapaz,Turan Tovuz,Betfair,5.0,2.2,2.1,Betfair,5.0,3.5,1.62,Betfair,1.36,2.88,Betfair,2.88,1.36,Betfair,7.5,1.06,Betfair,1.05,9.0,Betfair,1.33,3.25,Betfair,2.05,1.75,Betfair,3.8,1.25,Betfair,8.0,1.07,Betfair,2.0,1.73,Betfair,2.1,1.22,1.13
zkPITqKk,19/12/2025,10:15,BAHRAIN 1,Round 8,Al-Hidd,Al Khalidiyah,Betfair,5.5,2.3,2.0,Betfair,6.0,4.0,1.47,Betfair,1.3,3.2,Betfair,2.63,1.44,Betfair,6.0,1.1,Betfair,1.03,12.0,Betfair,1.25,3.8,Betfair,1.8,2.0,Betfair,3.1,1.36,Betfair,6.0,1.13,Betfair,1.91,1.8,Betfair,2.5,1.2,1.08
dfADkRt9,19/12/2025,10:15,BAHRAIN 1,Round 8,Sitra,Aali Club,Betfair,2.5,2.0,4.5,Betfair,1.85,3.3,4.1,Betfair,1.4,2.75,Betfair,3.0,1.33,Betfair,7.5,1.06,Betfair,1.06,8.5,Betfair,1.36,3.1,Betfair,2.15,1.67,Betfair,4.1,1.22,Betfair,8.0,1.07,Betfair,2.0,1.73,Betfair,1.17,1.29,1.83
rFSQRNl2,19/12/2025,13:00,BAHRAIN 1,Round 8,Al-Budaiya,Al-Muharraq,Betfair,7.0,2.5,1.73,Betfair,8.0,4.75,1.3,Betfair,1.29,3.25,Betfair,2.5,1.5,Betfair,5.5,1.13,Betfair,1.02,13.0,Betfair,1.2,4.33,Betfair,1.67,2.15,Betfair,2.7,1.44,Betfair,5.0,1.17,Betfair,2.0,1.73,Betfair,3.2,1.14,1.05
GlQ03sOr,19/12/2025,16:45,BELGIUM 1,Round 19,Charleroi,Genk,bet365,3.4,2.1,3.1,bet365,2.7,3.2,2.45,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.4,bet365,2.0,1.8,bet365,3.5,1.29,bet365,7.0,1.1,bet365,1.75,2.0,bet365,1.53,1.36,1.44
O0UkLfJa,19/12/2025,16:00,BELGIUM 2,Round 19,Gent U23,Seraing,bet365,2.63,2.25,4.0,bet365,2.0,3.25,3.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,3.75,bet365,1.85,1.95,bet365,3.0,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.3,1.3,1.67
YVkBSxRP,19/12/2025,16:00,BELGIUM 2,Round 19,Lommel SK,K. Lierse S.K.,bet365,2.5,2.38,4.0,bet365,1.85,3.4,3.5,bet365,1.3,3.4,bet365,2.5,1.5,bet365,6.0,1.13,bet365,1.04,13.0,bet365,1.2,4.33,bet365,1.7,2.1,bet365,2.63,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.25,1.29,1.8
0hQIZK3N,19/12/2025,12:30,BULGARIA 1,Round 6,Beroe,Ludogorets,bet365,8.0,2.4,1.83,bet365,8.5,4.33,1.35,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.04,13.0,bet365,1.25,3.75,bet365,1.8,2.0,bet365,3.0,1.36,bet365,5.5,1.14,bet365,2.1,1.67,bet365,3.0,1.2,1.08
xKOQihhU,19/12/2025,12:00,CROATIA 1,Round 18,Varazdin,Istra 1961,bet365,3.0,2.1,3.75,bet365,2.2,3.1,3.1,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.0,bet365,2.15,1.67,bet365,3.75,1.25,bet365,9.0,1.07,bet365,1.83,1.83,bet365,1.33,1.33,1.57
vNTM83tn,19/12/2025,14:00,CYPRUS 2,Round 13,Ethnikos Latsion,Nea Salamis,Bet7k,9.4,2.63,1.53,Bet7k,13.0,5.3,1.15,,0.0,0.0,KTO.br,2.32,1.47,,0.0,0.0,,0.0,0.0,KTO.br,1.22,3.75,KTO.br,1.73,1.97,KTO.br,2.85,1.36,KTO.br,5.25,1.12,KTO.br,2.6,1.38,KTO.br,3.6,1.08,1.02
EL72Pgwq,19/12/2025,18:00,ECUADOR 1,Placement Group,EL Nacional,Delfin,Betfair,2.1,2.5,4.33,Betfair,1.62,3.9,4.33,Betfair,1.22,3.75,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,15.0,Betfair,1.14,5.5,Betfair,1.53,2.45,Betfair,2.45,1.53,Betfair,4.33,1.2,Betfair,1.53,2.38,Betfair,1.14,1.2,2.1
S0cODygt,19/12/2025,17:00,ENGLAND 2,Round 22,Swansea,Wrexham,bet365,2.88,2.1,4.0,bet365,2.15,3.2,3.3,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.07,8.5,bet365,1.36,3.2,bet365,2.2,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.33,1.36,1.67
dhFxyeRO,19/12/2025,16:45,ENGLAND 3,Round 21,Northampton,AFC Wimbledon,bet365,3.1,1.95,4.0,bet365,2.25,3.05,3.2,bet365,1.53,2.38,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.63,bet365,2.4,1.53,bet365,4.5,1.18,bet365,11.0,1.05,bet365,2.05,1.7,bet365,1.36,1.36,1.57
h2uNk08c,19/12/2025,16:45,ENGLAND 4,Round 21,Barrow,Cheltenham,bet365,2.63,2.1,4.33,bet365,1.91,3.25,3.6,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.07,9.0,bet365,1.33,3.25,bet365,2.05,1.75,bet365,3.75,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.25,1.3,1.73
MsXwnI7M,19/12/2025,16:45,ENGLAND 4,Round 21,Cambridge Utd,Accrington,bet365,2.3,2.1,6.0,bet365,1.61,3.4,5.25,bet365,1.44,2.63,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,2.75,bet365,2.25,1.62,bet365,4.33,1.2,bet365,10.0,1.06,bet365,2.2,1.62,bet365,1.17,1.3,2.2
hQN9tdVq,19/12/2025,16:45,ENGLAND 4,Round 21,Crewe,Bristol Rovers,bet365,2.5,2.2,4.33,bet365,1.86,3.25,4.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.25,3.75,bet365,1.93,1.93,bet365,3.25,1.33,bet365,6.5,1.11,bet365,1.73,2.0,bet365,1.22,1.33,1.91
