Match_ID,Date,Time,League,Round,Home,Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2
n1p7rqmT,15/12/2025,17:00,ENGLAND 1,Round 16,Manchester Utd,Bournemouth,bet365,2.25,2.6,4.0,bet365,1.8,4.2,3.9,bet365,1.22,4.0,bet365,2.1,1.67,bet365,4.5,1.18,bet365,1.01,21.0,bet365,1.14,5.5,bet365,1.5,2.63,bet365,2.1,1.73,bet365,3.75,1.29,bet365,1.44,2.63,bet365,1.25,1.22,1.95
U5NNUIBk,15/12/2025,16:45,ITALY 1,Round 15,AS Roma,Como,bet365,3.0,2.05,4.0,bet365,2.25,3.0,3.6,bet365,1.5,2.5,bet365,3.4,1.3,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,3.0,bet365,2.3,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.29,1.36,1.62
jHoWn3KH,15/12/2025,17:00,SPAIN 1,Round 16,Rayo Vallecano,Betis,bet365,3.25,2.2,3.1,bet365,2.75,3.4,2.55,bet365,1.4,2.75,bet365,2.75,1.4,bet365,8.0,1.08,bet365,1.06,10.0,bet365,1.3,3.5,bet365,1.91,1.91,bet365,3.4,1.33,bet365,6.5,1.11,bet365,1.7,2.05,bet365,1.5,1.3,1.4
rqtYu9nT,15/12/2025,11:30,World - FIFA Arab Cup,Play Offs,Morocco,United Arab Emirates,Betano.br,2.5,1.95,5.0,Betano.br,1.9,2.9,4.75,Betano.br,1.47,2.5,Betano.br,2.9,1.36,Betano.br,6.4,1.08,Betano.br,1.11,5.6,Betano.br,1.45,2.55,Betano.br,2.32,1.53,Betano.br,4.05,1.2,Betano.br,7.1,1.06,Betano.br,2.0,1.72,Betano.br,1.19,1.36,1.88
UL1pp98c,15/12/2025,14:30,World - FIFA Arab Cup,Play Offs,Saudi Arabia,Jordan,Betano.br,2.95,1.85,4.35,Betano.br,2.18,2.92,3.55,Betano.br,1.62,2.18,Betano.br,3.6,1.25,Betano.br,7.9,1.05,Betano.br,1.12,5.3,Betano.br,1.53,2.32,Betano.br,2.55,1.45,Betano.br,4.65,1.16,Betano.br,8.0,1.05,Betano.br,2.15,1.62,Betano.br,1.3,1.36,1.67
Mqlqkez8,15/12/2025,05:30,Asia - Southeast Asian Games,Play Offs,Vietnam U22,Philippines U22,Betano.br,2.22,1.98,5.7,Betano.br,1.65,3.15,5.5,Betano.br,1.47,2.22,Betboom.br,3.6,1.26,Betboom.br,9.4,1.04,Betboom.br,1.07,6.23,Betboom.br,1.48,2.42,Betano.br,2.32,1.47,Betboom.br,4.88,1.13,Betboom.br,9.85,1.01,Betboom.br,2.46,1.45,Betano.br,1.13,1.28,2.02
K8ZVb9Dr,15/12/2025,10:00,Asia - Southeast Asian Games,Play Offs,Thailand U22,Malaysia U22,Betano.br,1.8,2.32,6.9,Betano.br,1.33,4.5,7.5,Betboom.br,1.33,3.0,Betano.br,2.4,1.4,,0.0,0.0,,0.0,0.0,,0.0,0.0,Betano.br,1.7,1.91,,0.0,0.0,,0.0,0.0,Betboom.br,2.13,1.62,Betano.br,1.08,1.16,2.85
baSbYLO8,15/12/2025,07:00,AZERBAIJAN 1,Round 15,Imisli FK,Karvan,Betfair,2.2,2.1,5.5,Betfair,1.55,3.4,5.5,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.33,3.0,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.05,1.67,Betfair,1.1,1.25,2.2
lvMNMIYG,15/12/2025,12:00,AZERBAIJAN 1,Round 15,Neftci Baku,Sumqayit,Betfair,2.4,2.0,4.5,Betfair,1.75,3.25,4.4,Betfair,1.4,2.75,Betfair,3.2,1.3,Betfair,8.0,1.06,Betfair,1.05,8.0,Betfair,1.36,2.88,Betfair,2.2,1.6,Betfair,4.0,1.2,Betfair,8.0,1.05,Betfair,2.0,1.73,Betfair,1.14,1.25,1.91
EVY3SDjB,15/12/2025,12:00,BAHRAIN CUP,Final,Al-Muharraq,Al Khalidiyah,Betano.br,3.05,1.95,3.75,Betano.br,2.37,3.0,3.05,Betano.br,1.5,2.42,Betano.br,3.1,1.32,Betano.br,6.8,1.07,Betano.br,1.09,6.3,Betano.br,1.38,2.8,Betano.br,2.12,1.65,Betano.br,3.6,1.25,Betano.br,6.3,1.09,Betano.br,1.82,1.88,Betano.br,1.38,1.34,1.57
0rXM2kO0,15/12/2025,16:00,BOLIVIA 1,Round 30,SA Bulo Bulo,Real Oruro,bet365,1.62,3.4,6.0,bet365,1.25,6.25,7.0,bet365,1.11,6.5,bet365,1.57,2.25,bet365,2.63,1.44,BetEsporte,1.01,40.0,bet365,1.04,13.0,bet365,1.14,5.5,bet365,1.4,2.75,bet365,1.83,1.83,bet365,1.33,3.25,bet365,1.1,1.13,3.5
McLV0ThD,15/12/2025,20:00,BOLIVIA 1,Round 30,Aurora,Academia del Balompie,bet365,1.8,3.1,5.0,bet365,1.37,5.0,6.25,bet365,1.14,5.5,bet365,1.67,2.1,bet365,3.25,1.33,bet365,1.01,29.0,bet365,1.06,10.0,bet365,1.22,4.2,bet365,1.57,2.25,bet365,2.25,1.57,bet365,1.33,3.25,bet365,1.13,1.17,2.75
Oh0cdJqQ,15/12/2025,12:30,BULGARIA CUP,1/8-finals,Septemvri Sofia,Ludogorets,Betfair,8.0,2.4,1.73,Betfair,9.5,4.6,1.29,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,7.5,1.06,Betfair,1.02,10.0,Betfair,1.25,3.6,Betfair,1.85,1.85,Betfair,3.3,1.29,Betfair,7.0,1.07,Betfair,2.25,1.57,Betfair,3.3,1.17,1.05
Qwx89ymn,15/12/2025,14:00,CYPRUS 1,Round 14,AEK Larnaca,Omonia,Betfair,2.88,2.1,3.4,Betfair,2.1,3.25,3.1,Betfair,1.33,3.0,Betfair,2.75,1.4,Betfair,6.5,1.08,Betfair,1.04,11.0,Betfair,1.25,3.8,Betfair,1.85,1.85,Betfair,3.25,1.33,Betfair,6.5,1.1,Betfair,1.67,2.15,Betfair,1.33,1.29,1.57
GQux9Yh2,15/12/2025,21:00,ECUADOR 1,Placement Group,Emelec,EL Nacional,bet365,3.75,2.5,2.4,bet365,2.95,4.1,1.81,Betfair,1.25,3.5,Betfair,2.25,1.57,Betfair,5.0,1.14,Betfair,1.01,15.0,Betfair,1.17,5.0,bet365,1.5,2.5,Betfair,2.45,1.53,Betfair,4.33,1.2,Betfair,1.44,2.63,bet365,1.8,1.2,1.33
IFeA9CGi,15/12/2025,17:00,ENGLAND 2,Round 21,Sheffield Wed,Derby,bet365,4.0,2.1,2.75,bet365,3.5,3.2,2.05,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.1,1.73,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.83,1.83,bet365,1.7,1.36,1.29
27DZNm1l,15/12/2025,16:00,ENGLAND U21,-,Bromley U21,Colchester U21,bet365,2.6,2.6,3.0,bet365,2.1,4.1,2.55,Betfair,1.17,4.5,Betfair,1.95,1.75,Betfair,4.5,1.17,,0.0,0.0,Betfair,1.08,6.5,bet365,1.44,2.63,Betfair,1.95,1.75,Betfair,3.3,1.29,Betfair,1.33,3.0,bet365,1.44,1.17,1.6
d6YfVV8E,15/12/2025,16:00,ENGLAND U21,-,Preston U21,Ipswich U21,bet365,3.4,2.5,2.4,bet365,2.9,4.2,1.9,Betfair,1.2,4.0,Betfair,2.2,1.6,Betfair,4.8,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,bet365,1.5,2.5,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.44,2.6,bet365,1.7,1.17,1.33
dzhZOETi,15/12/2025,16:00,ENGLAND U21,-,Sheffield Utd U21,Stoke City U21,bet365,2.38,2.5,3.5,bet365,1.83,4.5,2.9,Betfair,1.2,4.0,Betfair,2.2,1.6,Betfair,4.8,1.14,Betfair,1.01,17.0,Betfair,1.11,5.5,bet365,1.44,2.63,Betfair,2.2,1.6,Betfair,3.8,1.22,Betfair,1.44,2.6,bet365,1.3,1.13,1.8
rNW2T9wR,15/12/2025,16:00,ENGLAND U21,-,Stockport U21,Burnley U21,bet365,4.5,3.0,1.83,bet365,4.75,4.75,1.44,Betfair,1.11,5.5,Betfair,1.73,2.0,Betfair,3.3,1.29,,0.0,0.0,Betfair,1.03,9.0,bet365,1.25,3.75,Betfair,1.6,2.2,Betfair,2.4,1.5,Betfair,1.33,3.0,bet365,2.4,1.13,1.13
UTkmSqAl,15/12/2025,16:00,EUROPA U21,-,Everton U21,Jong PSV,Betano.br,2.72,2.35,3.05,Betano.br,2.27,3.7,2.62,Superbet.br,1.25,3.25,Betano.br,2.12,1.57,Superbet.br,4.5,1.12,,0.0,0.0,,0.0,0.0,Betano.br,1.5,2.25,Betano.br,2.2,1.53,Betano.br,3.45,1.22,Betano.br,1.45,2.37,Betano.br,1.47,1.24,1.6
CUv0Qbwg,15/12/2025,16:45,FRANCE 2,Round 17,Boulogne,Troyes,bet365,4.33,2.05,2.75,bet365,3.6,3.0,1.95,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,8.0,bet365,1.36,3.0,bet365,2.25,1.62,bet365,4.0,1.22,bet365,9.0,1.07,bet365,1.91,1.8,bet365,1.73,1.33,1.25
Ua2QzCjm,15/12/2025,14:00,GERMANY 1 WOM,Round 13,Union Berlin W,Eintracht Frankfurt W,Betfair,4.5,2.63,2.0,Betfair,4.6,4.2,1.55,Betfair,1.17,4.0,Betfair,2.1,1.67,Betfair,4.5,1.17,BetEsporte,1.01,20.0,Betfair,1.1,6.5,Betfair,1.36,2.88,Betfair,2.05,1.75,Betfair,3.4,1.3,Betfair,1.44,2.63,Betfair,2.25,1.17,1.14
fgClICV0,15/12/2025,12:00,GHANA 2,Round 11,Accra Lions,Great Ambitions,Betano.br,1.83,2.22,7.4,Betano.br,1.33,4.3,7.9,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,Superbet.br,1.23,3.4,Betano.br,1.85,1.75,Superbet.br,2.9,1.32,,0.0,0.0,Superbet.br,2.3,1.56,Betano.br,1.07,1.17,2.82
ID6mtfmd,15/12/2025,16:45,ICELAND REYKJAVIK CUP,Round 1,Fjolnir,Fram,Betfair,4.33,3.0,1.83,Betfair,5.0,5.0,1.4,Betfair,1.08,6.5,Betfair,1.6,2.2,Betfair,3.0,1.33,,0.0,0.0,Betfair,1.01,11.0,Betfair,1.14,4.8,Betfair,1.5,2.4,Betfair,2.2,1.6,Betfair,1.25,3.6,Betfair,2.63,1.13,1.13
x4bxjh4l,15/12/2025,06:00,INDIA SANTOSH TROPHY,-,Mizoram,Nagaland,Betfair,2.0,2.63,4.0,Betfair,1.57,4.4,3.6,Betfair,1.14,4.8,Betfair,1.91,1.8,Betfair,4.0,1.2,,0.0,0.0,Betfair,1.07,7.0,Betfair,1.3,3.2,Betfair,1.85,1.85,Betfair,3.0,1.33,Betfair,1.33,2.9,Betfair,1.22,1.17,2.1
pzognA3D,15/12/2025,10:30,INDIA SANTOSH TROPHY,-,Manipur,Tripura,Betfair,1.67,2.63,7.0,Betfair,1.25,5.0,8.5,Betfair,1.22,3.8,Betfair,2.25,1.57,Betfair,5.5,1.11,Betfair,1.01,13.0,Betfair,1.13,5.2,Betfair,1.5,2.4,Betfair,2.4,1.5,Betfair,4.5,1.17,Betfair,1.85,1.85,Betfair,1.06,1.13,3.5
GIif6QGG,15/12/2025,09:30,IRAN 1,Round 14,Malavan,Fajr Sepasi,Betano.br,2.95,1.72,5.0,Betano.br,2.12,2.67,4.1,Betano.br,1.72,1.9,BetEsporte,4.0,1.12,BetEsporte,12.0,1.01,Betano.br,1.18,3.85,Betano.br,1.75,1.85,Betano.br,3.1,1.27,BetEsporte,6.0,1.05,BetEsporte,8.0,1.01,Betano.br,2.52,1.4,Betano.br,1.21,1.39,1.67
zL7e44oT,15/12/2025,09:45,IRAN 1,Round 14,Chadormalu,Esteghlal Khuzestan,Betano.br,2.62,1.75,6.0,Betano.br,1.93,2.55,5.6,Betano.br,1.65,2.0,BetEsporte,3.45,1.17,BetEsporte,9.6,1.02,Betano.br,1.17,3.95,Betano.br,1.65,2.0,Betano.br,2.82,1.32,BetEsporte,5.0,1.09,BetEsporte,7.4,1.01,Betano.br,2.32,1.47,Betano.br,1.14,1.42,1.83
63bRbr9j,15/12/2025,09:45,IRAN 1,Round 14,Gol Gohar,Mes Rafsanjan,Betano.br,2.6,1.75,6.1,Betano.br,1.9,2.7,5.2,Betano.br,1.7,1.93,BetEsporte,3.85,1.13,BetEsporte,12.0,1.01,Betano.br,1.18,3.85,Betano.br,1.72,1.88,Betano.br,3.05,1.28,BetEsporte,5.8,1.05,BetEsporte,7.8,1.01,Betano.br,2.57,1.38,Betano.br,1.15,1.38,1.85
nayEMo1c,15/12/2025,09:45,IRAN 1,Round 14,Kheybar Khorramabad,Esteghlal F.C.,Betano.br,4.4,1.87,2.77,Betano.br,3.8,2.92,2.07,Betano.br,1.53,2.18,BetEsporte,2.95,1.25,BetEsporte,7.4,1.04,BetEsporte,1.08,6.2,Betano.br,1.45,2.37,Betano.br,2.32,1.47,Betano.br,3.95,1.17,BetEsporte,6.4,1.04,Betano.br,1.98,1.65,Betano.br,1.72,1.34,1.23
