Data,Hora,Home,Away,Jogo,Link,ID
2025-01-29,17:00,Aston Villa,Celtic,Aston Villa x Celtic,https://www.radarfutebol.com/radar/celtic-aston-villa/12763958,12763958
2025-01-29,17:00,Barcelona,Atalanta,Barcelona x Atalanta,https://www.radarfutebol.com/radar/barcelona-atalanta/12764006,12764006
2025-01-29,17:00,Bayer 04 Leverkusen,AC Sparta Praha,Bayer 04 Leverkusen x AC Sparta Praha,https://www.radarfutebol.com/radar/bayer-04-leverkusen-ac-sparta-praha/12764059,12764059
2025-01-29,17:00,FC Bayern München,ŠK Slovan Bratislava,FC Bayern München x ŠK Slovan Bratislava,https://www.radarfutebol.com/radar/fc-bayern-munchen-sk-slovan-bratislava/12764084,12764084
2025-01-29,17:00,Borussia Dortmund,Shakhtar Donetsk,Borussia Dortmund x Shakhtar Donetsk,https://www.radarfutebol.com/radar/shakhtar-donetsk-borussia-dortmund/12764152,12764152
2025-01-29,17:00,Stade Brestois,Real Madrid,Stade Brestois x Real Madrid,https://www.radarfutebol.com/radar/real-madrid-stade-brestois/12764165,12764165
2025-01-29,17:00,GNK Dinamo Zagreb,Milan,GNK Dinamo Zagreb x Milan,https://www.radarfutebol.com/radar/milan-gnk-dinamo-zagreb/12764222,12764222
2025-01-29,17:00,Girona FC,Arsenal,Girona FC x Arsenal,https://www.radarfutebol.com/radar/girona-fc-arsenal/12764241,12764241
2025-01-29,17:00,Inter,AS Monaco,Inter x AS Monaco,https://www.radarfutebol.com/radar/inter-as-monaco/12764271,12764271
2025-01-29,17:00,Juventus,Benfica,Juventus x Benfica,https://www.radarfutebol.com/radar/benfica-juventus/12764277,12764277
2025-01-29,17:00,Lille,Feyenoord,Lille x Feyenoord,https://www.radarfutebol.com/radar/feyenoord-lille/12764296,12764296
2025-01-29,17:00,Manchester City,Club Brugge KV,Manchester City x Club Brugge KV,https://www.radarfutebol.com/radar/club-brugge-kv-manchester-city/12764332,12764332
2025-01-29,17:00,PSV Eindhoven,Liverpool,PSV Eindhoven x Liverpool,https://www.radarfutebol.com/radar/psv-eindhoven-liverpool/12764399,12764399
2025-01-29,17:00,Red Bull Salzburg,Atlético Madrid,Red Bull Salzburg x Atlético Madrid,https://www.radarfutebol.com/radar/atletico-madrid-red-bull-salzburg/12764448,12764448
2025-01-29,17:00,Sporting,Bologna,Sporting x Bologna,https://www.radarfutebol.com/radar/sporting-bologna/12764494,12764494
2025-01-29,17:00,SK Sturm Graz,RB Leipzig,SK Sturm Graz x RB Leipzig,https://www.radarfutebol.com/radar/rb-leipzig-sk-sturm-graz/12764504,12764504
2025-01-29,17:00,VfB Stuttgart,Paris Saint-Germain,VfB Stuttgart x Paris Saint-Germain,https://www.radarfutebol.com/radar/vfb-stuttgart-paris-saint-germain/12764517,12764517
2025-01-29,17:00,Young Boys,FK Crvena zvezda,Young Boys x FK Crvena zvezda,https://www.radarfutebol.com/radar/fk-crvena-zvezda-young-boys/12764530,12764530
