League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
CHINA 1,2025-04-02,07:00,Shanghai Shenhua,Yunnan Yukun,1.36,5.0,7.5,https://www.radarfutebol.com/radar/yunnan-yukun-shanghai-shenhua/13400366,13400366
JAPAN 1,2025-04-02,07:00,Cerezo Osaka,Okayama,2.15,3.3,3.4,https://www.radarfutebol.com/radar/fagiano-okayama-cerezo-osaka/13383630,13383630
JAPAN 1,2025-04-02,07:00,Gamba Osaka,Machida,3.1,3.1,2.45,https://www.radarfutebol.com/radar/machida-zelvia-gamba-osaka/13383632,13383632
JAPAN 1,2025-04-02,07:00,Kawasaki Frontale,Shonan Bellmare,1.95,3.6,3.7,https://www.radarfutebol.com/radar/shonan-bellmare-kawasaki-frontale/13383606,13383606
JAPAN 1,2025-04-02,07:00,Kyoto,Kashiwa Reysol,2.8,3.1,2.6,https://www.radarfutebol.com/radar/kyoto-sanga-fc-kashiwa-reysol/13383618,13383618
JAPAN 1,2025-04-02,07:00,Albirex Niigata,Avispa Fukuoka,2.55,3.1,2.9,https://www.radarfutebol.com/radar/albirex-niigata-avispa-fukuoka/13383617,13383617
JAPAN 1,2025-04-02,07:00,Verdy,FC Tokyo,2.25,3.1,3.4,https://www.radarfutebol.com/radar/fc-tokyo-tokyo-verdy/13383621,13383621
JAPAN 1,2025-04-02,07:00,Yokohama FC,Vissel Kobe,3.6,3.0,2.2,https://www.radarfutebol.com/radar/yokohama-fc-vissel-kobe/13383616,13383616
JAPAN 1,2025-04-02,07:00,Sanfrecce Hiroshima,Kashima Antlers,1.83,3.7,4.1,https://www.radarfutebol.com/radar/sanfrecce-hiroshima-kashima-antlers/13383620,13383620
CHINA 1,2025-04-02,08:00,Qingdao Hainiu,Dalian Yingbo,2.88,3.5,2.4,https://www.radarfutebol.com/radar/dalian-yingbo-fc-qingdao-hainiu/13400361,13400361
BULGARIA 1,2025-04-02,08:15,Arda,Cherno More,2.8,2.88,2.8,https://www.radarfutebol.com/radar/arda-kardzhali-cherno-more-varna/12421785,12421785
CHINA 1,2025-04-02,08:35,Shandong Taishan,Chengdu Rongcheng,2.3,3.4,3.0,https://www.radarfutebol.com/radar/chengdu-rongcheng-shandong-taishan/13400374,13400374
CHINA 1,2025-04-02,08:35,Tianjin Jinmen Tiger,Beijing Guoan,2.7,3.2,2.63,https://www.radarfutebol.com/radar/beijing-guoan-tianjin-jinmen-tiger/13400377,13400377
CHINA 1,2025-04-02,09:00,Shanghai Port,Meizhou Hakka,1.25,7.0,8.5,https://www.radarfutebol.com/radar/meizhou-hakka-shanghai-port/13400376,13400376
BULGARIA 1,2025-04-02,10:45,Botev Plovdiv,Beroe,1.8,3.5,4.33,https://www.radarfutebol.com/radar/botev-plovdiv-beroe-stara-zagora/12421781,12421781
CYPRUS 1,2025-04-02,13:00,Aris,Pafos,2.75,2.87,2.8,https://www.radarfutebol.com/radar/pafos-fc-aris-limassol/13625886,13625886
CYPRUS 1,2025-04-02,13:30,APOEL,AEK Larnaca,3.3,3.45,2.1,https://www.radarfutebol.com/radar/aek-larnaca-apoel-nicosia/13625888,13625888
NETHERLANDS 1,2025-04-02,15:00,Feyenoord,Groningen,1.38,5.0,7.0,https://www.radarfutebol.com/radar/feyenoord-fc-groningen/13558864,13558864
SWITZERLAND 1,2025-04-02,15:30,Zurich,Lausanne,2.35,3.4,2.9,https://www.radarfutebol.com/radar/fc-zurich-fc-lausanne-sport/13257810,13257810
SWITZERLAND 1,2025-04-02,15:30,Sion,Winterthur,1.53,4.33,5.5,https://www.radarfutebol.com/radar/fc-winterthur-fc-sion/13257806,13257806
ENGLAND 1,2025-04-02,15:45,Newcastle,Brentford,1.73,4.5,4.0,https://www.radarfutebol.com/radar/brentford-newcastle-united/12436600,12436600
ENGLAND 1,2025-04-02,15:45,Brighton,Aston Villa,2.05,3.8,3.25,https://www.radarfutebol.com/radar/aston-villa-brighton-and-hove-albion/12436584,12436584
SCOTLAND 2,2025-04-02,15:45,Queen's Park,Airdrieonians,2.1,3.75,2.9,https://www.radarfutebol.com/radar/queens-park-fc-airdrieonians/13525597,13525597
SCOTLAND 2,2025-04-02,15:45,Dunfermline,Livingston,3.7,3.2,1.95,https://www.radarfutebol.com/radar/livingston-dunfermline-athletic/13636925,13636925
ENGLAND 1,2025-04-02,15:45,Manchester City,Leicester,1.2,8.0,10.0,https://www.radarfutebol.com/radar/leicester-city-manchester-city/12436594,12436594
ENGLAND 1,2025-04-02,15:45,Southampton,Crystal Palace,6.0,3.9,1.57,https://www.radarfutebol.com/radar/southampton-crystal-palace/12436588,12436588
ENGLAND 1,2025-04-02,15:45,Bournemouth,Ipswich,1.36,5.25,7.5,https://www.radarfutebol.com/radar/bournemouth-ipswich-town/12436576,12436576
ENGLAND 2,2025-04-02,15:45,Derby,Preston,2.25,3.0,3.5,https://www.radarfutebol.com/radar/derby-county-preston-north-end/13608629,13608629
ENGLAND 1,2025-04-02,16:00,Liverpool,Everton,1.36,5.0,8.0,https://www.radarfutebol.com/radar/everton-liverpool/12436593,12436593
PORTUGAL 1,2025-04-02,16:15,Benfica,SC Farense,1.14,8.0,17.0,https://www.radarfutebol.com/radar/benfica-sc-farense/13623945,13623945
