League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
ENGLAND 2,2025-04-05,08:30,West Brom,Sunderland,2.45,3.25,2.88,https://www.radarfutebol.com/radar/sunderland-west-bromwich-albion/12465100,12465100
ENGLAND 3,2025-04-05,08:30,Wrexham,Burton,1.57,3.8,5.75,https://www.radarfutebol.com/radar/burton-albion-wrexham/12464914,12464914
ENGLAND 1,2025-04-05,08:30,Everton,Arsenal,5.25,3.2,1.8,https://www.radarfutebol.com/radar/everton-arsenal/12436596,12436596
ENGLAND 4,2025-04-05,08:30,Walsall,Port Vale,2.15,3.1,3.5,https://www.radarfutebol.com/radar/port-vale-walsall/12465076,12465076
ENGLAND 5,2025-04-05,08:30,AFC Fylde,York City,4.0,4.33,1.65,https://www.radarfutebol.com/radar/afc-fylde-york-city/12526109,12526109
ENGLAND 4,2025-04-05,08:45,Tranmere,Chesterfield,2.9,3.3,2.35,https://www.radarfutebol.com/radar/chesterfield-tranmere-rovers/12465121,12465121
FINLAND 1,2025-04-05,09:00,Ilves,HJK,2.7,3.4,2.6,https://www.radarfutebol.com/radar/ilves-hjk/13342312,13342312
SPAIN 1,2025-04-05,09:00,Girona,Alaves,2.05,3.4,3.6,https://www.radarfutebol.com/radar/girona-fc-deportivo-alaves/12437887,12437887
CZECH 2,2025-04-05,09:00,Brno,Vyskov,2.5,3.2,2.63,https://www.radarfutebol.com/radar/mfk-vyskov-fc-zbrojovka-brno/12451549,12451549
GREECE 2,2025-04-05,09:00,Kifisia,Panionios,1.23,4.9,15.0,https://www.radarfutebol.com/radar/ae-kifisia-gss-panionios/13480369,13480369
FRANCE 2,2025-04-05,09:00,Caen,Metz,4.33,3.7,1.73,https://www.radarfutebol.com/radar/caen-metz/12450730,12450730
NORTHERN IRELAND 2,2025-04-05,09:00,Linfield,Glentoran,1.6,3.85,5.1,https://www.radarfutebol.com/radar/linfield-fc-glentoran-fc/13671681,13671681
CZECH 2,2025-04-05,09:00,Opava,Taborsko,2.45,3.4,2.55,https://www.radarfutebol.com/radar/fc-silon-taborsko-slezsky-fc-opava/12451557,12451557
AUSTRIA 2,2025-04-05,09:30,Sturm Graz II,A. Lustenau,2.5,3.3,2.65,https://www.radarfutebol.com/radar/sturm-graz-ii-sc-austria-lustenau/12484584,12484584
