Data,Hora,Home,Away,Jogo,Link,ID
2025-01-24,14:30,SpVgg Greuther Fürth,1. FC Kaiserslautern,SpVgg Greuther Fürth x 1. FC Kaiserslautern,https://www.radarfutebol.com/radar/1-fc-kaiserslautern-spvgg-greuther-furth/12500060,12500060
2025-01-24,14:30,1. FC Magdeburg,Eintracht Braunschweig,1. FC Magdeburg x Eintracht Braunschweig,https://www.radarfutebol.com/radar/1-fc-magdeburg-eintracht-braunschweig/12500063,12500063
2025-01-24,15:00,Académico Viseu FC,Feirense,Académico Viseu FC x Feirense,https://www.radarfutebol.com/radar/feirense-academico-viseu-fc/12514438,12514438
2025-01-24,16:00,Heracles Almelo,FC Utrecht,Heracles Almelo x FC Utrecht,https://www.radarfutebol.com/radar/heracles-almelo-fc-utrecht/12448321,12448321
2025-01-24,16:30,VfL Wolfsburg,Holstein Kiel,VfL Wolfsburg x Holstein Kiel,https://www.radarfutebol.com/radar/holstein-kiel-vfl-wolfsburg/12499735,12499735
2025-01-24,16:30,Elche,Eibar,Elche x Eibar,https://www.radarfutebol.com/radar/elche-eibar/12467526,12467526
2025-01-24,16:30,Spezia,Sassuolo,Spezia x Sassuolo,https://www.radarfutebol.com/radar/sassuolo-spezia/12527799,12527799
2025-01-24,16:45,Torino,Cagliari,Torino x Cagliari,https://www.radarfutebol.com/radar/cagliari-torino/12504409,12504409
2025-01-24,16:45,Auxerre,Saint-Étienne,Auxerre x Saint-Étienne,https://www.radarfutebol.com/radar/saint-etienne-auxerre/12450979,12450979
2025-01-24,17:00,Las Palmas,Osasuna,Las Palmas x Osasuna,https://www.radarfutebol.com/radar/las-palmas-osasuna/12437643,12437643
2025-01-24,17:00,Sheffield United,Hull City,Sheffield United x Hull City,https://www.radarfutebol.com/radar/hull-city-sheffield-united/12468480,12468480
2025-01-24,17:00,Barracas Central,Racing Club,Barracas Central x Racing Club,https://www.radarfutebol.com/radar/barracas-central-racing-club/13292207,13292207
2025-01-24,19:00,Metropolitanos,Academia Puerto Cabello,Metropolitanos x Academia Puerto Cabello,https://www.radarfutebol.com/radar/academia-puerto-cabello-metropolitanos/13356229,13356229
2025-01-24,19:15,CA Independiente,Sarmiento,CA Independiente x Sarmiento,https://www.radarfutebol.com/radar/sarmiento-ca-independiente/13292221,13292221
2025-01-24,20:00,Boyacá Chicó FC,Atlético Bucaramanga,Boyacá Chicó FC x Atlético Bucaramanga,https://www.radarfutebol.com/radar/boyaca-chico-fc-atletico-bucaramanga/13320341,13320341
2025-01-24,20:30,Sportivo Luqueño,Club Atlético Tembetary,Sportivo Luqueño x Club Atlético Tembetary,https://www.radarfutebol.com/radar/club-atletico-tembetary-sportivo-luqueno/13222986,13222986
2025-01-24,21:00,Belgrano,Huracán,Belgrano x Huracán,https://www.radarfutebol.com/radar/huracan-belgrano/13292205,13292205
2025-01-24,21:30,San Martín de San Juan,Atlético Tucumán,San Martín de San Juan x Atlético Tucumán,https://www.radarfutebol.com/radar/atletico-tucuman-san-martin-de-san-juan/13292227,13292227
2025-01-24,21:30,Monagas,Deportivo La Guaira,Monagas x Deportivo La Guaira,https://www.radarfutebol.com/radar/deportivo-la-guaira-monagas/13356226,13356226
2025-01-24,22:00,Atlético San Luis,Club Necaxa,Atlético San Luis x Club Necaxa,https://www.radarfutebol.com/radar/atletico-san-luis-club-necaxa/13256011,13256011
2025-01-24,22:10,Unión Magdalena,Millonarios,Unión Magdalena x Millonarios,https://www.radarfutebol.com/radar/union-magdalena-millonarios/13320340,13320340
