League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
ASIA - WORLD CHAMPIONSHIP,2025-03-20,13:00,Uzbekistan,Kyrgyzstan,1.2,6.5,15.0,https://www.radarfutebol.com/radar/kyrgyzstan-uzbekistan/12475979,12475979
ASIA - WORLD CHAMPIONSHIP,2025-03-20,13:00,Iran,United Arab Emirates,1.5,4.0,7.0,https://www.radarfutebol.com/radar/iran-united-arab-emirates/12475977,12475977
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,14:00,Armenia,Georgia,4.0,3.3,1.95,https://www.radarfutebol.com/radar/georgia-armenia/13157435,13157435
ASIA - WORLD CHAMPIONSHIP,2025-03-20,15:15,Iraq,Kuwait,1.3,4.75,12.0,https://www.radarfutebol.com/radar/kuwait-iraq/12475954,12475954
ASIA - WORLD CHAMPIONSHIP,2025-03-20,15:15,Jordan,Palestine,1.53,3.7,8.0,https://www.radarfutebol.com/radar/palestine-jordan/12475021,12475021
ASIA - WORLD CHAMPIONSHIP,2025-03-20,15:15,Qatar,North Korea,1.55,3.9,6.25,https://www.radarfutebol.com/radar/north-korea-qatar/12475976,12475976
ASIA - WORLD CHAMPIONSHIP,2025-03-20,15:15,Saudi Arabia,China,1.36,4.5,9.5,https://www.radarfutebol.com/radar/saudi-arabia-china/12475937,12475937
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Croatia,France,3.6,3.3,2.1,https://www.radarfutebol.com/radar/croatia-france/13157483,13157483
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Austria,Serbia,1.8,3.4,4.75,https://www.radarfutebol.com/radar/serbia-austria/13157446,13157446
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Ukraine,Belgium,4.5,3.5,1.85,https://www.radarfutebol.com/radar/belgium-ukraine/13157444,13157444
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Slovakia,Slovenia,2.1,3.3,3.5,https://www.radarfutebol.com/radar/slovakia-slovenia/13157436,13157436
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Greece,Scotland,2.0,3.3,3.9,https://www.radarfutebol.com/radar/greece-scotland/13157448,13157448
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Bulgaria,Ireland,3.4,3.0,2.3,https://www.radarfutebol.com/radar/bulgaria-ireland/13157434,13157434
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Kosovo,Iceland,2.1,3.3,3.6,https://www.radarfutebol.com/radar/kosovo-iceland/13157433,13157433
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Netherlands,Spain,3.25,3.25,2.3,https://www.radarfutebol.com/radar/netherlands-spain/13157479,13157479
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Italy,Germany,2.7,3.2,2.7,https://www.radarfutebol.com/radar/germany-italy/13157485,13157485
EUROPE - UEFA NATIONS LEAGUE,2025-03-20,16:45,Denmark,Portugal,3.7,3.2,2.15,https://www.radarfutebol.com/radar/portugal-denmark/13157482,13157482
URUGUAY 1,2025-03-20,17:00,Montevideo City,Juventud,1.9,3.4,3.7,https://www.radarfutebol.com/radar/montevideo-city-torque-juventud-de-las-piedras/13606387,13606387
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-20,20:00,Paraguay,Chile,1.8,3.25,5.25,https://www.radarfutebol.com/radar/paraguay-chile/13129490,13129490
NORTH & CENTRAL AMERICA - CONCACAF NATIONS LEAGUE,2025-03-20,20:00,USA,Panama,1.33,5.25,9.5,https://www.radarfutebol.com/radar/panama-usa/13152431,13152431
ARGENTINA 1,2025-03-20,21:00,Union de Santa Fe,Racing Club,3.25,3.0,2.45,https://www.radarfutebol.com/radar/racing-club-club-atletico-union-de-santa-fe/13502598,13502598
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-20,21:45,Brazil,Colombia,1.73,3.5,5.25,https://www.radarfutebol.com/radar/colombia-brazil/13129489,13129489
MEXICO 2,2025-03-20,22:00,Correcaminos,Venados,2.67,3.6,2.27,https://www.radarfutebol.com/radar/venados-correcaminos-uat/13260564,13260564
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-20,22:30,Peru,Bolivia,1.4,4.33,9.0,https://www.radarfutebol.com/radar/peru-bolivia/13129488,13129488
