League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
BULGARIA 1,2025-03-14,10:15,Slavia Sofia,Beroe,1.91,3.25,4.1,https://www.radarfutebol.com/radar/beroe-stara-zagora-slavia-sofia/12421766,12421766
HUNGARY 1,2025-03-14,14:00,Gyor,Debrecen,1.91,3.5,3.6,https://www.radarfutebol.com/radar/eto-fc-gyor-debreceni-vsc/12448674,12448674
AUSTRIA 2,2025-03-14,14:00,Bregenz,Amstetten,2.37,3.45,2.72,https://www.radarfutebol.com/radar/schwarz-weiss-bregenz-sku-amstetten/12484607,12484607
AUSTRIA 2,2025-03-14,14:00,Horn,Stripfing,2.45,3.4,2.62,https://www.radarfutebol.com/radar/sv-stripfing-sv-horn/12484603,12484603
CROATIA 1,2025-03-14,14:00,Gorica,Slaven Belupo,2.75,3.2,2.4,https://www.radarfutebol.com/radar/hnk-gorica-nk-slaven-belupo/12403334,12403334
AUSTRIA 2,2025-03-14,14:00,Floridsdorfer AC,A. Lustenau,2.65,2.85,2.87,https://www.radarfutebol.com/radar/floridsdorfer-ac-sc-austria-lustenau/12484604,12484604
AUSTRIA 2,2025-03-14,14:00,Sturm Graz II,Liefering,2.35,3.5,2.72,https://www.radarfutebol.com/radar/fc-liefering-sturm-graz-ii/12484600,12484600
GERMANY 2,2025-03-14,14:30,Schalke,Hannover,2.5,3.6,2.6,https://www.radarfutebol.com/radar/hannover-96-fc-schalke-04/12499220,12499220
GERMANY 2,2025-03-14,14:30,Magdeburg,Hamburger SV,2.5,3.6,2.6,https://www.radarfutebol.com/radar/hamburger-sv-1-fc-magdeburg/12499235,12499235
DENMARK 2,2025-03-14,15:00,Kolding IF,Hobro,1.67,3.5,5.5,https://www.radarfutebol.com/radar/kolding-if-hobro/12442075,12442075
DENMARK 2,2025-03-14,15:00,Koge,Roskilde,2.45,3.3,2.8,https://www.radarfutebol.com/radar/hb-koge-fc-roskilde/12442076,12442076
DENMARK 2,2025-03-14,15:00,Horsens,Esbjerg,1.73,3.9,4.33,https://www.radarfutebol.com/radar/ac-horsens-esbjerg/12442073,12442073
GERMANY 3,2025-03-14,15:00,Saarbrucken,Stuttgart II,1.67,4.0,4.5,https://www.radarfutebol.com/radar/1-fc-saarbrucken-vfb-stuttgart-ii-u21/12525770,12525770
DENMARK 2,2025-03-14,15:00,Vendsyssel,Fredericia,3.75,3.7,1.85,https://www.radarfutebol.com/radar/vendsyssel-ff-fc-fredericia/12442074,12442074
FRANCE 3,2025-03-14,15:30,Concarneau,Versailles,2.6,2.92,2.75,https://www.radarfutebol.com/radar/fc-versailles-78-us-concarneau/12572113,12572113
FRANCE 3,2025-03-14,15:30,Valenciennes,Sochaux,2.02,3.15,3.65,https://www.radarfutebol.com/radar/valenciennes-sochaux/12570287,12570287
FRANCE 3,2025-03-14,15:30,Rouen,Villefranche,1.8,3.25,4.35,https://www.radarfutebol.com/radar/fc-villefranche-beaujolais-fc-rouen/12572112,12572112
FRANCE 3,2025-03-14,15:30,Orleans,Boulogne,2.32,2.92,3.15,https://www.radarfutebol.com/radar/us-orleans-us-boulogne-cote-dopale/12572114,12572114
FRANCE 3,2025-03-14,15:30,Nimes,Dijon,2.92,2.82,2.55,https://www.radarfutebol.com/radar/dijon-nimes-olympique/12572122,12572122
FRANCE 3,2025-03-14,15:30,Nancy,Quevilly Rouen,1.65,3.5,5.1,https://www.radarfutebol.com/radar/quevilly-rouen-metropole-nancy/12572125,12572125
FRANCE 3,2025-03-14,15:30,Le Mans,Chateauroux,1.47,3.95,6.2,https://www.radarfutebol.com/radar/le-mans-chateauroux/12572120,12572120
FRANCE 3,2025-03-14,15:30,Aubagne,Bourg en Bresse,2.3,2.92,3.2,https://www.radarfutebol.com/radar/aubagne-fc-bourg-en-bresse/12572118,12572118
FRANCE 2,2025-03-14,16:00,Annecy,Rodez,2.8,3.25,2.38,https://www.radarfutebol.com/radar/annecy-fc-rodez-af/12450715,12450715
FRANCE 2,2025-03-14,16:00,Clermont,Grenoble,2.25,3.2,3.0,https://www.radarfutebol.com/radar/clermont-foot-grenoble-foot-38/12450712,12450712
FRANCE 2,2025-03-14,16:00,Amiens,Caen,2.88,3.2,2.35,https://www.radarfutebol.com/radar/amiens-sc-caen/12450722,12450722
BELGIUM 2,2025-03-14,16:00,Beveren,RWDM,3.4,3.4,1.95,https://www.radarfutebol.com/radar/rwd-molenbeek-sk-beveren/12448422,12448422
FRANCE 2,2025-03-14,16:00,Troyes,Guingamp,2.2,3.2,3.2,https://www.radarfutebol.com/radar/guingamp-troyes/12615575,12615575
FRANCE 2,2025-03-14,16:00,Martigues,Pau FC,3.4,3.25,2.05,https://www.radarfutebol.com/radar/pau-fc-fc-martigues/12450714,12450714
NETHERLANDS 1,2025-03-14,16:00,Almere City,NAC Breda,2.45,3.25,2.88,https://www.radarfutebol.com/radar/almere-city-fc-nac-breda/12441716,12441716
ITALY 2,2025-03-14,16:30,Palermo,Cremonese,2.7,3.0,2.8,https://www.radarfutebol.com/radar/cremonese-palermo/12527518,12527518
AUSTRIA 2,2025-03-14,16:30,St. Polten,First Vienna,1.85,3.45,4.05,https://www.radarfutebol.com/radar/skn-st-polten-first-vienna/12484602,12484602
GERMANY 1,2025-03-14,16:30,St. Pauli,Hoffenheim,2.25,3.25,3.3,https://www.radarfutebol.com/radar/tsg-hoffenheim-fc-st-pauli/12499439,12499439
HUNGARY 1,2025-03-14,16:30,Paks,Ujpest,1.85,3.7,3.75,https://www.radarfutebol.com/radar/paksi-fc-ujpest/12448668,12448668
FRANCE 1,2025-03-14,16:45,Nice,Auxerre,1.53,4.1,6.0,https://www.radarfutebol.com/radar/nice-auxerre/12450256,12450256
ITALY 1,2025-03-14,16:45,Genoa,Lecce,2.05,2.9,4.5,https://www.radarfutebol.com/radar/genoa-lecce/12504360,12504360
IRELAND 1,2025-03-14,16:45,Drogheda,Shamrock Rovers,4.1,3.3,1.83,https://www.radarfutebol.com/radar/drogheda-united-shamrock-rovers/13250709,13250709
IRELAND 1,2025-03-14,16:45,Galway,Waterford,1.8,3.4,4.2,https://www.radarfutebol.com/radar/galway-united-waterford-fc/13250710,13250710
IRELAND 1,2025-03-14,16:45,Shelbourne,Cork City,1.67,3.6,4.75,https://www.radarfutebol.com/radar/cork-city-shelbourne/13250711,13250711
ENGLAND 2,2025-03-14,17:00,Bristol City,Norwich,2.0,3.3,3.8,https://www.radarfutebol.com/radar/norwich-city-bristol-city/12468378,12468378
SPAIN 1,2025-03-14,17:00,Las Palmas,Alaves,2.9,3.1,2.55,https://www.radarfutebol.com/radar/las-palmas-deportivo-alaves/12437566,12437566
CHILE 1,2025-03-14,20:30,Limache,Huachipato,2.5,3.6,2.55,https://www.radarfutebol.com/radar/deportes-limache-huachipato/13443488,13443488
COLOMBIA 1,2025-03-14,20:30,Bucaramanga,Pereira,1.8,3.25,5.0,https://www.radarfutebol.com/radar/deportivo-pereira-atletico-bucaramanga/13380355,13380355
ECUADOR 1,2025-03-14,21:00,Mushuc Runa,Vinotinto,1.85,3.3,4.1,https://www.radarfutebol.com/radar/vinotinto-futbol-club-mushuc-runa/13378593,13378593
ARGENTINA 1,2025-03-14,21:00,Godoy Cruz,San Lorenzo,2.88,2.75,2.88,https://www.radarfutebol.com/radar/godoy-cruz-san-lorenzo/13280713,13280713
ARGENTINA 2,2025-03-14,21:10,All Boys,San Miguel,2.55,3.0,3.0,https://www.radarfutebol.com/radar/san-miguel-all-boys/13437956,13437956
