League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
PERU 1,2025-03-27,15:00,Comerciantes Unidos,Grau,3.1,3.1,2.25,https://www.radarfutebol.com/radar/club-atletico-grau-comerciantes-unidos/13596389,13596389
ARGENTINA 1,2025-03-27,15:30,Aldosivi,Union de Santa Fe,3.25,3.0,2.4,https://www.radarfutebol.com/radar/aldosivi-club-atletico-union-de-santa-fe/13292276,13292276
VENEZUELA 1,2025-03-27,16:00,Yaracuyanos,Caracas,3.45,3.15,2.07,https://www.radarfutebol.com/radar/yaracuyanos-fc-caracasc/13389292,13389292
ENGLAND 3,2025-03-27,17:00,Leyton Orient,Stevenage,2.3,3.2,3.2,https://www.radarfutebol.com/radar/stevenage-leyton-orient/12469313,12469313
SPAIN 1,2025-03-27,17:00,Barcelona,Osasuna,1.22,7.0,11.0,https://www.radarfutebol.com/radar/osasuna-barcelona/13637082,13637082
CHILE 1,2025-03-27,18:15,Colo Colo,Palestino,1.75,3.7,4.5,https://www.radarfutebol.com/radar/palestino-colo-colo/13443504,13443504
PARAGUAY 1,2025-03-27,19:30,Guarani,Sportivo Trinidense,2.55,2.8,2.8,https://www.radarfutebol.com/radar/sportivo-trinidense-guarani/13672045,13672045
COLOMBIA 1,2025-03-27,20:00,Once Caldas,Llaneros,1.5,3.8,7.0,https://www.radarfutebol.com/radar/llaneros-fc-once-caldas/13380413,13380413
COLOMBIA 2,2025-03-27,20:00,Huila,Quindio,1.75,3.45,4.4,https://www.radarfutebol.com/radar/deportes-quindio-atletico-huila/13366905,13366905
COLOMBIA 1,2025-03-27,22:10,America De Cali,Chico,1.25,5.25,13.0,https://www.radarfutebol.com/radar/boyaca-chico-fc-america-de-cali/13358767,13358767
