League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
TURKEY 2,2025-03-31,11:00,Erokspor,Ankaragucu,2.55,3.25,2.55,https://www.radarfutebol.com/radar/esenler-erokspor-mke-ankaragucu/12596409,12596409
ROMANIA 1,2025-03-31,11:30,Gloria Buzau,Otelul,3.3,2.88,2.3,https://www.radarfutebol.com/radar/fc-gloria-buzau-sc-otelul-galati/13592410,13592410
CYPRUS 1,2025-03-31,13:00,Anorthosis,Achnas,2.12,3.8,3.0,https://www.radarfutebol.com/radar/anorthosis-famagusta-ethnikos-achnas/13625884,13625884
ITALY 1,2025-03-31,13:30,Verona,Parma,2.45,3.0,3.2,https://www.radarfutebol.com/radar/hellas-verona-parma/12504347,12504347
NORWAY 2,2025-03-31,14:00,Odd,Skeid,1.53,4.2,4.75,https://www.radarfutebol.com/radar/skeid-odds-bk/13268450,13268450
NORWAY 2,2025-03-31,14:00,Ranheim,Lyn,2.45,3.6,2.5,https://www.radarfutebol.com/radar/ranheim-il-lyn-fk/13268451,13268451
NORWAY 2,2025-03-31,14:00,Stabaek,Hodd,1.67,3.9,4.2,https://www.radarfutebol.com/radar/stabaek-fotball-hodd-il/13268452,13268452
NORWAY 2,2025-03-31,14:00,Start,Sogndal,1.83,3.8,3.6,https://www.radarfutebol.com/radar/ik-start-sogndal-il/13268453,13268453
POLAND 1,2025-03-31,14:00,Zaglebie,Rakow,4.2,3.5,1.91,https://www.radarfutebol.com/radar/rakow-czestochowa-zaglebie-lubin/12402181,12402181
NORWAY 2,2025-03-31,14:00,Egersund,Mjondalen,1.67,4.1,4.1,https://www.radarfutebol.com/radar/egersund-mjondalen/13268448,13268448
SWEDEN 1,2025-03-31,14:00,Varnamo,Sirius,2.45,3.5,2.7,https://www.radarfutebol.com/radar/ifk-varnamo-ik-sirius/13292371,13292371
TURKEY 1,2025-03-31,14:00,Eyupspor,Basaksehir,2.63,3.1,2.63,https://www.radarfutebol.com/radar/eyupspor-basaksehir-fk/12530703,12530703
TURKEY 2,2025-03-31,14:00,Kocaelispor,Sakaryaspor,1.6,3.7,5.0,https://www.radarfutebol.com/radar/sakaryaspor-kocaelispor/12596407,12596407
POLAND 2,2025-03-31,14:00,Tychy,Wisla Plock,2.63,3.1,2.6,https://www.radarfutebol.com/radar/gks-tychy-wisla-plock/12456356,12456356
NORWAY 2,2025-03-31,14:00,Aalesund,Lillestrom,2.6,3.3,2.45,https://www.radarfutebol.com/radar/aalesunds-fk-lillestrom-sk/13268454,13268454
NORWAY 2,2025-03-31,14:00,Kongsvinger,Asane,1.65,3.8,4.33,https://www.radarfutebol.com/radar/asane-kongsvinger/13268449,13268449
SWEDEN 1,2025-03-31,14:10,GAIS,AIK,2.63,3.25,2.63,https://www.radarfutebol.com/radar/gais-goteborg-aik/13292367,13292367
SWITZERLAND 2,2025-03-31,14:30,Bellinzona,Aarau,3.0,3.3,2.25,https://www.radarfutebol.com/radar/ac-bellinzona-fc-aarau/13258262,13258262
SWITZERLAND 2,2025-03-31,14:30,Xamax,Schaffhausen,1.88,3.5,3.75,https://www.radarfutebol.com/radar/schaffhausen-neuchatel-xamax/13258264,13258264
NETHERLANDS 2,2025-03-31,15:00,Jong Ajax,FC Volendam,4.0,4.0,1.8,https://www.radarfutebol.com/radar/jong-ajax-fc-volendam/12441835,12441835
NETHERLANDS 2,2025-03-31,15:00,Jong PSV,Den Bosch,3.1,3.6,2.1,https://www.radarfutebol.com/radar/jong-psv-eindhoven-fc-den-bosch/12441845,12441845
NETHERLANDS 2,2025-03-31,15:00,Jong AZ,Oss,1.67,3.9,4.75,https://www.radarfutebol.com/radar/jong-az-alkmaar-top-oss/12441840,12441840
SWITZERLAND 2,2025-03-31,15:15,Lausanne Ouchy,Thun,3.4,3.6,1.98,https://www.radarfutebol.com/radar/fc-stade-lausanne-ouchy-fc-thun/13258265,13258265
SWITZERLAND 2,2025-03-31,15:15,Etoile-Carouge,Stade Nyonnais,1.72,3.9,4.1,https://www.radarfutebol.com/radar/etoile-carouge-fc-stade-nyonnais/13258263,13258263
ITALY 1,2025-03-31,15:45,Lazio,Torino,1.8,3.5,4.75,https://www.radarfutebol.com/radar/lazio-torino/12504350,12504350
FRANCE 2,2025-03-31,15:45,Paris FC,Caen,1.53,3.6,6.25,https://www.radarfutebol.com/radar/paris-fc-caen/12450723,12450723
SPAIN 1,2025-03-31,16:00,Celta Vigo,Las Palmas,1.57,4.1,5.75,https://www.radarfutebol.com/radar/las-palmas-celta-vigo/12437569,12437569
PORTUGAL 2,2025-03-31,16:15,Mafra,Felgueiras,2.88,2.9,2.5,https://www.radarfutebol.com/radar/cd-mafra-felgueiras/12514362,12514362
COLOMBIA 2,2025-03-31,17:30,Real Santander,Cucuta,5.2,2.95,1.78,https://www.radarfutebol.com/radar/real-santander-cucuta-deportivo/13366903,13366903
BRAZIL 1,2025-03-31,20:00,Bragantino,Ceara,2.0,3.3,3.9,https://www.radarfutebol.com/radar/ceara-red-bull-bragantino/13473342,13473342
CHILE 2,2025-03-31,20:30,Deportes Temuco,San Marcos de Arica,2.18,3.4,3.2,https://www.radarfutebol.com/radar/deportes-temuco-san-marcos-de-arica/13567413,13567413
