League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
AUSTRIA - 2. LIGA,2025-02-23,06:30,Horn,Ried,8.25,4.6,1.35,https://www.radarfutebol.com/radar/sv-horn-sv-ried/12484625,12484625
TURKEY - 1. LIG,2025-02-23,07:30,Erzurumspor,Igdir FK,2.15,3.1,3.5,https://www.radarfutebol.com/radar/igdir-fk-erzurumspor-fk/12596458,12596458
TURKEY - SUPER LIG,2025-02-23,07:30,Kayserispor,Goztepe,3.1,3.5,2.2,https://www.radarfutebol.com/radar/kayserispor-goztepe/12530739,12530739
TURKEY - 1. LIG,2025-02-23,07:30,Pendikspor,Erokspor,1.75,3.75,4.1,https://www.radarfutebol.com/radar/esenler-erokspor-pendikspor/12596460,12596460
PORTUGAL - LIGA PORTUGAL 2,2025-02-23,08:00,Torreense,Chaves,3.0,3.2,2.25,https://www.radarfutebol.com/radar/torreense-chaves/12514392,12514392
POLAND - DIVISION 1,2025-02-23,08:00,Tychy,Chrobry Glogow,1.75,3.5,4.2,https://www.radarfutebol.com/radar/chrobry-glogow-gks-tychy/12448944,12448944
UKRAINE - PREMIER LEAGUE,2025-02-23,08:00,Obolon,Vorskla Poltava,2.92,2.7,2.67,https://www.radarfutebol.com/radar/obolon-kyiv-vorskla-poltava/12484374,12484374
POLAND - EKSTRAKLASA,2025-02-23,08:15,Lechia Gdansk,Puszcza,2.1,3.3,3.3,https://www.radarfutebol.com/radar/puszcza-niepolomice-ks-lechia-gdansk/12402217,12402217
ITALY - SERIE A,2025-02-23,08:30,Como,Napoli,3.6,3.0,2.25,https://www.radarfutebol.com/radar/napoli-como/12504378,12504378
ENGLAND - CHAMPIONSHIP,2025-02-23,09:00,Watford,Luton,2.38,3.4,3.0,https://www.radarfutebol.com/radar/luton-town-watford/12468415,12468415
CZECH REPUBLIC - CHANCE LIGA,2025-02-23,09:00,Bohemians,Liberec,2.2,3.4,3.1,https://www.radarfutebol.com/radar/bohemians-praha-1905-fc-slovan-liberec/12580772,12580772
GERMANY - 3. LIGA,2025-02-23,09:30,Stuttgart II,Cottbus,2.9,3.5,2.2,https://www.radarfutebol.com/radar/energie-cottbus-vfb-stuttgart-ii-u21/12525799,12525799
GERMANY - 2. BUNDESLIGA,2025-02-23,09:30,Greuther Furth,Braunschweig,2.15,3.4,3.25,https://www.radarfutebol.com/radar/eintracht-braunschweig-spvgg-greuther-furth/12500001,12500001
GERMANY - 2. BUNDESLIGA,2025-02-23,09:30,FC Koln,Dusseldorf,1.85,3.6,4.0,https://www.radarfutebol.com/radar/1-fc-koln-fortuna-dusseldorf/12500103,12500103
GERMANY - 2. BUNDESLIGA,2025-02-23,09:30,Darmstadt,Schalke,2.3,3.5,2.9,https://www.radarfutebol.com/radar/darmstadt-98-fc-schalke-04/12500104,12500104
DENMARK - SUPERLIGA,2025-02-23,10:00,Nordsjaelland,Sonderjyske,1.4,4.5,7.5,https://www.radarfutebol.com/radar/sonderjyske-fodbold-fc-nordsjaelland/12407861,12407861
TURKEY - SUPER LIG,2025-02-23,10:00,Alanyaspor,Adana Demirspor,1.33,5.5,8.0,https://www.radarfutebol.com/radar/alanyaspor-adana-demirspor/12530746,12530746
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-23,10:00,Club Africain,Olympique Beja,1.4,3.85,9.75,https://www.radarfutebol.com/radar/olympique-beja-club-africain/13464571,13464571
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-23,10:00,Zarzis,CS Sfaxien,2.25,2.65,3.85,https://www.radarfutebol.com/radar/es-zarzis-cs-sfaxien/13461954,13461954
SWITZERLAND - CHALLENGE LEAGUE,2025-02-23,10:15,Vaduz,Aarau,3.3,3.6,2.0,https://www.radarfutebol.com/radar/fc-vaduz-fc-aarau/13260124,13260124
SWITZERLAND - CHALLENGE LEAGUE,2025-02-23,10:15,Wil,Thun,3.05,3.5,2.15,https://www.radarfutebol.com/radar/fc-wil-1900-fc-thun/13260127,13260127
SWITZERLAND - SUPER LEAGUE,2025-02-23,10:15,Luzern,Sion,2.0,3.5,3.6,https://www.radarfutebol.com/radar/fc-luzern-fc-sion/13260094,13260094
AUSTRIA - BUNDESLIGA,2025-02-23,10:30,Altach,Hartberg,2.5,3.1,2.88,https://www.radarfutebol.com/radar/sc-rheindorf-altach-tsv-hartberg/12481052,12481052
NETHERLANDS - EREDIVISIE,2025-02-23,10:30,Twente,Nijmegen,1.6,4.1,5.25,https://www.radarfutebol.com/radar/nec-nijmegen-fc-twente/13349043,13349043
POLAND - DIVISION 1,2025-02-23,10:30,LKS Lodz,Legnica,2.63,3.3,2.4,https://www.radarfutebol.com/radar/miedz-legnica-lks-lodz/12448939,12448939
POLAND - EKSTRAKLASA,2025-02-23,10:45,Cracovia,Jagiellonia,2.2,3.5,2.88,https://www.radarfutebol.com/radar/jagiellonia-bialystok-cracovia/12402220,12402220
ITALY - SERIE C,2025-02-23,11:00,Union Clodiense,Pro Vercelli,3.2,2.87,2.27,https://www.radarfutebol.com/radar/union-clodiense-chioggia-pro-vercelli/12545729,12545729
INDIA - ISL,2025-02-23,11:00,Mohun Bagan,Odisha FC,1.53,4.1,5.25,https://www.radarfutebol.com/radar/mohun-bagan-super-giant-odisha-fc/13077906,13077906
ITALY - SERIE B,2025-02-23,11:00,Brescia,Sudtirol,2.3,3.0,3.4,https://www.radarfutebol.com/radar/sudtirol-brescia/12527578,12527578
ITALY - SERIE B,2025-02-23,11:00,Cosenza,Palermo,3.0,3.0,2.45,https://www.radarfutebol.com/radar/cosenza-palermo/12527580,12527580
FRANCE - LIGUE 1,2025-02-23,11:00,Nantes,Lens,3.6,3.4,2.1,https://www.radarfutebol.com/radar/rc-lens-nantes/12450888,12450888
ENGLAND - PREMIER LEAGUE,2025-02-23,11:00,Newcastle,Nottingham,1.77,3.9,4.0,https://www.radarfutebol.com/radar/newcastle-united-nottingham-forest/12436963,12436963
ITALY - SERIE C,2025-02-23,11:00,Ascoli,Ternana,3.9,3.0,1.95,https://www.radarfutebol.com/radar/ternana-ascoli/12545382,12545382
ITALY - SERIE C,2025-02-23,11:00,Torres,Pontedera,1.55,3.6,5.6,https://www.radarfutebol.com/radar/pontedera-torres/12545386,12545386
ITALY - SERIE B,2025-02-23,11:00,Spezia,Catanzaro,1.62,3.75,5.5,https://www.radarfutebol.com/radar/catanzaro-spezia/12527592,12527592
ITALY - SERIE C,2025-02-23,11:00,Crotone,Monopoli,2.1,3.1,3.3,https://www.radarfutebol.com/radar/monopoli-crotone/12545029,12545029
ITALY - SERIE C,2025-02-23,11:00,Altamura,Catania,2.87,2.95,2.4,https://www.radarfutebol.com/radar/team-altamura-catania/12545040,12545040
CROATIA - HNL,2025-02-23,11:00,Gorica,Sibenik,1.83,3.25,4.2,https://www.radarfutebol.com/radar/hnk-gorica-hnk-sibenik/12403357,12403357
DENMARK - 1ST DIVISION,2025-02-23,11:00,Fredericia,Koge,1.38,6.0,5.5,https://www.radarfutebol.com/radar/hb-koge-fc-fredericia/12442055,12442055
CYPRUS - CYPRUS LEAGUE,2025-02-23,11:00,Omonia Aradippou,Achnas,3.1,3.25,2.27,https://www.radarfutebol.com/radar/omonia-aradippou-ethnikos-achnas/12497200,12497200
PORTUGAL - LIGA PORTUGAL 2,2025-02-23,11:00,Leixoes,Alverca,2.7,3.0,2.55,https://www.radarfutebol.com/radar/fc-alverca-leixoes-sc/12514382,12514382
DENMARK - 1ST DIVISION,2025-02-23,11:00,Horsens,Roskilde,1.29,5.5,9.0,https://www.radarfutebol.com/radar/fc-roskilde-ac-horsens/12442058,12442058
ITALY - SERIE C,2025-02-23,11:00,Foggia,Potenza,2.18,3.15,3.05,https://www.radarfutebol.com/radar/potenza-calcio-foggia/12545031,12545031
ITALY - SERIE A,2025-02-23,11:00,Verona,Fiorentina,4.2,3.3,1.91,https://www.radarfutebol.com/radar/hellas-verona-fiorentina/12504377,12504377
GREECE - SUPER LEAGUE,2025-02-23,11:30,Aris,Panetolikos,1.53,4.0,6.25,https://www.radarfutebol.com/radar/panetolikos-aris-thessaloniki/12568345,12568345
SLOVAKIA - NIKE LIGA,2025-02-23,11:30,Michalovce,Banska Bystrica,1.87,3.5,4.05,https://www.radarfutebol.com/radar/mfk-zemplin-michalovce-dukla-banska-bystrica/12449177,12449177
HUNGARY - OTP BANK LIGA,2025-02-23,11:30,Gyor,Zalaegerszegi,1.91,3.5,3.7,https://www.radarfutebol.com/radar/eto-fc-gyor-zalaegerszegi-te/12448617,12448617
SLOVAKIA - NIKE LIGA,2025-02-23,11:30,Trnava,Podbrezova,1.65,3.75,5.0,https://www.radarfutebol.com/radar/fk-zeleziarne-podbrezova-fc-spartak-trnava/12449169,12449169
GERMANY - BUNDESLIGA,2025-02-23,11:30,RB Leipzig,Heidenheim,1.33,5.0,9.0,https://www.radarfutebol.com/radar/rb-leipzig-1-fc-heidenheim/12499845,12499845
CZECH REPUBLIC - CHANCE LIGA,2025-02-23,11:30,Jablonec,Karvina,1.67,3.8,4.33,https://www.radarfutebol.com/radar/mfk-karvina-fk-jablonec/12580783,12580783
ENGLAND - LEAGUE ONE,2025-02-23,12:00,Mansfield,Wrexham,3.5,3.4,2.0,https://www.radarfutebol.com/radar/mansfield-town-wrexham/12469372,12469372
BELGIUM - JUPILER PRO LEAGUE,2025-02-23,12:00,Genk,Gent,1.55,3.8,5.5,https://www.radarfutebol.com/radar/kaa-gent-krc-genk/12421233,12421233
BELGIUM - CHALLENGER PRO LEAGUE,2025-02-23,12:00,Patro Eisden,RAAL La Louviere,2.4,3.4,2.63,https://www.radarfutebol.com/radar/raal-la-louviere-patro-eisden-maasmechelen/12448545,12448545
CHILE - LIGA DE PRIMERA,2025-02-23,12:00,Huachipato,Everton,2.63,3.4,2.5,https://www.radarfutebol.com/radar/everton-de-vina-del-mar-huachipato/13443426,13443426
DENMARK - SUPERLIGA,2025-02-23,12:00,Vejle,Brondby,5.5,4.33,1.53,https://www.radarfutebol.com/radar/vejle-brondby-if/12407867,12407867
GREECE - SUPER LEAGUE,2025-02-23,12:00,Lamia,Panathinaikos,11.0,5.0,1.3,https://www.radarfutebol.com/radar/pas-lamia-1964-panathinaikos/12568347,12568347
PORTUGAL - LIGA 3,2025-02-23,12:00,Covilha,Oliveira Hospital,2.12,3.2,3.3,https://www.radarfutebol.com/radar/oliveira-hospital-sc-covilha/13411645,13411645
