League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
AFRICA - WORLD CHAMPIONSHIP,2025-03-23,10:00,Eswatini,Mauritius,1.83,3.1,5.25,https://www.radarfutebol.com/radar/mauritius-eswatini/12183430,12183430
AFRICA - WORLD CHAMPIONSHIP,2025-03-23,10:00,Kenya,Gabon,2.55,3.0,3.0,https://www.radarfutebol.com/radar/kenya-gabon/12183356,12183356
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,11:00,Georgia,Armenia,1.45,4.5,6.5,https://www.radarfutebol.com/radar/georgia-armenia/13157439,13157439
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Scotland,Greece,2.45,3.3,3.0,https://www.radarfutebol.com/radar/greece-scotland/13157449,13157449
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Iceland,Kosovo,2.35,3.3,3.1,https://www.radarfutebol.com/radar/kosovo-iceland/13157437,13157437
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Serbia,Austria,2.88,3.2,2.55,https://www.radarfutebol.com/radar/serbia-austria/13157447,13157447
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Slovenia,Slovakia,2.45,3.0,3.1,https://www.radarfutebol.com/radar/slovakia-slovenia/13157440,13157440
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Slovenia,Slovakia,2.45,3.0,3.1,https://www.radarfutebol.com/radar/slovakia-slovenia/13157440,13157440
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,14:00,Serbia,Austria,2.88,3.2,2.55,https://www.radarfutebol.com/radar/serbia-austria/13157447,13157447
ARGENTINA 2,2025-03-23,14:45,Chacarita Juniors,Deportivo Moron,2.1,2.88,4.1,https://www.radarfutebol.com/radar/deportivo-moron-club-atletico-chacarita-juniors/13445439,13445439
ARGENTINA 2,2025-03-23,14:45,Chacarita Juniors,Deportivo Moron,2.1,2.88,4.1,https://www.radarfutebol.com/radar/deportivo-moron-club-atletico-chacarita-juniors/13445439,13445439
ARGENTINA 2,2025-03-23,15:30,Ferro,Alvarado,1.73,3.4,5.25,https://www.radarfutebol.com/radar/alvarado-club-ferro-carril-oeste/13445432,13445432
URUGUAY 1,2025-03-23,15:30,Progreso,River Plate,2.7,2.9,2.75,https://www.radarfutebol.com/radar/progreso-river-plate-uy/13606383,13606383
ARGENTINA 2,2025-03-23,15:30,Ferro,Alvarado,1.73,3.4,5.25,https://www.radarfutebol.com/radar/alvarado-club-ferro-carril-oeste/13445432,13445432
ARGENTINA 2,2025-03-23,16:00,Almirante Brown,Chaco For Ever,2.63,2.8,3.0,https://www.radarfutebol.com/radar/chaco-for-ever-almirante-brown/13445446,13445446
PARAGUAY 1,2025-03-23,16:00,2 de Mayo,Cerro Porteno,3.6,3.1,2.05,https://www.radarfutebol.com/radar/cs-2-de-mayo-cerro-porteno/13436433,13436433
ARGENTINA 2,2025-03-23,16:00,Almirante Brown,Chaco For Ever,2.63,2.8,3.0,https://www.radarfutebol.com/radar/chaco-for-ever-almirante-brown/13445446,13445446
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,16:45,Spain,Netherlands,1.65,4.0,5.0,https://www.radarfutebol.com/radar/netherlands-spain/13157480,13157480
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,16:45,Belgium,Ukraine,1.5,4.5,6.25,https://www.radarfutebol.com/radar/belgium-ukraine/13157445,13157445
EUROPE - UEFA NATIONS LEAGUE,2025-03-23,16:45,France,Croatia,1.4,4.5,8.0,https://www.radarfutebol.com/radar/croatia-france/13157484,13157484
