League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
ROMANIA 2,2025-04-09,13:00,CSM Resita,FC Arges,2.75,3.1,2.6,https://www.radarfutebol.com/radar/fc-arges-pitesti-csm-resita/13621285,13621285
CZECH 1,2025-04-09,13:00,Slovacko,Hradec Kralove,2.87,3.0,2.6,https://www.radarfutebol.com/radar/1-fc-slovacko-fc-hradec-kralove/13705051,13705051
ITALY 3,2025-04-09,13:00,Pescara,Arezzo,2.22,3.15,3.0,https://www.radarfutebol.com/radar/pescara-arezzo/13696834,13696834
ESTONIA 1,2025-04-09,13:00,Paide,Parnu JK Vaprus,1.29,4.55,8.5,https://www.radarfutebol.com/radar/parnu-jk-vaprus-paide-linnameeskond/13554386,13554386
POLAND 2,2025-04-09,13:00,Wisla,Chrobry Glogow,1.29,5.0,9.0,https://www.radarfutebol.com/radar/chrobry-glogow-wisla-krakow/12420889,12420889
SAUDI ARABIA 2,2025-04-09,13:20,Al Jandal,Al Adalah,2.07,3.45,3.15,https://www.radarfutebol.com/radar/al-jandal-al-adalah/13379234,13379234
NORWAY 1,2025-04-09,14:00,Fredrikstad,Valerenga,2.3,3.2,3.25,https://www.radarfutebol.com/radar/valerenga-if-fredrikstad-fk/13295663,13295663
TURKEY 2,2025-04-09,14:00,Pendikspor,Ankaragucu,2.4,3.1,2.75,https://www.radarfutebol.com/radar/pendikspor-mke-ankaragucu/12596393,12596393
TURKEY 2,2025-04-09,14:00,Boluspor,Sakaryaspor,2.1,3.2,3.3,https://www.radarfutebol.com/radar/boluspor-sakaryaspor/12596386,12596386
POLAND 2,2025-04-09,15:30,Polonia Warszawa,Pogon Siedlce,1.75,3.6,4.0,https://www.radarfutebol.com/radar/pogon-siedlce-polonia-warszawa/12420893,12420893
ENGLAND 2,2025-04-09,15:45,Swansea,Plymouth,1.62,4.0,5.0,https://www.radarfutebol.com/radar/swansea-city-plymouth-argyle/12465062,12465062
EUROPA CHAMPIONS LEAGUE,2025-04-09,16:00,Barcelona,Dortmund,1.33,5.5,7.5,https://www.radarfutebol.com/radar/barcelona-borussia-dortmund/13513404,13513404
ENGLAND 2,2025-04-09,16:00,Coventry,Portsmouth,1.62,4.2,5.0,https://www.radarfutebol.com/radar/coventry-city-portsmouth/12465049,12465049
ARGENTINA COPA,2025-04-09,16:00,Rosario Central,Los Andes,1.62,3.4,6.3,https://www.radarfutebol.com/radar/los-andes-rosario-central/13689653,13689653
ECUADOR 1,2025-04-09,21:00,Vinotinto,Delfin,1.75,3.5,4.5,https://www.radarfutebol.com/radar/vinotinto-futbol-club-delfin/13378619,13378619
