League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
TURKEY 2,2025-04-08,08:00,Keciorengucu,Sanliurfaspor,1.8,3.5,4.0,https://www.radarfutebol.com/radar/keciorengucu-sanliurfaspor/12596391,12596391
ESTONIA 1,2025-04-08,11:30,Narva,Tallinna Kalev,1.4,4.45,5.9,https://www.radarfutebol.com/radar/tallinna-kalev-narva-trans/13405905,13405905
ESTONIA 1,2025-04-08,12:00,Levadia,Kuressaare,1.11,6.6,18.5,https://www.radarfutebol.com/radar/fc-kuressaare-fci-levadia-tallinn/13405894,13405894
POLAND 2,2025-04-08,13:00,Pruszkow,Odra Opole,2.2,3.25,3.0,https://www.radarfutebol.com/radar/znicz-pruszkow-oks-odra-opole/12420898,12420898
TURKEY 2,2025-04-08,14:00,Manisa FK,Amedspor,3.1,3.3,2.15,https://www.radarfutebol.com/radar/amed-sportif-faaliyetler-manisa-fk/12596383,12596383
SWEDEN 2,2025-04-08,14:00,Vasteras SK,Orgryte,1.6,4.0,5.25,https://www.radarfutebol.com/radar/vasteras-sk-orgryte-is/13292505,13292505
SWEDEN 2,2025-04-08,14:00,Vasteras SK,Orgryte,1.6,4.0,5.25,https://www.radarfutebol.com/radar/vasteras-sk-orgryte-is/13292505,13292505
TURKEY 2,2025-04-08,14:00,Manisa FK,Amedspor,3.1,3.3,2.15,https://www.radarfutebol.com/radar/amed-sportif-faaliyetler-manisa-fk/12596383,12596383
POLAND 2,2025-04-08,14:30,Leczna,Kotwica Kolobrzeg,1.63,3.6,4.5,https://www.radarfutebol.com/radar/kotwica-kolobrzeg-gornik-leczna/12420887,12420887
POLAND 2,2025-04-08,14:30,Leczna,Kotwica Kolobrzeg,1.63,3.6,4.5,https://www.radarfutebol.com/radar/kotwica-kolobrzeg-gornik-leczna/12420887,12420887
POLAND 2,2025-04-08,15:30,Arka Gdynia,Warta Poznan,1.44,4.0,6.5,https://www.radarfutebol.com/radar/warta-poznan-mzks-arka-gdynia/12420891,12420891
POLAND 2,2025-04-08,15:30,Arka Gdynia,Warta Poznan,1.44,4.0,6.5,https://www.radarfutebol.com/radar/warta-poznan-mzks-arka-gdynia/12420891,12420891
ENGLAND 5,2025-04-08,15:45,Sutton,Rochdale,2.63,3.4,2.4,https://www.radarfutebol.com/radar/sutton-united-rochdale/13437807,13437807
ENGLAND 5,2025-04-08,15:45,Oldham,Woking,1.83,3.3,4.33,https://www.radarfutebol.com/radar/woking-oldham-athletic/13644442,13644442
ENGLAND 4,2025-04-08,15:45,Chesterfield,Gillingham,1.73,3.6,4.5,https://www.radarfutebol.com/radar/chesterfield-gillingham/13399587,13399587
ENGLAND 3,2025-04-08,15:45,Shrewsbury,Reading,3.5,3.3,2.1,https://www.radarfutebol.com/radar/shrewsbury-town-reading/13610079,13610079
ENGLAND 3,2025-04-08,15:45,Bolton,Rotherham,1.71,3.8,4.2,https://www.radarfutebol.com/radar/rotherham-united-bolton-wanderers/13608624,13608624
ENGLAND 3,2025-04-08,15:45,Mansfield,Leyton Orient,2.4,3.4,2.75,https://www.radarfutebol.com/radar/leyton-orient-mansfield-town/13644989,13644989
ENGLAND 3,2025-04-08,15:45,Huddersfield,Wycombe,2.7,3.2,2.6,https://www.radarfutebol.com/radar/wycombe-wanderers-huddersfield-town/13608627,13608627
IRELAND 2,2025-04-08,15:45,Wexford,Longford,1.6,4.05,4.6,https://www.radarfutebol.com/radar/wexford-fc-longford-town/13668697,13668697
ENGLAND 3,2025-04-08,15:45,Exeter,Wigan,2.65,3.2,2.55,https://www.radarfutebol.com/radar/exeter-city-wigan-athletic/13399552,13399552
ENGLAND 2,2025-04-08,15:45,Watford,Hull,2.3,3.4,3.1,https://www.radarfutebol.com/radar/hull-city-watford/12465066,12465066
ENGLAND 2,2025-04-08,15:45,Stoke,Luton,2.38,3.3,2.9,https://www.radarfutebol.com/radar/luton-town-stoke-city/12465133,12465133
ENGLAND 2,2025-04-08,15:45,Preston,Cardiff,2.2,3.5,3.1,https://www.radarfutebol.com/radar/cardiff-city-preston-north-end/12465058,12465058
ENGLAND 3,2025-04-08,15:45,Peterborough,Birmingham,4.33,4.1,1.67,https://www.radarfutebol.com/radar/peterborough-united-birmingham-city/13474776,13474776
ENGLAND 2,2025-04-08,15:45,Bristol City,West Brom,2.25,3.4,3.1,https://www.radarfutebol.com/radar/bristol-city-west-bromwich-albion/12465042,12465042
ENGLAND 5,2025-04-08,15:45,Sutton,Rochdale,2.63,3.4,2.4,https://www.radarfutebol.com/radar/sutton-united-rochdale/13437807,13437807
ENGLAND 3,2025-04-08,15:45,Exeter,Wigan,2.65,3.2,2.55,https://www.radarfutebol.com/radar/exeter-city-wigan-athletic/13399552,13399552
ENGLAND 2,2025-04-08,15:45,Blackburn,Sheffield Wed,2.63,3.25,2.63,https://www.radarfutebol.com/radar/blackburn-rovers-sheffield-wednesday/12465054,12465054
ENGLAND 2,2025-04-08,15:45,Bristol City,West Brom,2.25,3.4,3.1,https://www.radarfutebol.com/radar/bristol-city-west-bromwich-albion/12465042,12465042
ENGLAND 2,2025-04-08,15:45,Derby,Burnley,4.1,3.4,1.9,https://www.radarfutebol.com/radar/derby-county-burnley/12465055,12465055
ENGLAND 2,2025-04-08,15:45,Norwich,Sunderland,2.5,3.4,2.7,https://www.radarfutebol.com/radar/norwich-city-sunderland/12465130,12465130
ENGLAND 2,2025-04-08,15:45,Preston,Cardiff,2.2,3.5,3.1,https://www.radarfutebol.com/radar/cardiff-city-preston-north-end/12465058,12465058
ENGLAND 2,2025-04-08,15:45,Stoke,Luton,2.38,3.3,2.9,https://www.radarfutebol.com/radar/luton-town-stoke-city/12465133,12465133
ENGLAND 2,2025-04-08,15:45,Watford,Hull,2.3,3.4,3.1,https://www.radarfutebol.com/radar/hull-city-watford/12465066,12465066
ENGLAND 2,2025-04-08,15:45,Blackburn,Sheffield Wed,2.63,3.25,2.63,https://www.radarfutebol.com/radar/blackburn-rovers-sheffield-wednesday/12465054,12465054
ENGLAND 2,2025-04-08,15:45,Derby,Burnley,4.1,3.4,1.9,https://www.radarfutebol.com/radar/derby-county-burnley/12465055,12465055
ENGLAND 3,2025-04-08,15:45,Huddersfield,Wycombe,2.7,3.2,2.6,https://www.radarfutebol.com/radar/wycombe-wanderers-huddersfield-town/13608627,13608627
ENGLAND 3,2025-04-08,15:45,Peterborough,Birmingham,4.33,4.1,1.67,https://www.radarfutebol.com/radar/peterborough-united-birmingham-city/13474776,13474776
ENGLAND 3,2025-04-08,15:45,Shrewsbury,Reading,3.5,3.3,2.1,https://www.radarfutebol.com/radar/shrewsbury-town-reading/13610079,13610079
ENGLAND 4,2025-04-08,15:45,Chesterfield,Gillingham,1.73,3.6,4.5,https://www.radarfutebol.com/radar/chesterfield-gillingham/13399587,13399587
ENGLAND 5,2025-04-08,15:45,Oldham,Woking,1.83,3.3,4.33,https://www.radarfutebol.com/radar/woking-oldham-athletic/13644442,13644442
ENGLAND 2,2025-04-08,15:45,Norwich,Sunderland,2.5,3.4,2.7,https://www.radarfutebol.com/radar/norwich-city-sunderland/12465130,12465130
ENGLAND 3,2025-04-08,15:45,Bolton,Rotherham,1.71,3.8,4.2,https://www.radarfutebol.com/radar/rotherham-united-bolton-wanderers/13608624,13608624
ENGLAND 3,2025-04-08,15:45,Mansfield,Leyton Orient,2.4,3.4,2.75,https://www.radarfutebol.com/radar/leyton-orient-mansfield-town/13644989,13644989
ENGLAND 2,2025-04-08,16:00,Middlesbrough,Leeds,4.2,3.8,1.75,https://www.radarfutebol.com/radar/middlesbrough-leeds-united/12465044,12465044
ENGLAND 2,2025-04-08,16:00,Middlesbrough,Leeds,4.2,3.8,1.75,https://www.radarfutebol.com/radar/middlesbrough-leeds-united/12465044,12465044
EUROPA CHAMPIONS LEAGUE,2025-04-08,16:00,Arsenal,Real Madrid,2.38,3.25,3.1,https://www.radarfutebol.com/radar/real-madrid-arsenal/13513403,13513403
EUROPA CHAMPIONS LEAGUE,2025-04-08,16:00,Arsenal,Real Madrid,2.38,3.25,3.1,https://www.radarfutebol.com/radar/real-madrid-arsenal/13513403,13513403
COLOMBIA 2,2025-04-08,21:30,Real Cundinamarca,Tigres,1.65,3.45,5.1,https://www.radarfutebol.com/radar/real-cundinamarca-tigres-fc/13699236,13699236
COLOMBIA 2,2025-04-08,21:30,Real Cundinamarca,Tigres,1.65,3.45,5.1,https://www.radarfutebol.com/radar/real-cundinamarca-tigres-fc/13699236,13699236
