League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
BULGARIA 1,2025-04-07,09:00,Septemvri Sofia,Arda,4.2,3.5,1.85,https://www.radarfutebol.com/radar/arda-kardzhali-fk-septemvri-sofia/12421738,12421738
UKRAINE 1,2025-04-07,09:30,Kolos Kovalivka,Rukh Lviv,2.2,3.0,3.3,https://www.radarfutebol.com/radar/rukh-lviv-kolos-kovalivka/12484338,12484338
UKRAINE 1,2025-04-07,12:00,Polissya Zhytomyr,Karpaty Lviv,2.26,3.3,3.1,https://www.radarfutebol.com/radar/polissya-zhytomyr-karpaty-lviv/12484339,12484339
SERBIA 1,2025-04-07,13:00,TSC,Zeleznicar Pancevo,1.5,4.0,5.4,https://www.radarfutebol.com/radar/fk-zeleznicar-pancevo-fk-tsc-backa-topola/12420436,12420436
SERBIA 1,2025-04-07,13:00,Novi Pazar,Radnicki Nis,1.91,3.25,3.75,https://www.radarfutebol.com/radar/fk-radnicki-nis-fk-novi-pazar/12420302,12420302
SERBIA 1,2025-04-07,13:00,Mladost,Vojvodina,6.9,4.0,1.42,https://www.radarfutebol.com/radar/fk-mladost-lucani-fk-vojvodina/12420296,12420296
BULGARIA 1,2025-04-07,14:00,CSKA 1948 Sofia,Ludogorets,5.25,3.75,1.62,https://www.radarfutebol.com/radar/fc-cska-1948-sofia-ludogorets/12421732,12421732
POLAND 1,2025-04-07,14:00,Puszcza,Rakow,5.0,3.8,1.67,https://www.radarfutebol.com/radar/puszcza-niepolomice-rakow-czestochowa/12400527,12400527
TURKEY 1,2025-04-07,14:00,Kasimpasa,Besiktas,3.25,3.4,2.15,https://www.radarfutebol.com/radar/kasimpasa-besiktas/12530698,12530698
TURKEY 1,2025-04-07,14:00,Goztepe,Gaziantep,1.7,3.8,4.75,https://www.radarfutebol.com/radar/gaziantep-fk-goztepe/12530695,12530695
SWEDEN 2,2025-04-07,14:00,Brage,Falkenberg,1.91,3.5,3.6,https://www.radarfutebol.com/radar/falkenbergs-ff-ik-brage/13292476,13292476
SWEDEN 2,2025-04-07,14:00,Varberg,Orebro,2.3,3.5,2.8,https://www.radarfutebol.com/radar/varbergs-bois-orebro-sk/13292499,13292499
SWEDEN 1,2025-04-07,14:10,Malmo FF,Elfsborg,1.67,3.9,4.75,https://www.radarfutebol.com/radar/malmo-ff-if-elfsborg/13292376,13292376
PORTUGAL 1,2025-04-07,14:45,SC Farense,Casa Pia,2.63,3.0,2.9,https://www.radarfutebol.com/radar/casa-pia-sc-farense/12513703,12513703
ICELAND 1,2025-04-07,15:00,Vikingur Reykjavik,Vestmannaeyjar,1.29,5.6,8.0,https://www.radarfutebol.com/radar/vikingur-reykjavik-ibv-vestmannaeyjar/13305998,13305998
NETHERLANDS 2,2025-04-07,15:00,Jong AZ,Jong PSV,1.75,4.5,3.6,https://www.radarfutebol.com/radar/jong-psv-eindhoven-jong-az-alkmaar/13561406,13561406
ITALY 1,2025-04-07,15:45,Bologna,Napoli,2.9,2.9,2.63,https://www.radarfutebol.com/radar/napoli-bologna/12501553,12501553
FRANCE 2,2025-04-07,15:45,Dunkerque,Guingamp,2.45,3.25,2.9,https://www.radarfutebol.com/radar/usl-dunkerque-guingamp/12450732,12450732
SPAIN 1,2025-04-07,16:00,Leganes,Osasuna,2.7,3.1,2.75,https://www.radarfutebol.com/radar/leganes-osasuna/12437882,12437882
ENGLAND 1,2025-04-07,16:00,Leicester,Newcastle,7.0,4.1,1.5,https://www.radarfutebol.com/radar/newcastle-united-leicester-city/13560219,13560219
URUGUAY 1,2025-04-07,16:00,Wanderers,Defensor Sp.,3.5,3.3,2.0,https://www.radarfutebol.com/radar/montevideo-wanderers-defensor-sporting/13671489,13671489
PORTUGAL 1,2025-04-07,16:15,Rio Ave,Boavista,1.83,3.3,4.5,https://www.radarfutebol.com/radar/rio-ave-boavista/12513702,12513702
ICELAND 1,2025-04-07,16:15,Stjarnan,Hafnarfjordur,2.15,3.55,3.0,https://www.radarfutebol.com/radar/stjarnan-gardabaer-fh-hafnarfjordur/13305999,13305999
BRAZIL 2,2025-04-07,19:00,Atletico GO,Athletic Club,1.73,3.6,4.75,https://www.radarfutebol.com/radar/athletic-club-atletico-goianiense/13525848,13525848
ARGENTINA 2,2025-04-07,20:30,Patronato,All Boys,2.05,2.9,4.1,https://www.radarfutebol.com/radar/patronato-all-boys/13681642,13681642
ARGENTINA 1,2025-04-07,21:00,Tigre,Newells Old Boys,2.0,3.2,4.2,https://www.radarfutebol.com/radar/tigre-newells-old-boys/13292306,13292306
COLOMBIA 2,2025-04-07,21:00,Bogota,Jaguares de Cordoba,4.35,3.35,1.78,https://www.radarfutebol.com/radar/jaguares-de-cordoba-bogota-fc/13699050,13699050
