League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
BULGARIA 1,2025-04-01,10:15,Spartak Varna,Botev Vratsa,1.7,3.4,5.75,https://www.radarfutebol.com/radar/botev-vratsa-fk-spartak-varna/12421779,12421779
CYPRUS 1,2025-04-01,12:00,Apollon,Omonia,3.3,3.35,2.12,https://www.radarfutebol.com/radar/apollon-limassol-omonia-nicosia/13625885,13625885
CZECH 2,2025-04-01,12:00,Vlasim,Vyskov,2.3,3.4,2.7,https://www.radarfutebol.com/radar/fc-sellier-and-bellot-vlasim-mfk-vyskov/13696721,13696721
BULGARIA 1,2025-04-01,12:45,Slavia Sofia,Septemvri Sofia,1.67,3.8,4.75,https://www.radarfutebol.com/radar/fk-septemvri-sofia-slavia-sofia/12421783,12421783
SWEDEN 2,2025-04-01,14:00,Orebro,Vasteras SK,3.1,3.4,2.0,https://www.radarfutebol.com/radar/vasteras-sk-orebro-sk/13292458,13292458
NORWAY 2,2025-04-01,14:00,Raufoss,Moss,2.8,3.5,2.3,https://www.radarfutebol.com/radar/raufoss-moss-fk/13268455,13268455
SWITZERLAND 2,2025-04-01,14:30,Wil,Vaduz,1.98,3.5,3.45,https://www.radarfutebol.com/radar/fc-vaduz-fc-wil-1900/13258261,13258261
NETHERLANDS 1,2025-04-01,15:00,AZ Alkmaar,Waalwijk,1.3,5.75,8.0,https://www.radarfutebol.com/radar/rkc-waalwijk-az-alkmaar/13558868,13558868
SWITZERLAND 1,2025-04-01,15:30,Yverdon,Lugano,3.5,3.6,2.0,https://www.radarfutebol.com/radar/yverdon-sport-fc-fc-lugano/13260104,13260104
SWITZERLAND 1,2025-04-01,15:30,Servette,Young Boys,2.63,3.4,2.55,https://www.radarfutebol.com/radar/servette-fc-young-boys/13257809,13257809
ENGLAND 4,2025-04-01,15:45,Chesterfield,Carlisle,1.73,3.6,4.75,https://www.radarfutebol.com/radar/carlisle-united-chesterfield/12465103,12465103
ENGLAND 3,2025-04-01,15:45,Barnsley,Exeter,1.9,3.5,3.9,https://www.radarfutebol.com/radar/exeter-city-barnsley/12469306,12469306
ENGLAND 3,2025-04-01,15:45,Blackpool,Reading,1.75,3.75,4.33,https://www.radarfutebol.com/radar/blackpool-reading/12469304,12469304
ENGLAND 3,2025-04-01,15:45,Burton,Leyton Orient,2.7,3.2,2.55,https://www.radarfutebol.com/radar/burton-albion-leyton-orient/12469302,12469302
ENGLAND 3,2025-04-01,15:45,Crawley,Peterborough,2.88,3.5,2.25,https://www.radarfutebol.com/radar/crawley-town-peterborough-united/12469303,12469303
ENGLAND 4,2025-04-01,15:45,Crewe,Grimsby,2.75,3.25,2.55,https://www.radarfutebol.com/radar/crewe-alexandra-grimsby-town/12465101,12465101
ENGLAND 3,2025-04-01,15:45,Wycombe,Shrewsbury,1.33,4.75,8.5,https://www.radarfutebol.com/radar/shrewsbury-town-wycombe-wanderers/12469296,12469296
ENGLAND 3,2025-04-01,15:45,Northampton,Rotherham,2.6,3.25,2.6,https://www.radarfutebol.com/radar/northampton-town-rotherham-united/12469298,12469298
ENGLAND 3,2025-04-01,15:45,Stockport County,Stevenage,1.85,3.4,4.2,https://www.radarfutebol.com/radar/stevenage-stockport-county/12469299,12469299
ENGLAND 3,2025-04-01,15:45,Wigan,Bolton,3.0,3.1,2.38,https://www.radarfutebol.com/radar/wigan-athletic-bolton-wanderers/12469297,12469297
ENGLAND 4,2025-04-01,15:45,Barrow,Salford,2.3,3.2,3.1,https://www.radarfutebol.com/radar/salford-city-barrow/12465102,12465102
ENGLAND 4,2025-04-01,15:45,Accrington,Fleetwood,2.55,3.1,2.75,https://www.radarfutebol.com/radar/fleetwood-town-accrington-stanley/12465097,12465097
ENGLAND 3,2025-04-01,15:45,Lincoln,Huddersfield,2.35,3.2,3.0,https://www.radarfutebol.com/radar/lincoln-city-huddersfield-town/12469300,12469300
ENGLAND 3,2025-04-01,15:45,Mansfield,Charlton,3.25,3.3,2.15,https://www.radarfutebol.com/radar/mansfield-town-charlton-athletic/12469301,12469301
ENGLAND 1,2025-04-01,15:45,Arsenal,Fulham,1.48,4.33,7.0,https://www.radarfutebol.com/radar/fulham-arsenal/12436580,12436580
NORTHERN IRELAND 2,2025-04-01,15:45,Linfield,Crusaders,1.42,4.4,6.7,https://www.radarfutebol.com/radar/linfield-fc-crusaders-fc/13671685,13671685
NORTHERN IRELAND 2,2025-04-01,15:45,Ballymena,Loughgall,1.47,4.25,6.1,https://www.radarfutebol.com/radar/loughgall-ballymena-united/13671703,13671703
