League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
BULGARIA 1,2025-03-03,12:30,Ludogorets,Septemvri Sofia,1.14,7.5,19.0,https://www.radarfutebol.com/radar/fk-septemvri-sofia-ludogorets/12421761,12421761
DENMARK 1,2025-03-03,15:00,Brondby,Lyngby,1.36,5.0,7.5,https://www.radarfutebol.com/radar/lyngby-brondby-if/12407868,12407868
EGYPT 1,2025-03-03,16:00,Al Masry,Modern Sport,2.05,2.7,4.6,https://www.radarfutebol.com/radar/modern-sport-fc-al-masry/13012873,13012873
NETHERLANDS 2,2025-03-03,16:00,Jong AZ,Telstar,3.0,3.9,2.1,https://www.radarfutebol.com/radar/jong-az-alkmaar-sc-telstar/12441870,12441870
IRELAND 1,2025-03-03,16:45,Waterford,Cork City,2.3,3.1,3.0,https://www.radarfutebol.com/radar/cork-city-waterford-fc/13250701,13250701
ITALY 1,2025-03-03,16:45,Juventus,Verona,1.33,4.75,11.0,https://www.radarfutebol.com/radar/hellas-verona-juventus/12501590,12501590
IRELAND 1,2025-03-03,16:45,St. Patricks,Derry City,2.38,3.4,3.0,https://www.radarfutebol.com/radar/derry-city-st-patricks-athletic/13250700,13250700
IRELAND 1,2025-03-03,16:45,Sligo Rovers,Shamrock Rovers,4.2,4.33,1.7,https://www.radarfutebol.com/radar/sligo-rovers-shamrock-rovers/13250699,13250699
IRELAND 1,2025-03-03,16:45,Galway,Shelbourne,2.45,2.9,3.3,https://www.radarfutebol.com/radar/galway-united-shelbourne/13250698,13250698
ARGENTINA 1,2025-03-03,17:00,Barracas Central,Godoy Cruz,2.5,2.9,3.2,https://www.radarfutebol.com/radar/barracas-central-godoy-cruz/13292220,13292220
SPAIN 1,2025-03-03,17:00,Villarreal,Espanyol,1.38,4.75,7.5,https://www.radarfutebol.com/radar/villarreal-espanyol/12437873,12437873
ARGENTINA 1,2025-03-03,19:00,San Lorenzo,Racing Club,2.63,3.1,2.88,https://www.radarfutebol.com/radar/racing-club-san-lorenzo/13292236,13292236
ECUADOR 1,2025-03-03,21:00,Manta,Delfin,2.75,3.0,2.63,https://www.radarfutebol.com/radar/delfin-manta-fc/13378579,13378579
