League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
SERBIA 1,2025-03-12,10:00,OFK Beograd,Zeleznicar Pancevo,1.98,3.35,3.35,https://www.radarfutebol.com/radar/fk-zeleznicar-pancevo-ofk-beograd/13544510,13544510
EUROPA CHAMPIONS LEAGUE,2025-03-12,14:45,Lille,Dortmund,2.6,3.5,2.6,https://www.radarfutebol.com/radar/borussia-dortmund-lille/13511922,13511922
EUROPA CHAMPIONS LEAGUE,2025-03-12,14:45,Lille,Dortmund,2.6,3.5,2.6,https://www.radarfutebol.com/radar/borussia-dortmund-lille/13511922,13511922
GERMANY 3,2025-03-12,15:00,Mannheim,Sandhausen,2.0,3.6,3.3,https://www.radarfutebol.com/radar/sv-sandhausen-sv-waldhof-mannheim/12523313,12523313
GERMANY 3,2025-03-12,15:00,SG Dynamo Dresden,Dortmund II,1.44,4.75,5.5,https://www.radarfutebol.com/radar/sg-dynamo-dresden-borussia-dortmund-ii-u23/12523315,12523315
GERMANY 3,2025-03-12,15:00,Hansa Rostock,Aue,1.95,3.1,4.0,https://www.radarfutebol.com/radar/erzgebirge-aue-fc-hansa-rostock/12523311,12523311
GERMANY 3,2025-03-12,15:00,Hansa Rostock,Aue,1.95,3.1,4.0,https://www.radarfutebol.com/radar/erzgebirge-aue-fc-hansa-rostock/12523311,12523311
GERMANY 3,2025-03-12,15:00,SG Dynamo Dresden,Dortmund II,1.44,4.75,5.5,https://www.radarfutebol.com/radar/sg-dynamo-dresden-borussia-dortmund-ii-u23/12523315,12523315
GERMANY 3,2025-03-12,15:00,Mannheim,Sandhausen,2.0,3.6,3.3,https://www.radarfutebol.com/radar/sv-sandhausen-sv-waldhof-mannheim/12523313,12523313
ENGLAND 2,2025-03-12,16:45,Watford,Swansea,2.3,3.25,3.1,https://www.radarfutebol.com/radar/swansea-city-watford/12468382,12468382
ENGLAND 2,2025-03-12,16:45,Leeds,Millwall,1.29,5.25,10.0,https://www.radarfutebol.com/radar/leeds-united-millwall/12468385,12468385
ENGLAND 2,2025-03-12,16:45,Portsmouth,Plymouth,1.67,3.7,5.0,https://www.radarfutebol.com/radar/plymouth-argyle-portsmouth/12468386,12468386
NORTHERN IRELAND 2,2025-03-12,16:45,Cliftonville,Dungannon,1.93,3.55,3.6,https://www.radarfutebol.com/radar/dungannon-swifts-cliftonville-fc/13421115,13421115
ENGLAND 2,2025-03-12,16:45,Leeds,Millwall,1.29,5.25,10.0,https://www.radarfutebol.com/radar/leeds-united-millwall/12468385,12468385
NORTHERN IRELAND 2,2025-03-12,16:45,Glentoran,Glenavon,1.78,3.65,4.05,https://www.radarfutebol.com/radar/glenavon-glentoran-fc/13443657,13443657
NORTHERN IRELAND 2,2025-03-12,16:45,Cliftonville,Dungannon,1.93,3.55,3.6,https://www.radarfutebol.com/radar/dungannon-swifts-cliftonville-fc/13421115,13421115
ENGLAND 2,2025-03-12,16:45,Watford,Swansea,2.3,3.25,3.1,https://www.radarfutebol.com/radar/swansea-city-watford/12468382,12468382
ENGLAND 2,2025-03-12,16:45,Portsmouth,Plymouth,1.67,3.7,5.0,https://www.radarfutebol.com/radar/plymouth-argyle-portsmouth/12468386,12468386
NORTHERN IRELAND 2,2025-03-12,16:45,Glentoran,Glenavon,1.78,3.65,4.05,https://www.radarfutebol.com/radar/glenavon-glentoran-fc/13443657,13443657
EUROPA CHAMPIONS LEAGUE,2025-03-12,17:00,Arsenal,PSV,1.4,5.0,7.0,https://www.radarfutebol.com/radar/psv-eindhoven-arsenal/13511928,13511928
EUROPA CHAMPIONS LEAGUE,2025-03-12,17:00,Aston Villa,Club Brugge KV,1.6,4.2,5.25,https://www.radarfutebol.com/radar/club-brugge-kv-aston-villa/13511920,13511920
ENGLAND 2,2025-03-12,17:00,Stoke,Blackburn,2.6,3.3,2.7,https://www.radarfutebol.com/radar/blackburn-rovers-stoke-city/12468388,12468388
EUROPA CHAMPIONS LEAGUE,2025-03-12,17:00,Arsenal,PSV,1.4,5.0,7.0,https://www.radarfutebol.com/radar/psv-eindhoven-arsenal/13511928,13511928
ENGLAND 2,2025-03-12,17:00,Stoke,Blackburn,2.6,3.3,2.7,https://www.radarfutebol.com/radar/blackburn-rovers-stoke-city/12468388,12468388
EUROPA CHAMPIONS LEAGUE,2025-03-12,17:00,Aston Villa,Club Brugge KV,1.6,4.2,5.25,https://www.radarfutebol.com/radar/club-brugge-kv-aston-villa/13511920,13511920
