Data,Hora,Home,Away,Jogo,Link,ID
2025-01-22,12:30,Beşiktaş,Athletic Club,Beşiktaş x Athletic Club,https://www.radarfutebol.com/radar/besiktas-athletic-club/12764318,12764318
2025-01-22,14:45,RB Leipzig,Sporting,RB Leipzig x Sporting,https://www.radarfutebol.com/radar/rb-leipzig-sporting/12764428,12764428
2025-01-22,14:45,Shakhtar Donetsk,Stade Brestois,Shakhtar Donetsk x Stade Brestois,https://www.radarfutebol.com/radar/shakhtar-donetsk-stade-brestois/12764466,12764466
2025-01-22,16:45,Portsmouth,Stoke City,Portsmouth x Stoke City,https://www.radarfutebol.com/radar/stoke-city-portsmouth/12468490,12468490
2025-01-22,16:45,Sheffield Wednesday,Bristol City,Sheffield Wednesday x Bristol City,https://www.radarfutebol.com/radar/bristol-city-sheffield-wednesday/12468491,12468491
2025-01-22,16:45,Leeds United,Norwich City,Leeds United x Norwich City,https://www.radarfutebol.com/radar/norwich-city-leeds-united/12468495,12468495
2025-01-22,17:00,Milan,Girona FC,Milan x Girona FC,https://www.radarfutebol.com/radar/girona-fc-milan/12763938,12763938
2025-01-22,17:00,Arsenal,GNK Dinamo Zagreb,Arsenal x GNK Dinamo Zagreb,https://www.radarfutebol.com/radar/gnk-dinamo-zagreb-arsenal/12763942,12763942
2025-01-22,17:00,Celtic,Young Boys,Celtic x Young Boys,https://www.radarfutebol.com/radar/young-boys-celtic/12764178,12764178
2025-01-22,17:00,Feyenoord,FC Bayern München,Feyenoord x FC Bayern München,https://www.radarfutebol.com/radar/feyenoord-fc-bayern-munchen/12764233,12764233
2025-01-22,17:00,Paris Saint-Germain,Manchester City,Paris Saint-Germain x Manchester City,https://www.radarfutebol.com/radar/paris-saint-germain-manchester-city/12764388,12764388
2025-01-22,17:00,Real Madrid,Red Bull Salzburg,Real Madrid x Red Bull Salzburg,https://www.radarfutebol.com/radar/real-madrid-red-bull-salzburg/12764439,12764439
2025-01-22,17:00,AC Sparta Praha,Inter,AC Sparta Praha x Inter,https://www.radarfutebol.com/radar/inter-ac-sparta-praha/12764485,12764485
2025-01-22,17:00,Plymouth Argyle,Burnley,Plymouth Argyle x Burnley,https://www.radarfutebol.com/radar/plymouth-argyle-burnley/12468489,12468489
2025-01-22,21:10,Boca Juniors,CD Argentino Monte Maiz,Boca Juniors x CD Argentino Monte Maiz,https://www.radarfutebol.com/radar/cd-argentino-monte-maiz-boca-juniors/13317665,13317665
