League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-27,10:00,US Tataouine,EGS Gafsa,1.9,3.2,4.15,https://www.radarfutebol.com/radar/us-tataouine-egs-gafsa/13506677,13506677
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-27,10:00,Stade Tunisien,Ben Guerdane,1.5,3.5,8.0,https://www.radarfutebol.com/radar/us-ben-guerdane-stade-tunisien/13506684,13506684
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-27,10:00,Monastir,Club Africain,2.1,2.75,4.15,https://www.radarfutebol.com/radar/us-monastir-club-africain/13506680,13506680
INDIA - ISL,2025-02-27,11:00,Punjab,Goa,2.7,3.4,2.3,https://www.radarfutebol.com/radar/punjab-fc-fc-goa/13077901,13077901
EGYPT - PREMIER LEAGUE,2025-02-27,11:00,Smouha,Al Masry,3.05,2.65,2.67,https://www.radarfutebol.com/radar/smouha-al-masry/13012787,13012787
SERBIA - SUPER LIGA,2025-02-27,13:00,Napredak,Tekstilac Odzaci,1.83,3.25,4.05,https://www.radarfutebol.com/radar/fk-tekstilac-odzaci-fk-napredak-krusevac/12420336,12420336
ROMANIA - LIGA 2,2025-02-27,14:00,Ceahlaul,Steaua Bucuresti,3.55,3.0,2.15,https://www.radarfutebol.com/radar/steaua-bucuresti-csm-ceahlaul-piatra-neamt/12618872,12618872
EGYPT - PREMIER LEAGUE,2025-02-27,14:00,Zamalek,ZED,1.93,3.0,4.35,https://www.radarfutebol.com/radar/zed-fc-zamalek-sc/13012879,13012879
SERBIA - SUPER LIGA,2025-02-27,14:30,Radnicki 1923,Novi Pazar,1.72,3.75,4.0,https://www.radarfutebol.com/radar/fk-radnicki-1923-fk-novi-pazar/12420335,12420335
SERBIA - SUPER LIGA,2025-02-27,15:00,TSC,Cukaricki,2.02,3.35,3.25,https://www.radarfutebol.com/radar/fk-tsc-backa-topola-fk-cukaricki/12420333,12420333
SERBIA - SUPER LIGA,2025-02-27,15:00,TSC,Cukaricki,2.3,3.2,2.85,https://www.radarfutebol.com/radar/fk-tsc-backa-topola-fk-cukaricki/12420333,12420333
ENGLAND - PREMIER LEAGUE,2025-02-27,17:00,West Ham,Leicester,1.62,4.2,5.0,https://www.radarfutebol.com/radar/west-ham-united-leicester-city/13365051,13365051
ENGLAND - LEAGUE TWO,2025-02-27,17:00,Barrow,Carlisle,2.0,3.4,3.6,https://www.radarfutebol.com/radar/barrow-carlisle-united/12467972,12467972
ENGLAND - LEAGUE TWO,2025-02-27,17:00,Barrow,Carlisle,2.15,3.3,3.25,https://www.radarfutebol.com/radar/barrow-carlisle-united/12467972,12467972
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,19:00,Ceilandia,Coritiba,5.5,3.3,1.73,https://www.radarfutebol.com/radar/ceilandia-coritiba/13458032,13458032
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,19:00,Sousa,Bragantino,5.25,3.6,1.67,https://www.radarfutebol.com/radar/sousa-ec-red-bull-bragantino/13458069,13458069
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,19:00,Sousa,Bragantino,4.75,3.6,1.75,https://www.radarfutebol.com/radar/sousa-ec-red-bull-bragantino/13458069,13458069
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,19:00,Ceilandia,Coritiba,4.1,3.2,1.9,https://www.radarfutebol.com/radar/ceilandia-coritiba/13458032,13458032
ARGENTINA - COPA ARGENTINA,2025-02-27,19:10,Godoy Cruz,Excursionistas,1.35,4.15,9.25,https://www.radarfutebol.com/radar/excursionistas-godoy-cruz/13350372,13350372
ARGENTINA - COPA ARGENTINA,2025-02-27,19:10,Godoy Cruz,Excursionistas,1.45,3.8,7.1,https://www.radarfutebol.com/radar/excursionistas-godoy-cruz/13350372,13350372
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,20:00,Rio Branco ES,Novorizontino,5.0,4.0,1.57,https://www.radarfutebol.com/radar/novorizontino-rio-branco-es/13458037,13458037
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,20:00,Rio Branco ES,Novorizontino,7.0,4.0,1.5,https://www.radarfutebol.com/radar/novorizontino-rio-branco-es/13458037,13458037
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,21:00,Portuguesa,Botafogo PB,1.95,3.25,4.2,https://www.radarfutebol.com/radar/botafogo-pb-portuguesa/13458035,13458035
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,21:00,Portuguesa,Botafogo PB,2.15,3.2,3.3,https://www.radarfutebol.com/radar/botafogo-pb-portuguesa/13458035,13458035
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,21:30,Inter de Limeira,Vila Nova FC,2.88,3.25,2.35,https://www.radarfutebol.com/radar/inter-de-limeira-vila-nova-fc/13458070,13458070
BRAZIL - COPA BETANO DO BRASIL,2025-02-27,21:30,Inter de Limeira,Vila Nova FC,3.1,3.0,2.45,https://www.radarfutebol.com/radar/inter-de-limeira-vila-nova-fc/13458070,13458070
