League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
INDIA - I-LEAGUE,2025-02-17,10:30,Gokulam,Delhi FC,1.47,4.35,5.7,https://www.radarfutebol.com/radar/delhi-fc-gokulam-kerala-fc/13052779,13052779
SERBIA - SUPER LIGA,2025-02-17,11:00,Cukaricki,Novi Pazar,1.65,3.5,4.7,https://www.radarfutebol.com/radar/fk-novi-pazar-fk-cukaricki/12420355,12420355
EGYPT - PREMIER LEAGUE,2025-02-17,11:00,Ceramica Cleopatra,Enppi,1.62,3.35,6.1,https://www.radarfutebol.com/radar/ceramica-cleopatra-enppi/13012815,13012815
BULGARIA - PARVA LIGA,2025-02-17,12:30,Slavia Sofia,CSKA 1948 Sofia,2.05,3.4,3.6,https://www.radarfutebol.com/radar/fc-cska-1948-sofia-slavia-sofia/12421807,12421807
SERBIA - SUPER LIGA,2025-02-17,13:00,Zeleznicar Pancevo,Vojvodina,4.55,3.0,1.82,https://www.radarfutebol.com/radar/fk-zeleznicar-pancevo-fk-vojvodina/12420356,12420356
TURKEY - SUPER LIG,2025-02-17,14:00,Rizespor,Galatasaray,4.0,4.2,1.73,https://www.radarfutebol.com/radar/caykur-rizespor-galatasaray/12530751,12530751
EGYPT - PREMIER LEAGUE,2025-02-17,14:00,Modern Sport,Pyramids,5.8,3.4,1.62,https://www.radarfutebol.com/radar/modern-sport-fc-pyramids-fc/13015494,13015494
EGYPT - PREMIER LEAGUE,2025-02-17,14:00,Al Ittihad,El Gouna,2.2,2.57,4.2,https://www.radarfutebol.com/radar/el-gouna-fc-al-ittihad-alexandria/13012816,13012816
POLAND - EKSTRAKLASA,2025-02-17,15:00,Zaglebie,Lechia Gdansk,1.95,3.5,3.75,https://www.radarfutebol.com/radar/ks-lechia-gdansk-zaglebie-lubin/12402225,12402225
POLAND - DIVISION 1,2025-02-17,15:00,Pogon Siedlce,Ruch Chorzow,4.33,3.8,1.75,https://www.radarfutebol.com/radar/pogon-siedlce-ruch-chorzow/12448920,12448920
PORTUGAL - LIGA PORTUGAL 2,2025-02-17,15:00,Leiria,Academico Viseu,2.0,3.5,3.25,https://www.radarfutebol.com/radar/academico-viseu-fc-uniao-leiria/12518329,12518329
ROMANIA - SUPERLIGA,2025-02-17,15:00,FC Rapid Bucuresti,FC Botosani,1.6,3.8,5.5,https://www.radarfutebol.com/radar/fc-rapid-bucuresti-fc-botosani/12487715,12487715
NETHERLANDS - EERSTE DIVISIE,2025-02-17,16:00,Jong AZ,Jong PSV,1.55,4.75,4.75,https://www.radarfutebol.com/radar/jong-psv-eindhoven-jong-az-alkmaar/12444909,12444909
SPAIN - LALIGA2,2025-02-17,16:30,Almeria,Elche,2.0,3.4,3.5,https://www.radarfutebol.com/radar/almeria-elche/12467499,12467499
ITALY - SERIE A,2025-02-17,16:45,Genoa,Venezia,1.91,3.4,4.33,https://www.radarfutebol.com/radar/genoa-venezia/12504386,12504386
FRANCE - LIGUE 2,2025-02-17,16:45,Annecy,Caen,2.25,3.25,3.1,https://www.radarfutebol.com/radar/annecy-fc-caen/13318533,13318533
ENGLAND - CHAMPIONSHIP,2025-02-17,17:00,Leeds,Sunderland,1.55,4.0,5.75,https://www.radarfutebol.com/radar/sunderland-leeds-united/13116015,13116015
SPAIN - LALIGA,2025-02-17,17:00,Barcelona,Rayo Vallecano,1.18,7.5,12.0,https://www.radarfutebol.com/radar/rayo-vallecano-barcelona/12437806,12437806
PORTUGAL - LIGA PORTUGAL,2025-02-17,17:15,Gil Vicente,Famalicao,2.45,3.0,3.1,https://www.radarfutebol.com/radar/famalicao-gil-vicente/12513722,12513722
ARGENTINA - TORNEO BETANO,2025-02-17,19:15,Platense,Independiente,3.4,2.75,2.55,https://www.radarfutebol.com/radar/platense-ca-independiente/13292341,13292341
BRAZIL - PAULISTA,2025-02-17,20:00,Novorizontino,Mirassol,2.25,3.1,3.3,https://www.radarfutebol.com/radar/novorizontino-mirassol/13193959,13193959
VENEZUELA - LIGA FUTVE,2025-02-17,20:00,Anzoategui FC,Metropolitanos,2.62,3.0,2.67,https://www.radarfutebol.com/radar/anzoategui-fc-metropolitanos/13389247,13389247
ECUADOR - LIGA PRO,2025-02-17,21:00,Mushuc Runa,Delfin,1.6,4.0,5.0,https://www.radarfutebol.com/radar/delfin-mushuc-runa/13378562,13378562
ARGENTINA - TORNEO BETANO,2025-02-17,21:30,Velez Sarsfield,Godoy Cruz,1.75,3.5,5.0,https://www.radarfutebol.com/radar/godoy-cruz-velez-sarsfield/13292340,13292340
ARGENTINA - TORNEO BETANO,2025-02-17,21:30,Instituto,San Lorenzo,2.15,3.1,3.7,https://www.radarfutebol.com/radar/instituto-de-cordoba-san-lorenzo/13292342,13292342
COLOMBIA - PRIMERA A,2025-02-17,22:10,Fortaleza,Aguilas,2.4,3.0,3.2,https://www.radarfutebol.com/radar/fortaleza-ceif-rionegro-aguilas-doradas/13368961,13368961
