League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
UKRAINE 1,2025-03-06,08:00,Vorskla Poltava,Karpaty Lviv,3.2,2.85,2.27,https://www.radarfutebol.com/radar/karpaty-lviv-vorskla-poltava/12484369,12484369
UKRAINE 1,2025-03-06,13:00,Shakhtar Donetsk,Kryvbas,1.3,4.8,8.4,https://www.radarfutebol.com/radar/fc-kryvbas-kryvyi-rih-shakhtar-donetsk/12484361,12484361
TURKEY 2,2025-03-06,14:30,Umraniyespor,Kocaelispor,0.0,0.0,0.0,https://www.radarfutebol.com/radar/umraniyespor-kocaelispor/12596433,12596433
EUROPA CONFERENCE LEAGUE,2025-03-06,14:45,Panathinaikos,Fiorentina,3.1,3.0,2.45,https://www.radarfutebol.com/radar/panathinaikos-fiorentina/13512825,13512825
EUROPA LEAGUE,2025-03-06,14:45,AZ Alkmaar,Tottenham,3.4,3.6,2.05,https://www.radarfutebol.com/radar/az-alkmaar-tottenham-hotspur/13512411,13512411
EUROPA LEAGUE,2025-03-06,14:45,Fenerbahce,Rangers,1.65,4.0,5.0,https://www.radarfutebol.com/radar/fenerbahce-rangers/13512398,13512398
EUROPA LEAGUE,2025-03-06,14:45,FCSB,Lyon,4.2,3.6,1.85,https://www.radarfutebol.com/radar/fcsb-olympique-lyonnais/13512406,13512406
EUROPA CONFERENCE LEAGUE,2025-03-06,14:45,Molde,Legia,2.1,3.25,3.5,https://www.radarfutebol.com/radar/legia-warszawa-molde-fk/13512809,13512809
SAUDI ARABIA 1,2025-03-06,16:00,Al Kholood,Al Fateh,2.5,3.4,2.5,https://www.radarfutebol.com/radar/al-kholood-al-fateh/12624426,12624426
EUROPA LEAGUE,2025-03-06,17:00,Ajax,Eintracht Frankfurt,2.45,3.75,2.63,https://www.radarfutebol.com/radar/afc-ajax-eintracht-frankfurt/13512402,13512402
EUROPA LEAGUE,2025-03-06,17:00,Plzen,Lazio,3.9,3.8,1.85,https://www.radarfutebol.com/radar/viktoria-plzen-lazio/13512419,13512419
EUROPA CONFERENCE LEAGUE,2025-03-06,17:00,Celje,Lugano,2.7,3.4,2.55,https://www.radarfutebol.com/radar/fc-lugano-nk-celje/13512817,13512817
SAUDI ARABIA 1,2025-03-06,17:00,Al Wehda,Al Raed,2.05,3.3,3.25,https://www.radarfutebol.com/radar/al-raed-al-wehda/12624430,12624430
EUROPA CONFERENCE LEAGUE,2025-03-06,17:00,Pafos,Djurgarden,1.9,3.5,4.0,https://www.radarfutebol.com/radar/pafos-fc-djurgardens-if/13512820,13512820
EUROPA CONFERENCE LEAGUE,2025-03-06,17:00,Borac Banja Luka,SK Rapid,3.4,3.2,2.15,https://www.radarfutebol.com/radar/fk-borac-banja-luka-sk-rapid-wien/13512828,13512828
