League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
ASIA - WORLD CHAMPIONSHIP,2025-03-25,07:35,Japan,Saudi Arabia,1.38,4.33,6.25,https://www.radarfutebol.com/radar/saudi-arabia-japan/12475940,12475940
ASIA - WORLD CHAMPIONSHIP,2025-03-25,08:00,South Korea,Jordan,1.5,3.8,5.5,https://www.radarfutebol.com/radar/jordan-south-korea/12475953,12475953
ASIA - WORLD CHAMPIONSHIP,2025-03-25,08:00,North Korea,United Arab Emirates,4.33,3.4,1.7,https://www.radarfutebol.com/radar/north-korea-united-arab-emirates/12475973,12475973
ASIA - WORLD CHAMPIONSHIP,2025-03-25,08:00,China,Australia,5.75,4.2,1.42,https://www.radarfutebol.com/radar/china-australia/12475923,12475923
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,10:00,Botswana,Somalia,1.29,5.0,9.0,https://www.radarfutebol.com/radar/somalia-botswana/12183341,12183341
ASIA - WORLD CHAMPIONSHIP,2025-03-25,10:45,Kyrgyzstan,Qatar,4.33,3.5,1.65,https://www.radarfutebol.com/radar/kyrgyzstan-qatar/12475970,12475970
ASIA - WORLD CHAMPIONSHIP,2025-03-25,10:45,Indonesia,Bahrain,2.1,3.2,3.1,https://www.radarfutebol.com/radar/bahrain-indonesia/12475939,12475939
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Rwanda,Lesotho,1.5,3.25,8.5,https://www.radarfutebol.com/radar/rwanda-lesotho/12183444,12183444
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Uganda,Guinea,3.0,2.88,2.55,https://www.radarfutebol.com/radar/guinea-uganda/12183343,12183343
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Nigeria,Zimbabwe,1.25,4.75,12.0,https://www.radarfutebol.com/radar/nigeria-zimbabwe/12183484,12183484
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Angola,Cape Verde,1.83,3.0,4.75,https://www.radarfutebol.com/radar/cape-verde-angola/12183435,12183435
ASIA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Iran,Uzbekistan,1.8,3.1,4.2,https://www.radarfutebol.com/radar/iran-uzbekistan/12475974,12475974
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,13:00,Benin,South Africa,3.6,2.8,2.1,https://www.radarfutebol.com/radar/benin-south-africa/12183447,12183447
ASIA - WORLD CHAMPIONSHIP,2025-03-25,15:15,Palestine,Iraq,4.75,3.1,1.73,https://www.radarfutebol.com/radar/palestine-iraq/12475007,12475007
ASIA - WORLD CHAMPIONSHIP,2025-03-25,15:15,Kuwait,Oman,3.3,3.0,2.1,https://www.radarfutebol.com/radar/kuwait-oman/12475025,12475025
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,16:00,Egypt,Sierra Leone,1.18,7.0,15.0,https://www.radarfutebol.com/radar/egypt-sierra-leone/12183509,12183509
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,16:00,Sudan,South Sudan,1.38,3.9,9.5,https://www.radarfutebol.com/radar/south-sudan-sudan/12183474,12183474
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,16:00,Cameroon,Libya,1.33,5.0,9.0,https://www.radarfutebol.com/radar/libya-cameroon/12183434,12183434
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,16:00,Burundi,Seychelles,1.06,11.0,34.0,https://www.radarfutebol.com/radar/seychelles-burundi/12183352,12183352
ENGLAND 4,2025-03-25,16:30,Port Vale,Barrow,1.91,3.25,4.2,https://www.radarfutebol.com/radar/barrow-port-vale/13432822,13432822
SCOTLAND 2,2025-03-25,16:45,Morton,Raith,2.6,3.1,2.8,https://www.radarfutebol.com/radar/greenock-morton-raith-rovers/13391275,13391275
SCOTLAND 2,2025-03-25,16:45,Livingston,Falkirk,3.2,3.3,2.2,https://www.radarfutebol.com/radar/falkirk-fc-livingston/12476815,12476815
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-25,17:00,Bolivia,Uruguay,2.2,3.25,3.3,https://www.radarfutebol.com/radar/bolivia-uruguay/13129494,13129494
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,18:00,Senegal,Togo,1.3,4.2,13.0,https://www.radarfutebol.com/radar/togo-senegal/12183477,12183477
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,18:00,Algeria,Mozambique,1.36,3.9,11.0,https://www.radarfutebol.com/radar/mozambique-algeria/12183339,12183339
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,18:00,Comoros,Chad,1.25,5.5,10.0,https://www.radarfutebol.com/radar/comoros-chad/12183319,12183319
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,18:00,Mauritania,D.R. Congo,3.2,2.8,2.4,https://www.radarfutebol.com/radar/dr-congo-mauritania/12183471,12183471
AFRICA - WORLD CHAMPIONSHIP,2025-03-25,18:30,Morocco,Tanzania,1.13,7.0,19.0,https://www.radarfutebol.com/radar/tanzania-morocco/12183367,12183367
URUGUAY 1,2025-03-25,20:00,Cerro Largo,Montevideo City,2.5,3.25,2.7,https://www.radarfutebol.com/radar/montevideo-city-torque-cerro-largo/13646806,13646806
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-25,21:00,Argentina,Brazil,2.2,3.25,3.3,https://www.radarfutebol.com/radar/argentina-brazil/13129495,13129495
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-25,21:00,Chile,Ecuador,2.45,3.1,2.9,https://www.radarfutebol.com/radar/ecuador-chile/13129496,13129496
SOUTH AMERICA - WORLD CHAMPIONSHIP,2025-03-25,21:00,Colombia,Paraguay,1.55,3.75,6.5,https://www.radarfutebol.com/radar/colombia-paraguay/13129492,13129492
