League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
INDIA - I-LEAGUE,2025-02-18,07:30,SC Bengaluru,Inter Kashi,3.55,3.45,1.93,https://www.radarfutebol.com/radar/inter-kashi-fc-sc-bengaluru/13052782,13052782
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-18,10:00,Metlaoui,CA Bizertin,1.98,2.8,4.65,https://www.radarfutebol.com/radar/es-metlaoui-ca-bizertin/13461956,13461956
TUNISIA - LIGUE PROFESSIONNELLE 1,2025-02-18,10:00,Olympique Beja,EGS Gafsa,1.87,3.05,4.55,https://www.radarfutebol.com/radar/olympique-beja-egs-gafsa/13461955,13461955
EGYPT - PREMIER LEAGUE,2025-02-18,11:00,El Gaish,ZED,2.8,2.5,3.1,https://www.radarfutebol.com/radar/zed-fc-talaea-el-gaish/13012820,13012820
NORTHERN IRELAND - NIFL PREMIERSHIP,2025-02-18,16:45,Ballymena,Glentoran,3.85,3.45,1.88,https://www.radarfutebol.com/radar/ballymena-united-glentoran-fc/13444150,13444150
ENGLAND - LEAGUE TWO,2025-02-18,16:45,Morecambe,Doncaster,3.75,3.6,1.9,https://www.radarfutebol.com/radar/doncaster-rovers-morecambe/13327469,13327469
NORTHERN IRELAND - NIFL PREMIERSHIP,2025-02-18,16:45,Larne,Glenavon,1.7,3.7,4.55,https://www.radarfutebol.com/radar/larne-fc-glenavon/13348620,13348620
ENGLAND - LEAGUE TWO,2025-02-18,16:45,Notts Co,Colchester,1.85,3.6,3.8,https://www.radarfutebol.com/radar/colchester-united-notts-county/13415290,13415290
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Wrexham,Leyton Orient,2.15,3.3,3.2,https://www.radarfutebol.com/radar/leyton-orient-wrexham/13466264,13466264
ENGLAND - LEAGUE TWO,2025-02-18,16:45,Fleetwood,AFC Wimbledon,3.0,3.1,2.35,https://www.radarfutebol.com/radar/fleetwood-town-afc-wimbledon/13391273,13391273
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Wycombe,Bristol Rovers,1.35,4.5,8.0,https://www.radarfutebol.com/radar/bristol-rovers-wycombe-wanderers/13391271,13391271
SCOTLAND - CHAMPIONSHIP,2025-02-18,16:45,Morton,Hamilton,2.25,3.25,3.0,https://www.radarfutebol.com/radar/hamilton-academical-greenock-morton/13317248,13317248
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Stevenage,Burton,1.76,3.4,4.5,https://www.radarfutebol.com/radar/burton-albion-stevenage/13442901,13442901
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Shrewsbury,Huddersfield,3.9,3.5,1.9,https://www.radarfutebol.com/radar/shrewsbury-town-huddersfield-town/13415296,13415296
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Mansfield,Lincoln,2.38,3.4,2.8,https://www.radarfutebol.com/radar/lincoln-city-mansfield-town/13362648,13362648
ENGLAND - LEAGUE ONE,2025-02-18,16:45,Crawley,Wigan,2.55,3.3,2.63,https://www.radarfutebol.com/radar/crawley-town-wigan-athletic/13316164,13316164
ENGLAND - CHAMPIONSHIP,2025-02-18,16:45,Preston,Millwall,2.3,3.1,3.3,https://www.radarfutebol.com/radar/millwall-preston-north-end/13364107,13364107
EUROPE - CHAMPIONS LEAGUE,2025-02-18,17:00,Atalanta,Club Brugge KV,1.5,4.5,6.0,https://www.radarfutebol.com/radar/club-brugge-kv-atalanta/13412191,13412191
EUROPE - CHAMPIONS LEAGUE,2025-02-18,17:00,Benfica,Monaco,1.85,4.0,3.75,https://www.radarfutebol.com/radar/benfica-as-monaco/13412176,13412176
COLOMBIA - PRIMERA A,2025-02-18,18:00,Bucaramanga,Alianza,1.71,3.2,5.25,https://www.radarfutebol.com/radar/alianza-valledupar-fc-atletico-bucaramanga/13368967,13368967
BRAZIL - COPA DO NORDESTE,2025-02-18,19:00,America RN,Confianca,0.0,0.0,0.0,https://www.radarfutebol.com/radar/america-rn-confianca/13350537,13350537
