League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
UKRAINE 1,2025-04-04,09:30,Inhulets,Obolon,2.65,3.05,2.6,https://www.radarfutebol.com/radar/inhulets-petrove-obolon-kyiv/12484334,12484334
CROATIA 1,2025-04-04,13:00,Varazdin,Gorica,2.2,2.9,3.5,https://www.radarfutebol.com/radar/nk-varazdin-hnk-gorica/12403338,12403338
CZECH 2,2025-04-04,13:00,Jihlava,Prostejov,2.15,3.2,3.2,https://www.radarfutebol.com/radar/1-sk-prostejov-vysocina-jihlava/12451556,12451556
POLAND 1,2025-04-04,13:00,Stal Mielec,Cracovia,2.5,3.3,2.7,https://www.radarfutebol.com/radar/stal-mielec-cracovia/12400530,12400530
POLAND 2,2025-04-04,13:00,Chrobry Glogow,Pruszkow,2.63,3.0,2.63,https://www.radarfutebol.com/radar/chrobry-glogow-znicz-pruszkow/12448918,12448918
POLAND 2,2025-04-04,13:00,Legnica,Leczna,1.65,3.8,4.75,https://www.radarfutebol.com/radar/miedz-legnica-gornik-leczna/12448932,12448932
AUSTRIA 2,2025-04-04,13:00,Ried,Amstetten,1.37,4.65,7.2,https://www.radarfutebol.com/radar/sku-amstetten-sv-ried/12484586,12484586
AUSTRIA 2,2025-04-04,13:00,Kapfenberg,Lafnitz,1.98,3.85,3.15,https://www.radarfutebol.com/radar/sv-lafnitz-kapfenberger-sv/12484587,12484587
AUSTRIA 2,2025-04-04,13:00,Bregenz,Stripfing,2.32,3.35,2.85,https://www.radarfutebol.com/radar/sv-stripfing-schwarz-weiss-bregenz/12484590,12484590
BOSNIA 1,2025-04-04,13:00,Sloboda,Velez Mostar,7.2,4.15,1.4,https://www.radarfutebol.com/radar/fk-sloboda-tuzla-fk-velez-mostar/13666710,13666710
GERMANY 2,2025-04-04,13:30,Braunschweig,Paderborn,3.75,3.5,1.95,https://www.radarfutebol.com/radar/sc-paderborn-07-eintracht-braunschweig/12499159,12499159
GERMANY 2,2025-04-04,13:30,Karlsruher SC,Hannover,3.1,3.3,2.25,https://www.radarfutebol.com/radar/karlsruher-sc-hannover-96/12499169,12499169
TURKEY 1,2025-04-04,14:00,Adana Demirspor,Kayserispor,7.0,4.75,1.4,https://www.radarfutebol.com/radar/adana-demirspor-kayserispor/12530701,12530701
TURKEY 2,2025-04-04,14:00,Amedspor,Igdir FK,2.05,3.25,3.4,https://www.radarfutebol.com/radar/igdir-fk-amed-sportif-faaliyetler/12596398,12596398
DENMARK 2,2025-04-04,14:00,Hillerod,Hobro,1.9,3.6,3.8,https://www.radarfutebol.com/radar/hobro-hillerod/13645642,13645642
DENMARK 2,2025-04-04,14:00,Koge,Vendsyssel,2.9,3.25,2.35,https://www.radarfutebol.com/radar/hb-koge-vendsyssel-ff/13645645,13645645
TURKEY 2,2025-04-04,14:00,Sanliurfaspor,Boluspor,2.63,3.2,2.55,https://www.radarfutebol.com/radar/boluspor-sanliurfaspor/12596404,12596404
DENMARK 1,2025-04-04,14:00,Randers FC,Midtjylland,2.8,3.5,2.38,https://www.radarfutebol.com/radar/randers-fc-fc-midtjylland/13638585,13638585
SWITZERLAND 2,2025-04-04,14:30,Stade Nyonnais,Wil,2.92,3.35,2.27,https://www.radarfutebol.com/radar/stade-nyonnais-fc-wil-1900/13262736,13262736
AUSTRIA 1,2025-04-04,14:30,Sturm Graz,SK Rapid,2.25,3.4,3.2,https://www.radarfutebol.com/radar/sk-rapid-wien-sk-sturm-graz/13629508,13629508
FRANCE 3,2025-04-04,14:30,Le Mans,Aubagne,1.65,3.5,5.0,https://www.radarfutebol.com/radar/aubagne-fc-le-mans/12570302,12570302
FRANCE 3,2025-04-04,14:30,Bourg en Bresse,Valenciennes,2.72,2.92,2.62,https://www.radarfutebol.com/radar/bourg-en-bresse-valenciennes/12570310,12570310
FRANCE 3,2025-04-04,14:30,Quevilly Rouen,Nimes,2.07,3.05,3.6,https://www.radarfutebol.com/radar/quevilly-rouen-metropole-nimes-olympique/12570306,12570306
FRANCE 3,2025-04-04,14:30,Sochaux,Versailles,2.4,3.05,2.92,https://www.radarfutebol.com/radar/fc-versailles-78-sochaux/12570312,12570312
FRANCE 3,2025-04-04,14:30,Dijon,Concarneau,1.95,3.25,3.7,https://www.radarfutebol.com/radar/us-concarneau-dijon/12570309,12570309
FRANCE 3,2025-04-04,14:30,Boulogne,Rouen,2.27,3.05,3.1,https://www.radarfutebol.com/radar/fc-rouen-us-boulogne-cote-dopale/12570308,12570308
FRANCE 3,2025-04-04,14:30,Paris 13 Atl.,Nancy,3.3,3.05,2.18,https://www.radarfutebol.com/radar/paris-13-atletico-nancy/12570314,12570314
FRANCE 3,2025-04-04,14:30,Chateauroux,Villefranche,2.8,3.05,2.5,https://www.radarfutebol.com/radar/fc-villefranche-beaujolais-chateauroux/12570299,12570299
FRANCE 2,2025-04-04,15:00,Laval,Grenoble,2.0,3.0,4.1,https://www.radarfutebol.com/radar/stade-lavallois-grenoble-foot-38/12450741,12450741
NETHERLANDS 2,2025-04-04,15:00,Dordrecht,Jong Ajax,1.62,4.33,4.5,https://www.radarfutebol.com/radar/jong-ajax-fc-dordrecht/12441841,12441841
FRANCE 2,2025-04-04,15:00,Annecy,Bastia,3.6,3.0,2.15,https://www.radarfutebol.com/radar/annecy-fc-bastia/12450735,12450735
FRANCE 2,2025-04-04,15:00,Paris FC,Clermont,1.48,4.0,8.0,https://www.radarfutebol.com/radar/paris-fc-clermont-foot/12450737,12450737
