League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
THAILAND - THAI LEAGUE 1,2025-02-22,08:00,Rayong FC,Ratchaburi,3.2,3.45,2.1,https://www.radarfutebol.com/radar/rayong-fc-ratchaburi/12497431,12497431
ROMANIA - LIGA 2,2025-02-22,08:30,Steaua Bucuresti,FC Voluntari,2.22,3.05,3.3,https://www.radarfutebol.com/radar/steaua-bucuresti-fc-voluntari/12618878,12618878
INDIA - ISL,2025-02-22,08:30,Punjab,East Bengal,2.25,3.4,2.9,https://www.radarfutebol.com/radar/punjab-fc-east-bengal-fc/13077949,13077949
CHINA - SUPER LEAGUE,2025-02-22,08:35,Chengdu Rongcheng,Wuhan Three Towns,1.33,4.75,9.5,https://www.radarfutebol.com/radar/wuhan-three-towns-chengdu-rongcheng/13400348,13400348
THAILAND - THAI LEAGUE 1,2025-02-22,09:00,Pathum United,Prachuap,1.93,3.6,3.5,https://www.radarfutebol.com/radar/pt-prachuap-fc-bg-pathum-united/12497432,12497432
GERMANY - 2. BUNDESLIGA,2025-02-22,09:00,Ulm,Elversberg,3.1,3.25,2.3,https://www.radarfutebol.com/radar/sv-07-elversberg-ssv-ulm-1846/12500021,12500021
GERMANY - 2. BUNDESLIGA,2025-02-22,09:00,Preussen Munster,Regensburg,2.15,3.2,3.5,https://www.radarfutebol.com/radar/preussen-munster-ssv-jahn-regensburg/12500031,12500031
GERMANY - 2. BUNDESLIGA,2025-02-22,09:00,Karlsruher SC,Magdeburg,2.88,3.6,2.3,https://www.radarfutebol.com/radar/1-fc-magdeburg-karlsruher-sc/12499980,12499980
DENMARK - 1ST DIVISION,2025-02-22,09:00,Esbjerg,Kolding IF,3.0,3.5,2.2,https://www.radarfutebol.com/radar/kolding-if-esbjerg/12442054,12442054
CHINA - SUPER LEAGUE,2025-02-22,09:00,Yunnan Yukun,Beijing Guoan,4.1,3.6,1.85,https://www.radarfutebol.com/radar/yunnan-yukun-beijing-guoan/13400350,13400350
CHINA - SUPER LEAGUE,2025-02-22,09:00,Shanghai Shenhua,Changchun Yatai,1.3,5.25,9.5,https://www.radarfutebol.com/radar/changchun-yatai-shanghai-shenhua/13400381,13400381
WALES - CYMRU PREMIER,2025-02-22,09:15,Aberystwyth,Newtown,2.92,3.55,2.12,https://www.radarfutebol.com/radar/newtown-afc-aberystwyth-town/13372211,13372211
SCOTLAND - PREMIERSHIP,2025-02-22,09:30,Hibernian,Celtic,7.5,4.2,1.44,https://www.radarfutebol.com/radar/hibernian-celtic/12472869,12472869
ENGLAND - LEAGUE ONE,2025-02-22,09:30,Rotherham,Barnsley,2.4,3.3,2.8,https://www.radarfutebol.com/radar/barnsley-rotherham-united/12469370,12469370
ENGLAND - LEAGUE ONE,2025-02-22,09:30,Reading,Birmingham,6.5,4.5,1.44,https://www.radarfutebol.com/radar/reading-birmingham-city/12469371,12469371
ENGLAND - CHAMPIONSHIP,2025-02-22,09:30,Sunderland,Hull,1.62,3.8,5.5,https://www.radarfutebol.com/radar/hull-city-sunderland/12468422,12468422
ENGLAND - CHAMPIONSHIP,2025-02-22,09:30,Plymouth,Cardiff,2.63,3.5,2.5,https://www.radarfutebol.com/radar/plymouth-argyle-cardiff-city/12468423,12468423
ENGLAND - CHAMPIONSHIP,2025-02-22,09:30,Derby,Millwall,2.5,2.9,3.25,https://www.radarfutebol.com/radar/derby-county-millwall/12468425,12468425
ENGLAND - LEAGUE TWO,2025-02-22,09:30,Crewe,Barrow,2.2,3.3,3.2,https://www.radarfutebol.com/radar/barrow-crewe-alexandra/12467979,12467979
ENGLAND - LEAGUE TWO,2025-02-22,09:30,Morecambe,Walsall,4.2,3.9,1.73,https://www.radarfutebol.com/radar/morecambe-walsall/12467977,12467977
GERMANY - 3. LIGA,2025-02-22,10:00,Aue,Unterhaching,1.7,3.6,4.33,https://www.radarfutebol.com/radar/erzgebirge-aue-spvgg-unterhaching/12525796,12525796
GERMANY - 3. LIGA,2025-02-22,10:00,Hansa Rostock,SG Dynamo Dresden,2.45,3.4,2.55,https://www.radarfutebol.com/radar/sg-dynamo-dresden-fc-hansa-rostock/12525806,12525806
GERMANY - 3. LIGA,2025-02-22,10:00,Verl,Viktoria Koln,1.95,3.3,3.6,https://www.radarfutebol.com/radar/fc-viktoria-koln-sc-verl/12525793,12525793
FRANCE - LIGUE 2,2025-02-22,10:00,Caen,Pau FC,2.3,3.2,3.0,https://www.radarfutebol.com/radar/pau-fc-caen/12450768,12450768
FRANCE - LIGUE 2,2025-02-22,10:00,Lorient,Laval,1.45,4.1,6.5,https://www.radarfutebol.com/radar/stade-lavallois-lorient/12450762,12450762
BULGARIA - PARVA LIGA,2025-02-22,10:00,Botev Plovdiv,CSKA Sofia,3.0,3.3,2.35,https://www.radarfutebol.com/radar/botev-plovdiv-cska-sofia/12421819,12421819
SPAIN - LALIGA,2025-02-22,10:00,Alaves,Espanyol,1.8,3.25,5.25,https://www.radarfutebol.com/radar/deportivo-alaves-espanyol/12437857,12437857
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-02-22,10:00,Al Kholood,Al Wehda,1.8,3.4,3.9,https://www.radarfutebol.com/radar/al-kholood-al-wehda/12624893,12624893
TURKEY - SUPER LIG,2025-02-22,10:00,Antalyaspor,Kasimpasa,2.35,3.6,2.8,https://www.radarfutebol.com/radar/kasimpasa-antalyaspor/12530743,12530743
GERMANY - 3. LIGA,2025-02-22,10:00,Alemannia Aachen,Dortmund II,1.9,3.4,3.6,https://www.radarfutebol.com/radar/alemannia-aachen-borussia-dortmund-ii/12525802,12525802
POLAND - DIVISION 1,2025-02-22,10:30,Ruch Chorzow,Wisla,2.45,3.3,2.45,https://www.radarfutebol.com/radar/wisla-krakow-ruch-chorzow/12448935,12448935
AUSTRIA - 2. LIGA,2025-02-22,10:30,Liefering,Lafnitz,1.6,4.4,4.4,https://www.radarfutebol.com/radar/sv-lafnitz-fc-liefering/12484630,12484630
UKRAINE - PREMIER LEAGUE,2025-02-22,10:30,Inhulets,Polissya Zhytomyr,8.25,4.6,1.33,https://www.radarfutebol.com/radar/polissya-zhytomyr-inhulets-petrove/12484391,12484391
POLAND - EKSTRAKLASA,2025-02-22,10:45,Korona Kielce,Slask Wroclaw,2.25,3.1,3.1,https://www.radarfutebol.com/radar/mks-korona-kielce-slask-wroclaw/12402218,12402218
CROATIA - HNL,2025-02-22,11:00,Hajduk Split,Osijek,1.65,3.7,4.75,https://www.radarfutebol.com/radar/nk-osijek-hnk-hajduk-split/12403366,12403366
ITALY - SERIE C,2025-02-22,11:00,Triestina,Alcione Milano,1.55,3.5,5.8,https://www.radarfutebol.com/radar/alcione-milano-triestina/12545736,12545736
ITALY - SERIE C,2025-02-22,11:00,Arzignano,Virtus Verona,1.88,2.8,4.75,https://www.radarfutebol.com/radar/arzignano-valchiampo-virtus-verona/12545728,12545728
ITALY - SERIE C,2025-02-22,11:00,Carpi,Pianese,2.55,3.05,2.65,https://www.radarfutebol.com/radar/pianese-carpi/12545376,12545376
ITALY - SERIE C,2025-02-22,11:00,Spal,Campobasso,2.18,2.95,3.35,https://www.radarfutebol.com/radar/us-campobasso-1919-spal/12545383,12545383
PORTUGAL - LIGA PORTUGAL 2,2025-02-22,11:00,Mafra,Vizela,3.6,3.2,2.0,https://www.radarfutebol.com/radar/cd-mafra-vizela/12514393,12514393
ITALY - SERIE B,2025-02-22,11:00,Pisa,Juve Stabia,1.9,3.25,4.33,https://www.radarfutebol.com/radar/juve-stabia-pisa/12527583,12527583
EGYPT - PREMIER LEAGUE,2025-02-22,11:00,El Gouna,Ceramica Cleopatra,4.1,2.75,2.12,https://www.radarfutebol.com/radar/ceramica-cleopatra-el-gouna-fc/13012828,13012828
ITALY - SERIE B,2025-02-22,11:00,Mantova,Bari,2.55,3.25,2.75,https://www.radarfutebol.com/radar/mantova-bari/12527582,12527582
ITALY - SERIE B,2025-02-22,11:00,Cittadella,Modena,3.0,2.9,2.55,https://www.radarfutebol.com/radar/cittadella-modena/12527590,12527590
ITALY - SERIE C,2025-02-22,11:00,Caldiero Terme,FeralpiSalo,6.7,3.7,1.47,https://www.radarfutebol.com/radar/caldiero-terme-feralpisalo/12545732,12545732
INDIA - ISL,2025-02-22,11:00,Goa,Kerala Blasters,1.95,3.5,3.4,https://www.radarfutebol.com/radar/kerala-blasters-fc-goa/13077904,13077904
ITALY - SERIE A,2025-02-22,11:00,Parma,Bologna,4.0,3.5,1.91,https://www.radarfutebol.com/radar/parma-bologna/12504367,12504367
ITALY - SERIE A,2025-02-22,11:00,Venezia,Lazio,5.0,4.0,1.67,https://www.radarfutebol.com/radar/lazio-venezia/12501577,12501577
ITALY - SERIE B,2025-02-22,11:00,Reggiana,Carrarese,2.25,2.8,3.75,https://www.radarfutebol.com/radar/reggiana-carrarese/12527587,12527587
ITALY - SERIE C,2025-02-22,11:00,Gubbio,Legnago Salus,1.55,3.5,5.8,https://www.radarfutebol.com/radar/legnago-salus-gubbio/12545379,12545379
GERMANY - BUNDESLIGA,2025-02-22,11:30,Wolfsburg,Bochum,1.53,4.2,6.0,https://www.radarfutebol.com/radar/vfl-bochum-1848-vfl-wolfsburg/12499394,12499394
GERMANY - BUNDESLIGA,2025-02-22,11:30,Mainz,St. Pauli,1.8,3.5,4.75,https://www.radarfutebol.com/radar/1-fsv-mainz-05-fc-st-pauli/12499395,12499395
