League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Telstar,Excelsior,2.5,3.6,2.6,https://www.radarfutebol.com/radar/sc-telstar-excelsior/12444905,12444905
FRANCE - LIGUE 2,2025-02-21,16:00,Paris FC,Troyes,1.7,3.6,4.75,https://www.radarfutebol.com/radar/paris-fc-troyes/12615566,12615566
FRANCE - LIGUE 2,2025-02-21,16:00,Rodez,Amiens,1.75,3.5,4.5,https://www.radarfutebol.com/radar/rodez-af-amiens-sc/12450769,12450769
NETHERLANDS - EERSTE DIVISIE,2025-02-21,16:00,Oss,FC Emmen,3.5,3.6,2.0,https://www.radarfutebol.com/radar/top-oss-fc-emmen/12444907,12444907
FRANCE - LIGUE 2,2025-02-21,16:00,Grenoble,Guingamp,3.0,3.1,2.3,https://www.radarfutebol.com/radar/grenoble-foot-38-guingamp/12450765,12450765
FRANCE - LIGUE 2,2025-02-21,16:00,Dunkerque,Clermont,1.91,3.1,4.1,https://www.radarfutebol.com/radar/usl-dunkerque-clermont-foot/12450770,12450770
FRANCE - LIGUE 2,2025-02-21,16:00,Bastia,Red Star,1.73,3.5,4.5,https://www.radarfutebol.com/radar/red-star-fc-bastia/12451119,12451119
BELGIUM - CHALLENGER PRO LEAGUE,2025-02-21,16:00,RWDM,Francs Borains,1.6,3.8,4.5,https://www.radarfutebol.com/radar/royal-francs-borains-rwd-molenbeek/12448534,12448534
BELGIUM - CHALLENGER PRO LEAGUE,2025-02-21,16:00,Waregem,Genk U23,1.36,5.0,5.25,https://www.radarfutebol.com/radar/jong-krc-genk-u23-sv-zulte-waregem/12448531,12448531
FRANCE - LIGUE 2,2025-02-21,16:00,Martigues,Annecy,3.2,3.25,2.15,https://www.radarfutebol.com/radar/annecy-fc-fc-martigues/12450766,12450766
SWITZERLAND - CHALLENGE LEAGUE,2025-02-21,16:15,Schaffhausen,Xamax,2.72,3.2,2.5,https://www.radarfutebol.com/radar/schaffhausen-neuchatel-xamax/13260125,13260125
GERMANY - BUNDESLIGA,2025-02-21,16:30,Freiburg,Werder Bremen,2.2,3.4,3.25,https://www.radarfutebol.com/radar/sc-freiburg-sv-werder-bremen/12499392,12499392
SPAIN - LALIGA2,2025-02-21,16:30,Malaga,Tenerife,2.2,3.0,3.6,https://www.radarfutebol.com/radar/malaga-cd-tenerife/12467483,12467483
AUSTRIA - 2. LIGA,2025-02-21,16:30,Admira,First Vienna,2.05,3.35,3.4,https://www.radarfutebol.com/radar/first-vienna-admira-wacker/12484622,12484622
ITALY - SERIE C,2025-02-21,16:30,Trento,Pergolettese,1.98,3.15,3.6,https://www.radarfutebol.com/radar/trento-pergolettese/12545731,12545731
ITALY - SERIE C,2025-02-21,16:30,Pineto,Vis Pesaro,2.67,2.87,2.65,https://www.radarfutebol.com/radar/pineto-vis-pesaro/12545374,12545374
POLAND - EKSTRAKLASA,2025-02-21,16:30,Rakow,Gornik Zabrze,1.57,3.7,5.75,https://www.radarfutebol.com/radar/rakow-czestochowa-gornik-zabrze/12402213,12402213
ITALY - SERIE B,2025-02-21,16:30,Sampdoria,Sassuolo,3.2,3.25,2.25,https://www.radarfutebol.com/radar/sassuolo-uc-sampdoria/12527586,12527586
IRELAND - PREMIER DIVISION,2025-02-21,16:45,Galway,St. Patricks,2.75,3.25,2.38,https://www.radarfutebol.com/radar/galway-united-st-patricks-athletic/13250686,13250686
ITALY - SERIE A,2025-02-21,16:45,Lecce,Udinese,3.0,3.0,2.63,https://www.radarfutebol.com/radar/udinese-lecce/12504375,12504375
IRELAND - PREMIER DIVISION,2025-02-21,16:45,Waterford,Shelbourne,3.5,3.0,2.1,https://www.radarfutebol.com/radar/waterford-fc-shelbourne/13250688,13250688
ENGLAND - CHAMPIONSHIP,2025-02-21,16:45,Bristol City,Middlesbrough,2.25,3.4,3.1,https://www.radarfutebol.com/radar/bristol-city-middlesbrough/12468427,12468427
IRELAND - PREMIER DIVISION,2025-02-21,16:45,Drogheda,Sligo Rovers,2.3,3.1,3.0,https://www.radarfutebol.com/radar/sligo-rovers-drogheda-united/13250685,13250685
