League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
SERBIA 2,2025-03-13,10:00,Dubocica,Sloboda,2.13,2.85,3.6,https://www.radarfutebol.com/radar/gfk-dubocica-leskovac-gfk-sloboda-uzice/12420084,12420084
EUROPA LEAGUE,2025-03-13,14:45,Eintracht Frankfurt,Ajax,1.91,3.8,3.8,https://www.radarfutebol.com/radar/afc-ajax-eintracht-frankfurt/13512403,13512403
EUROPA LEAGUE,2025-03-13,14:45,Lazio,Plzen,1.42,4.75,7.0,https://www.radarfutebol.com/radar/viktoria-plzen-lazio/13512422,13512422
EUROPA CONFERENCE LEAGUE,2025-03-13,14:45,SK Rapid,Borac Banja Luka,1.44,4.33,7.0,https://www.radarfutebol.com/radar/fk-borac-banja-luka-sk-rapid-wien/13512829,13512829
EUROPA CONFERENCE LEAGUE,2025-03-13,14:45,Lugano,Celje,1.67,4.0,4.75,https://www.radarfutebol.com/radar/fc-lugano-nk-celje/13512818,13512818
EUROPA CONFERENCE LEAGUE,2025-03-13,14:45,Djurgarden,Pafos,2.55,3.6,2.6,https://www.radarfutebol.com/radar/pafos-fc-djurgardens-if/13512821,13512821
SAUDI ARABIA 1,2025-03-13,16:00,Al Ittihad,Al Riyadh,1.33,5.5,7.5,https://www.radarfutebol.com/radar/al-riyadh-al-ittihad/12624431,12624431
SAUDI ARABIA 1,2025-03-13,16:00,Al Fateh,Al Raed,1.7,3.9,4.5,https://www.radarfutebol.com/radar/al-raed-al-fateh/12624438,12624438
EUROPA LEAGUE,2025-03-13,17:00,Lyon,FCSB,1.38,4.75,8.5,https://www.radarfutebol.com/radar/fcsb-olympique-lyonnais/13512409,13512409
EUROPA CONFERENCE LEAGUE,2025-03-13,17:00,Fiorentina,Panathinaikos,1.4,4.75,7.5,https://www.radarfutebol.com/radar/panathinaikos-fiorentina/13512827,13512827
EUROPA CONFERENCE LEAGUE,2025-03-13,17:00,Legia,Molde,1.7,4.0,4.33,https://www.radarfutebol.com/radar/legia-warszawa-molde-fk/13512810,13512810
EUROPA LEAGUE,2025-03-13,17:00,Rangers,Fenerbahce,2.75,3.9,2.35,https://www.radarfutebol.com/radar/fenerbahce-rangers/13512400,13512400
EUROPA CONFERENCE LEAGUE,2025-03-13,17:00,Fiorentina,Panathinaikos,1.48,4.1,7.5,https://www.radarfutebol.com/radar/panathinaikos-fiorentina/13512827,13512827
ENGLAND 4,2025-03-13,17:00,Bromley,Walsall,3.6,3.4,2.0,https://www.radarfutebol.com/radar/bromley-walsall/12467932,12467932
EUROPA LEAGUE,2025-03-13,17:00,Rangers,Fenerbahce,2.6,3.75,2.5,https://www.radarfutebol.com/radar/fenerbahce-rangers/13512400,13512400
EUROPA LEAGUE,2025-03-13,17:00,Tottenham,AZ Alkmaar,1.42,4.75,7.0,https://www.radarfutebol.com/radar/az-alkmaar-tottenham-hotspur/13512413,13512413
ENGLAND 4,2025-03-13,17:00,Bromley,Walsall,3.5,3.3,2.05,https://www.radarfutebol.com/radar/bromley-walsall/12467932,12467932
EUROPA LEAGUE,2025-03-13,17:00,Lyon,FCSB,1.29,5.75,10.0,https://www.radarfutebol.com/radar/fcsb-olympique-lyonnais/13512409,13512409
EUROPA CONFERENCE LEAGUE,2025-03-13,17:00,Legia,Molde,1.83,3.7,4.0,https://www.radarfutebol.com/radar/legia-warszawa-molde-fk/13512810,13512810
EUROPA LEAGUE,2025-03-13,17:00,Tottenham,AZ Alkmaar,1.36,5.0,8.5,https://www.radarfutebol.com/radar/az-alkmaar-tottenham-hotspur/13512413,13512413
