Data,Hora,Home,Away,Jogo,Link,ID
2025-01-21,11:50,Al-Khaleej,Al-Nassr,Al-Khaleej x Al-Nassr,https://www.radarfutebol.com/radar/al-khaleej-al-nassr/12624930,12624930
2025-01-21,12:10,Al-Riyadh,Al-Taawoun,Al-Riyadh x Al-Taawoun,https://www.radarfutebol.com/radar/al-riyadh-al-taawoun/12624935,12624935
2025-01-21,12:30,Galatasaray,Dynamo Kyiv,Galatasaray x Dynamo Kyiv,https://www.radarfutebol.com/radar/dynamo-kyiv-galatasaray/12764260,12764260
2025-01-21,14:00,Al-Hilal,Al-Wehda,Al-Hilal x Al-Wehda,https://www.radarfutebol.com/radar/al-wehda-al-hilal/12624929,12624929
2025-01-21,14:45,Atalanta,SK Sturm Graz,Atalanta x SK Sturm Graz,https://www.radarfutebol.com/radar/atalanta-sk-sturm-graz/12763976,12763976
2025-01-21,14:45,AS Monaco,Aston Villa,AS Monaco x Aston Villa,https://www.radarfutebol.com/radar/as-monaco-aston-villa/12764355,12764355
2025-01-21,16:45,Watford,Preston North End,Watford x Preston North End,https://www.radarfutebol.com/radar/watford-preston-north-end/12468492,12468492
2025-01-21,16:45,Derby County,Sunderland,Derby County x Sunderland,https://www.radarfutebol.com/radar/sunderland-derby-county/12468493,12468493
2025-01-21,16:45,Swansea City,Sheffield United,Swansea City x Sheffield United,https://www.radarfutebol.com/radar/swansea-city-sheffield-united/12468494,12468494
2025-01-21,16:45,Oxford United,Luton Town,Oxford United x Luton Town,https://www.radarfutebol.com/radar/oxford-united-luton-town/12468496,12468496
2025-01-21,16:45,Middlesbrough,West Bromwich Albion,Middlesbrough x West Bromwich Albion,https://www.radarfutebol.com/radar/middlesbrough-west-bromwich-albion/12468498,12468498
2025-01-21,16:45,Hull City,Queens Park Rangers,Hull City x Queens Park Rangers,https://www.radarfutebol.com/radar/hull-city-queens-park-rangers/12468499,12468499
2025-01-21,16:45,Blackburn Rovers,Coventry City,Blackburn Rovers x Coventry City,https://www.radarfutebol.com/radar/blackburn-rovers-coventry-city/12468501,12468501
2025-01-21,17:00,Atlético Madrid,Bayer 04 Leverkusen,Atlético Madrid x Bayer 04 Leverkusen,https://www.radarfutebol.com/radar/atletico-madrid-bayer-04-leverkusen/12763983,12763983
2025-01-21,17:00,Benfica,Barcelona,Benfica x Barcelona,https://www.radarfutebol.com/radar/benfica-barcelona/12764100,12764100
2025-01-21,17:00,Bologna,Borussia Dortmund,Bologna x Borussia Dortmund,https://www.radarfutebol.com/radar/bologna-borussia-dortmund/12764111,12764111
2025-01-21,17:00,Club Brugge KV,Juventus,Club Brugge KV x Juventus,https://www.radarfutebol.com/radar/club-brugge-kv-juventus/12764198,12764198
2025-01-21,17:00,FK Crvena zvezda,PSV Eindhoven,FK Crvena zvezda x PSV Eindhoven,https://www.radarfutebol.com/radar/fk-crvena-zvezda-psv-eindhoven/12764217,12764217
2025-01-21,17:00,Liverpool,Lille,Liverpool x Lille,https://www.radarfutebol.com/radar/lille-liverpool/12764324,12764324
2025-01-21,17:00,ŠK Slovan Bratislava,VfB Stuttgart,ŠK Slovan Bratislava x VfB Stuttgart,https://www.radarfutebol.com/radar/vfb-stuttgart-sk-slovan-bratislava/12764480,12764480
2025-01-21,17:00,Millwall,Cardiff City,Millwall x Cardiff City,https://www.radarfutebol.com/radar/cardiff-city-millwall/12468497,12468497
2025-01-21,19:30,Novorizontino,Inter de Limeira,Novorizontino x Inter de Limeira,https://www.radarfutebol.com/radar/inter-de-limeira-novorizontino/13193899,13193899
