League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
ARMENIA - PREMIER LEAGUE,2025-02-25,07:00,Alashkert,Pyunik Yerevan,0.0,0.0,0.0,https://www.radarfutebol.com/radar/fc-alashkert-pyunik-yerevan/13247273,13247273
INDIA - I-LEAGUE,2025-02-25,08:00,Dempo,Sreenidi Deccan,3.2,3.65,2.0,https://www.radarfutebol.com/radar/sreenidi-deccan-fc-dempo-sc/13052778,13052778
INDIA - I-LEAGUE,2025-02-25,10:30,Aizawl,Gokulam,5.0,4.1,1.55,https://www.radarfutebol.com/radar/gokulam-kerala-fc-aizawl-fc/13052771,13052771
INDIA - ISL,2025-02-25,11:00,Bengaluru FC,Chennaiyin,1.91,3.5,3.6,https://www.radarfutebol.com/radar/chennaiyin-fc-bengaluru-fc/13077903,13077903
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-02-25,11:10,Al Raed,Al Shabab,4.0,3.8,1.73,https://www.radarfutebol.com/radar/al-raed-al-shabab/12624874,12624874
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-02-25,12:30,Al Hilal,Al Kholood,1.13,8.5,11.0,https://www.radarfutebol.com/radar/al-kholood-al-hilal/12624881,12624881
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,2025-02-25,13:00,Al Wehda,Al Nassr,5.25,5.25,1.42,https://www.radarfutebol.com/radar/al-wehda-al-nassr/12624885,12624885
SLOVAKIA - NIKE LIGA,2025-02-25,14:00,Komarno,Zilina,3.95,3.7,1.83,https://www.radarfutebol.com/radar/kfc-komarno-msk-zilina/13478886,13478886
AUSTRIA - 2. LIGA,2025-02-25,14:00,ASK Voitsberg,Bregenz,2.1,3.45,3.2,https://www.radarfutebol.com/radar/schwarz-weiss-bregenz-ask-voitsberg/13509520,13509520
ENGLAND - PREMIER LEAGUE,2025-02-25,16:30,Brighton,Bournemouth,2.05,3.8,3.25,https://www.radarfutebol.com/radar/bournemouth-brighton-and-hove-albion/12436970,12436970
