League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
TURKEY 2,2025-04-10,11:00,Genclerbirligi,Umraniyespor,1.8,3.5,3.7,https://www.radarfutebol.com/radar/umraniyespor-genclerbirligi/12596392,12596392
EGYPT 1,2025-04-10,11:00,Enppi,Modern Sport,3.25,2.57,2.62,https://www.radarfutebol.com/radar/modern-sport-fc-enppi/13573900,13573900
SAUDI ARABIA 1,2025-04-10,12:50,Al Shabab,Al Kholood,1.45,4.5,5.0,https://www.radarfutebol.com/radar/al-kholood-al-shabab/12624453,12624453
SAUDI ARABIA 1,2025-04-10,13:00,Damac,Al Wehda,1.82,3.6,3.4,https://www.radarfutebol.com/radar/damac-fc-al-wehda/12624449,12624449
DENMARK 2,2025-04-10,13:30,Fredericia,Horsens,3.0,3.2,2.4,https://www.radarfutebol.com/radar/fc-fredericia-ac-horsens/13645607,13645607
EUROPA CONFERENCE LEAGUE,2025-04-10,13:45,Legia,Chelsea,5.5,4.33,1.53,https://www.radarfutebol.com/radar/legia-warszawa-chelsea/13514785,13514785
EUROPA LEAGUE,2025-04-10,13:45,Bodo/Glimt,Lazio,3.4,3.6,2.1,https://www.radarfutebol.com/radar/lazio-bodoglimt/13514530,13514530
NORWAY 1,2025-04-10,14:00,Viking,Kristiansund,1.42,4.75,6.5,https://www.radarfutebol.com/radar/viking-fk-kristiansund-bk/13295658,13295658
NORWAY 1,2025-04-10,14:00,Brann,Stromsgodset,1.55,4.5,5.0,https://www.radarfutebol.com/radar/stromsgodset-sk-brann/13295661,13295661
POLAND 2,2025-04-10,15:45,Ruch Chorzow,Legnica,2.05,3.2,3.25,https://www.radarfutebol.com/radar/miedz-legnica-ruch-chorzow/12849514,12849514
ENGLAND 4,2025-04-10,16:00,Crewe,Cheltenham,1.7,3.5,5.0,https://www.radarfutebol.com/radar/cheltenham-town-crewe-alexandra/12465079,12465079
EUROPA LEAGUE,2025-04-10,16:00,Tottenham,Eintracht Frankfurt,1.72,4.1,4.0,https://www.radarfutebol.com/radar/eintracht-frankfurt-tottenham-hotspur/13514531,13514531
EUROPA CONFERENCE LEAGUE,2025-04-10,16:00,Betis,Jagiellonia,1.3,5.5,9.0,https://www.radarfutebol.com/radar/jagiellonia-bialystok-real-betis/13514760,13514760
EUROPA CONFERENCE LEAGUE,2025-04-10,16:00,Celje,Fiorentina,6.5,4.75,1.42,https://www.radarfutebol.com/radar/fiorentina-nk-celje/13514763,13514763
EUROPA CONFERENCE LEAGUE,2025-04-10,16:00,Djurgarden,SK Rapid,2.87,3.2,2.5,https://www.radarfutebol.com/radar/sk-rapid-wien-djurgardens-if/13514759,13514759
PARAGUAY 1,2025-04-10,18:00,2 de Mayo,Recoleta,2.05,3.0,3.6,https://www.radarfutebol.com/radar/recoleta-fc-cs-2-de-mayo/13726664,13726664
VENEZUELA 1,2025-04-10,19:00,Monagas,Rayo Zuliano,1.82,3.25,4.3,https://www.radarfutebol.com/radar/rayo-zuliano-monagas/13389308,13389308
COLOMBIA 1,2025-04-10,21:00,La Equidad,Santa Fe,3.1,3.25,2.3,https://www.radarfutebol.com/radar/deportivo-la-equidad-independiente-santa-fe/13380389,13380389
ECUADOR 1,2025-04-10,21:00,Manta,Tecnico U.,3.25,3.3,2.15,https://www.radarfutebol.com/radar/manta-fc-tecnico-universitario/13378618,13378618
BRAZIL 2,2025-04-10,21:30,Cuiaba,Avai,2.15,2.88,4.0,https://www.radarfutebol.com/radar/cuiaba-avai/13667684,13667684
