Data,Hora,Home,Away,Jogo,Link,ID
2025-01-26,16:00,Fulham,Manchester United,Fulham x Manchester United,https://www.radarfutebol.com/radar/fulham-manchester-united/12436899,12436899
2025-01-26,16:45,Lazio,Fiorentina,Lazio x Fiorentina,https://www.radarfutebol.com/radar/lazio-fiorentina/12504416,12504416
2025-01-26,16:45,Nice,Olympique de Marseille,Nice x Olympique de Marseille,https://www.radarfutebol.com/radar/nice-olympique-de-marseille/12450985,12450985
2025-01-26,17:00,Barcelona,Valencia,Barcelona x Valencia,https://www.radarfutebol.com/radar/valencia-barcelona/12437633,12437633
2025-01-26,17:00,Independiente Santa Fe,Deportivo Pereira,Independiente Santa Fe x Deportivo Pereira,https://www.radarfutebol.com/radar/independiente-santa-fe-deportivo-pereira/13320343,13320343
2025-01-26,17:30,Sporting Braga,Boavista,Sporting Braga x Boavista,https://www.radarfutebol.com/radar/sporting-braga-boavista/12514209,12514209
2025-01-26,18:15,Olimpia,Guaraní,Olimpia x Guaraní,https://www.radarfutebol.com/radar/olimpia-guarani/13222984,13222984
2025-01-26,18:30,São Paulo,Corinthians,São Paulo x Corinthians,https://www.radarfutebol.com/radar/sao-paulo-corinthians/13193908,13193908
2025-01-26,18:45,Deportivo Táchira,Zamora,Deportivo Táchira x Zamora,https://www.radarfutebol.com/radar/zamora-deportivo-tachira/13356103,13356103
2025-01-26,19:00,Boca Juniors,Argentinos Juniors,Boca Juniors x Argentinos Juniors,https://www.radarfutebol.com/radar/argentinos-juniors-boca-juniors/13292202,13292202
2025-01-26,19:10,Junior Barranquilla,Deportivo Cali,Junior Barranquilla x Deportivo Cali,https://www.radarfutebol.com/radar/deportivo-cali-junior-barranquilla/13340350,13340350
2025-01-26,20:45,Cerro Porteño,Libertad,Cerro Porteño x Libertad,https://www.radarfutebol.com/radar/libertad-cerro-porteno/13222981,13222981
2025-01-26,21:00,Central Córdoba,Aldosivi,Central Córdoba x Aldosivi,https://www.radarfutebol.com/radar/central-cordoba-aldosivi/13292213,13292213
2025-01-26,21:00,Portuguesa FC,Yaracuyanos FC,Portuguesa FC x Yaracuyanos FC,https://www.radarfutebol.com/radar/yaracuyanos-fc-portuguesa-fc/13355407,13355407
2025-01-26,21:20,Alianza Valledupar FC,Independiente Medellín,Alianza Valledupar FC x Independiente Medellín,https://www.radarfutebol.com/radar/alianza-valledupar-fc-independiente-medellin/13340351,13340351
