League,Date,Time,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Link,ID
AFRICA - WORLD CHAMPIONSHIP,2025-03-19,13:00,Central Africa,Madagascar,2.9,3.1,2.6,https://www.radarfutebol.com/radar/central-african-republic-madagascar/12183321,12183321
AFRICA - WORLD CHAMPIONSHIP,2025-03-19,13:00,Eswatini,Cameroon,12.0,4.75,1.33,https://www.radarfutebol.com/radar/cameroon-eswatini/12183437,12183437
AFRICA - WORLD CHAMPIONSHIP,2025-03-19,13:00,Liberia,Tunisia,6.0,3.0,1.8,https://www.radarfutebol.com/radar/liberia-tunisia/12183332,12183332
ARGENTINA - COPA ARGENTINA,2025-03-19,15:45,Aldosivi,Gimnasia y Tiro,2.37,2.67,3.5,https://www.radarfutebol.com/radar/gimnasia-y-tiro-de-salta-aldosivi/13592123,13592123
BRAZIL - COPA DO NORDESTE,2025-03-19,19:00,CSA,Bahia,3.7,3.25,1.95,https://www.radarfutebol.com/radar/csa-bahia/13350545,13350545
BRAZIL - COPA DO NORDESTE,2025-03-19,19:00,Ceara,Juazeirense,1.3,5.0,7.0,https://www.radarfutebol.com/radar/juazeirense-ceara/13350547,13350547
BRAZIL - COPA DO NORDESTE,2025-03-19,19:00,Confianca,Sampaio Correa,1.75,3.3,4.5,https://www.radarfutebol.com/radar/confianca-sampaio-correa/13350543,13350543
COLOMBIA 1,2025-03-19,20:30,Santa Fe,Bucaramanga,1.95,3.0,4.5,https://www.radarfutebol.com/radar/independiente-santa-fe-atletico-bucaramanga/13574685,13574685
BRAZIL - COPA DO NORDESTE,2025-03-19,21:30,Sousa,Fortaleza,4.75,3.4,1.7,https://www.radarfutebol.com/radar/sousa-ec-fortaleza/13350511,13350511
BRAZIL - COPA DO NORDESTE,2025-03-19,21:30,Vitoria,Sport Recife,2.45,3.3,2.75,https://www.radarfutebol.com/radar/vitoria-sport-recife/13350526,13350526
