League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Link,ID
BULGARIA 1,2025-03-10,12:30,Septemvri Sofia,Hebar,1.83,3.4,4.33,https://www.radarfutebol.com/radar/fk-hebar-pazardzhik-fk-septemvri-sofia/12421755,12421755
TURKEY 1,2025-03-10,14:30,Besiktas,Gaziantep,1.48,4.5,5.75,https://www.radarfutebol.com/radar/gaziantep-fk-besiktas/12530720,12530720
TURKEY 2,2025-03-10,14:30,Kocaelispor,Ankaragucu,1.62,3.8,5.25,https://www.radarfutebol.com/radar/mke-ankaragucu-kocaelispor/12596430,12596430
PORTUGAL 2,2025-03-10,15:00,Leixoes,Tondela,3.25,3.0,2.3,https://www.radarfutebol.com/radar/tondela-leixoes-sc/12514409,12514409
POLAND 1,2025-03-10,15:00,Motor Lublin,Legia,3.75,3.7,1.9,https://www.radarfutebol.com/radar/motor-lublin-legia-warszawa/12402194,12402194
DENMARK 1,2025-03-10,15:00,Randers FC,Brondby,3.0,3.4,2.3,https://www.radarfutebol.com/radar/randers-fc-brondby-if/12407876,12407876
NETHERLANDS 2,2025-03-10,16:00,Jong PSV,Oss,2.0,3.75,3.4,https://www.radarfutebol.com/radar/jong-psv-eindhoven-top-oss/12441907,12441907
NETHERLANDS 2,2025-03-10,16:00,Excelsior,Den Bosch,1.53,4.33,5.5,https://www.radarfutebol.com/radar/excelsior-fc-den-bosch/12441902,12441902
NETHERLANDS 2,2025-03-10,16:00,Cambuur,Dordrecht,1.44,4.5,6.5,https://www.radarfutebol.com/radar/fc-dordrecht-sc-cambuur/12444893,12444893
ITALY 1,2025-03-10,16:45,Lazio,Udinese,1.73,3.6,5.25,https://www.radarfutebol.com/radar/lazio-udinese/12504365,12504365
FRANCE 2,2025-03-10,16:45,Rodez,Dunkerque,2.5,3.4,2.7,https://www.radarfutebol.com/radar/rodez-af-usl-dunkerque/13391310,13391310
SPAIN 1,2025-03-10,17:00,Espanyol,Girona,3.0,3.2,2.45,https://www.radarfutebol.com/radar/girona-fc-espanyol/12437880,12437880
ARGENTINA 2,2025-03-10,17:00,San Telmo,Talleres (R.E),2.3,2.8,3.6,https://www.radarfutebol.com/radar/san-telmo-talleres-remedios-de-escalada/13366695,13366695
PERU 1,2025-03-10,17:00,Grau,Los Chankas,1.5,3.8,6.5,https://www.radarfutebol.com/radar/club-atletico-grau-los-chankas-cyc/13565883,13565883
ENGLAND 1,2025-03-10,17:00,West Ham,Newcastle,3.1,3.6,2.2,https://www.radarfutebol.com/radar/newcastle-united-west-ham-united/12437010,12437010
PORTUGAL 1,2025-03-10,17:15,Famalicao,Rio Ave,1.85,3.3,4.33,https://www.radarfutebol.com/radar/famalicao-rio-ave/12514127,12514127
PERU 1,2025-03-10,20:00,Binacional,Juan Pablo II,1.25,5.5,11.0,https://www.radarfutebol.com/radar/adc-juan-pablo-ii-deportivo-binacional/13565884,13565884
URUGUAY 1,2025-03-10,20:00,Wanderers,Cerro Largo,2.63,3.2,2.63,https://www.radarfutebol.com/radar/cerro-largo-montevideo-wanderers/13532932,13532932
PARAGUAY 1,2025-03-10,20:30,Ameliano,Guarani,2.55,3.1,2.55,https://www.radarfutebol.com/radar/sportivo-ameliano-guarani/13333182,13333182
ECUADOR 1,2025-03-10,21:00,Orense,Tecnico U.,2.0,3.2,3.8,https://www.radarfutebol.com/radar/orense-sc-tecnico-universitario/13378586,13378586
COLOMBIA 1,2025-03-10,22:30,Deportes Tolima,Once Caldas,1.7,3.6,5.0,https://www.radarfutebol.com/radar/once-caldas-deportes-tolima/13380341,13380341
