League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2025-01-22,05:30:00,Adelaide United,Auckland FC,2.0,2.02,4.0,4.2,3.9,3.95,2.48,2.58,1.64,1.67,1.6,1.65,2.52,2.68,19.0,21.0,19.0,21.0,29.0,34.0,60.0,80.0,12.0,13.0,8.6,9.2,15.5,16.5,36.0,42.0,13.0,14.5,10.0,10.5,14.5,15.5,36.0,42.0,21.0,24.0,16.5,17.5,24.0,26.0,48.0,65.0,8.8,9.6,25.0,30.0,220.0,460.0,33937014,571273.0,47625959.0,58805.0,1.238240921,1.238240925,1.238241,1.238240922,3.7,4.9,1.26,1.37,18.0,21.0,1.05,1.06,5.3,6.4,1.19,1.24,1.32,1.34,1.98,2.0,1.33,1.35,1.238241005,1.238241007,1.238240923,1.238240924
Friendly Matches,2025-01-22,07:00:00,Vyskov,MFk Skalica,2.02,2.5,2.02,4.0,2.84,950.0,1.19,3.4,1.42,6.4,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33961994,4940266.0,12690369.0,58805.0,1.238541877,1.238541922,1.238541961,1.238541886,1.01,1000.0,1.01,1000.0,1.02,1000.0,1.01,1000.0,1.02,110.0,1.01,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.238541878,1.23854188,1.238541881,1.238541925
Friendly Matches,2025-01-22,09:00:00,NK Dubrava Zagreb,NK Hrvatski Dragovoljac,1.67,2.1,4.0,6.0,2.88,950.0,1.85,2.46,1.69,2.18,1.02,1000.0,1.01,1000.0,1.44,18.5,1.44,1000.0,1.37,1000.0,1.37,1000.0,1.43,12.0,1.44,12.5,1.44,1000.0,1.37,1000.0,1.46,14.5,1.45,13.5,1.44,1000.0,1.37,1000.0,1.44,1000.0,1.44,1000.0,1.37,1000.0,1.37,1000.0,1.44,12.5,1.37,1000.0,1.31,1000.0,33961518,8212487.0,9904855.0,58805.0,1.2385352,1.238535245,1.238535284,1.238535209,1.01,4.2,1.01,1.54,3.35,110.0,1.01,1.42,3.35,4.9,1.27,1.42,1.2,1.33,1.92,2.48,1.26,1.44,1.238535201,1.238535203,1.238535204,1.238535248
Portuguese Liga 3,2025-01-22,09:00:00,SC Lusitania Dos Acores,Oliveira Hospital,2.06,3.15,2.56,3.0,3.35,1000.0,1.75,2.24,1.8,2.34,1.01,1.8,2.24,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33944513,7202661.0,6824437.0,58805.0,1.23828559,1.238285635,1.238285674,1.238285599,1.01,1000.0,1.33,1.6,3.2,110.0,1.01,1.45,3.2,5.0,1.25,1.45,1.5,1.65,1.46,1.94,1.01,1.42,1.238285591,1.238285593,1.238285594,1.238285638
Friendly Matches,2025-01-22,09:00:00,Opatija,Radnik Krizevci,1.51,55.0,1.09,55.0,1.72,950.0,1.19,2.94,1.52,6.4,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33962446,4940514.0,20837823.0,58805.0,1.238550966,1.238551011,1.23855105,1.238550975,1.01,1000.0,1.01,1000.0,1.02,110.0,1.01,110.0,1.02,6.4,1.19,110.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.238550967,1.238550969,1.23855097,1.238551014
Saudi 1st Division,2025-01-22,09:30:00,Al Batin,Al-Ain,2.08,2.48,3.45,4.4,2.98,950.0,1.02,1.81,1.01,2.88,0.0,0.0,0.0,0.0,1.03,12.0,1.03,14.5,1.03,1000.0,1.03,1000.0,1.03,9.8,1.03,9.0,1.03,21.0,1.03,1000.0,1.03,15.5,1.03,14.5,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33961447,77353032.0,11707638.0,58805.0,1.238533245,1.238533241,0.0,1.238533247,1.01,1000.0,1.01,1000.0,0.0,0.0,0.0,0.0,2.76,3.7,1.01,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238533248,0.0,1.238533246
Saudi 1st Division,2025-01-22,10:00:00,Ohod (KSA),Al-Hazm (KSA),4.3,1000.0,1.57,1.99,3.2,950.0,1.67,2.14,1.01,1000.0,0.0,0.0,0.0,0.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33961448,13964842.0,20598620.0,58805.0,1.238533234,1.23853323,0.0,1.238533236,2.48,3.9,1.01,1000.0,0.0,0.0,0.0,0.0,1.02,1000.0,1.01,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.238533237,0.0,1.238533235
Tunisian Ligue Professionelle 1,2025-01-22,10:00:00,CA Bizertin,Club Sportif Sfaxien,1.96,4.2,2.02,3.25,2.58,950.0,1.24,1.75,2.32,6.2,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33961845,7438197.0,7438081.0,58805.0,1.238539973,1.238540018,1.238540057,1.238539982,1.01,1000.0,1.01,1000.0,3.25,110.0,1.01,1.45,1.86,2.46,1.69,2.16,1.44,1.99,1.31,1.61,1.01,1.63,1.238539974,1.238539976,1.238539977,1.238540021
Tunisian Ligue Professionelle 1,2025-01-22,10:00:00,Sportive De Tunis,Olympique De Beja,1.04,1.5,3.3,1000.0,1.09,950.0,1.13,110.0,1.01,8.8,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.37,1000.0,1.37,1000.0,1.03,1000.0,33961850,14188149.0,21417314.0,58805.0,1.238539883,1.238539928,1.238539967,1.238539892,1.01,1000.0,1.01,1000.0,1.13,1000.0,1.01,8.8,1.13,110.0,1.01,8.8,1.01,1.08,2.58,36.0,1.03,1.46,1.238539884,1.238539886,1.238539887,1.238539931
Saudi Professional League,2025-01-22,11:00:00,Al Orubah,Al-Quadisiya (KSA),9.6,11.5,1.37,1.42,4.9,5.5,2.04,2.24,1.8,1.95,2.2,2.4,1.71,1.83,13.0,21.0,6.8,8.4,6.8,8.0,9.2,15.0,1.03,38.0,1.03,12.0,1.03,11.5,1.03,20.0,1.03,120.0,1.03,46.0,1.03,36.0,1.03,55.0,1.03,1000.0,1.03,220.0,1.03,180.0,1.03,220.0,190.0,330.0,5.6,6.8,1.03,1000.0,33951325,7202801.0,10201607.0,58805.0,1.238386318,1.238386328,1.238386317,1.238386327,2.98,4.3,1.3,1.51,4.0,26.0,1.05,1.33,4.0,4.8,1.27,1.33,3.35,3.75,1.09,1.12,1.22,1.25,1.238386309,1.238386321,1.238386322,1.238386332
