League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Hong Kong Premier League,2025-01-05,04:00:00,North District,Hong Kong Rangers FC,2.66,3.4,2.14,2.5,3.85,5.6,2.88,3.45,1.41,1.54,1.43,1.59,2.72,3.35,1.92,44.0,1.84,22.0,1.86,24.0,1.91,38.0,1.86,25.0,3.45,13.0,1.77,14.5,1.87,26.0,1.89,32.0,2.0,16.5,2.42,17.0,4.0,28.0,1.94,55.0,2.0,1000.0,4.1,1000.0,2.0,1000.0,2.22,17.0,3.4,12.0,2.0,1000.0,33909109,21137551.0,6620679.0,58805.0,1.237804263,1.237804308,1.237804347,1.237804272,4.0,110.0,1.2,1.34,3.35,1000.0,1.01,1.43,3.35,1000.0,1.01,1.43,1.66,1.88,1.41,1.61,1.22,1.34,1.237804264,1.237804266,1.237804267,1.237804311
Indonesian Liga 2,2025-01-05,05:00:00,Nusantara United FC,Bhayangkara FC,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.19,990.0,1.01,6.4,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33911683,61524324.0,13203072.0,58805.0,1.23784276,1.237842805,1.237842844,1.237842769,1.01,1000.0,1.01,20.0,1.19,1000.0,1.01,6.4,1.19,1000.0,1.01,6.4,1.01,15.5,1.01,15.5,1.01,15.5,1.237842761,1.237842763,1.237842764,1.237842808
Indonesian Liga 2,2025-01-05,05:00:00,Persikota Tangerang,PSKC Cimahi,1.07,1.96,2.14,1000.0,2.14,1000.0,1.19,990.0,1.01,6.4,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33911682,25235568.0,19557794.0,58805.0,1.23784285,1.237842895,1.237842934,1.237842859,1.01,1000.0,1.01,20.0,1.19,1000.0,1.01,6.4,1.19,1000.0,1.01,6.4,1.01,1.88,2.04,15.5,1.01,1.88,1.237842851,1.237842853,1.237842854,1.237842898
Hong Kong Premier League,2025-01-05,05:30:00,Hong Kong FC,Wofoo Tai Po,9.6,16.5,1.21,1.34,4.9,14.5,2.0,110.0,1.43,1.97,1.83,2.42,1.71,9.4,1.03,1000.0,1.03,14.5,1.52,11.0,1.03,12.0,1.03,1000.0,1.03,21.0,1.03,14.5,1.03,17.5,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.28,1000.0,2.22,4.5,1.03,1000.0,33909108,5222607.0,5204518.0,58805.0,1.237804353,1.237804398,1.237804437,1.237804362,4.0,110.0,1.2,1.34,1.27,1000.0,1.01,1.97,1.15,1000.0,1.01,1.97,3.8,5.8,1.06,1.11,1.13,1.19,1.237804354,1.237804356,1.237804357,1.237804401
Indonesian Liga 2,2025-01-05,05:30:00,Persela Lamongan,Persipal Palu,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.19,990.0,1.01,6.4,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33911684,5227372.0,73566483.0,58805.0,1.23784267,1.237842715,1.237842754,1.237842679,1.01,1000.0,1.01,20.0,1.19,1000.0,1.01,6.4,1.19,1000.0,1.01,6.4,1.01,15.5,1.01,15.5,1.01,15.5,1.237842671,1.237842673,1.237842674,1.237842718
Indonesian Liga 2,2025-01-05,05:30:00,Deltras Sidoarjo,Gresik United,1.07,1000.0,1.07,1000.0,1.07,1000.0,1.19,990.0,1.01,6.4,1.02,1000.0,1.02,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33911695,6437712.0,6438889.0,58805.0,1.23784258,1.237842625,1.237842664,1.237842589,1.01,1000.0,1.01,20.0,1.19,1000.0,1.01,6.4,1.19,1000.0,1.01,6.4,1.01,15.5,1.01,15.5,1.01,15.5,1.237842581,1.237842583,1.237842584,1.237842628
Friendly Matches,2025-01-05,07:00:00,Atletico Sanluqueno CF,Cadiz,4.4,9.2,1.58,2.04,3.0,1000.0,1.47,1.87,2.16,3.1,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33911978,6399727.0,516259.0,58805.0,1.237849337,1.237849382,1.237849421,1.237849346,1.01,3.95,1.01,1000.0,2.4,1000.0,1.01,1.72,2.4,1000.0,1.01,1.72,1.96,2.74,1.12,1.29,1.16,1.5,1.237849338,1.23784934,1.237849341,1.237849385
Turkish 1 Lig,2025-01-05,07:30:00,Bandirmaspor,Manisa FK,1.9,2.1,3.85,5.4,3.25,4.4,1.8,2.06,1.94,2.26,1.76,2.04,1.96,2.48,1.03,16.5,1.03,18.5,1.03,40.0,1.03,1000.0,1.03,11.0,1.03,9.6,1.03,21.0,1.03,1000.0,1.03,14.5,1.03,12.5,1.03,24.0,1.03,1000.0,1.03,28.0,1.03,27.0,1.03,48.0,1.03,1000.0,12.0,18.5,46.0,1000.0,1.03,1000.0,33903763,4985299.0,27282595.0,58805.0,1.237738718,1.237738763,1.237738802,1.237738727,2.68,3.9,1.35,1.6,3.35,1000.0,1.01,1.42,3.35,4.5,1.32,1.42,1.25,1.33,1.9,2.12,1.32,1.42,1.237738719,1.237738721,1.237738722,1.237738766
Turkish 1 Lig,2025-01-05,07:30:00,Umraniyespor,Erzurum BB,2.66,2.96,2.76,3.25,3.1,3.45,1.66,1.83,2.2,2.52,1.87,2.16,1.87,2.14,7.8,12.0,7.4,11.5,13.0,23.0,1.03,60.0,7.8,11.5,6.2,8.8,10.0,16.5,1.03,46.0,12.5,21.0,9.6,16.0,15.0,25.0,1.03,70.0,1.03,55.0,1.03,42.0,1.03,65.0,1.03,160.0,26.0,42.0,28.0,46.0,1.03,1000.0,33903759,6250160.0,7692068.0,58805.0,1.237739078,1.237739123,1.237739162,1.237739087,2.58,3.15,1.47,1.63,3.0,1000.0,1.01,1.49,3.0,3.45,1.4,1.49,1.44,1.57,1.51,1.61,1.4,1.48,1.237739079,1.237739081,1.237739082,1.237739126
Turkish Super League,2025-01-05,07:30:00,Kasimpasa,Gaziantep FK,1.88,1.91,4.3,4.7,4.0,4.1,2.32,2.5,1.66,1.75,1.64,1.72,2.38,2.54,17.5,20.0,18.5,22.0,30.0,40.0,9.2,100.0,10.5,12.5,8.4,9.6,15.5,18.0,40.0,55.0,11.5,13.0,9.4,10.5,15.0,17.5,42.0,55.0,19.0,22.0,16.0,18.0,25.0,32.0,34.0,75.0,8.4,10.5,32.0,44.0,10.0,590.0,33897415,2080735.0,13848831.0,58805.0,1.237661582,1.237661592,1.237661581,1.237661591,3.7,4.6,1.27,1.38,13.5,26.0,1.04,1.07,5.0,6.8,1.17,1.25,1.27,1.3,2.08,2.16,1.32,1.34,1.237661573,1.237661585,1.237661586,1.237661596
