Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
tbUr8VWs,ITALY 3,GROUP B,2025-11-26,11:00,Gubbio,Juventus U23,2.8,1.91,4.4,1.55,2.3,3.3,1.29,7.2,1.06,2.07,2.95,3.6,1.1,5.9,1.44,2.6,2.27,1.57,4.0,1.21,7.0,1.07,1.98,1.75,1.28,1.34,1.72,5.9,8.5,18.5,55.0,6.1,5.9,13.0,40.0,9.25,8.75,16.5,50.0,19.5,19.0,35.0,90.0,900.0
jiWQzRQQ,NORWAY 2,PROMOTION,2025-11-26,14:00,Aalesund,Egersund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p27NHXdC,EUROPA CHAMPIONS LEAGUE,LEAGUE PHASE,2025-11-26,14:45,FC Copenhagen,Kairat Almaty,1.73,2.63,7.0,1.25,3.75,2.2,1.62,5.0,1.17,1.33,5.25,9.0,1.03,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,1.8,1.95,1.07,1.17,3.25,17.0,23.0,41.0,101.0,8.5,9.5,23.0,51.0,7.5,8.5,19.0,51.0,9.0,11.0,23.0,51.0,201.0
neNmvR8j,EUROPA CHAMPIONS LEAGUE,LEAGUE PHASE,2025-11-26,14:45,Pafos,Monaco,5.0,2.5,2.1,1.29,3.5,2.25,1.57,5.5,1.14,5.5,4.2,1.57,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,1.67,2.1,2.3,1.22,1.14,15.0,9.0,8.5,13.0,17.0,8.0,8.5,12.0,29.0,17.0,13.0,21.0,51.0,41.0,41.0,41.0,151.0
nNw1heqh,SWITZERLAND 1,ROUND 12,2025-11-26,15:00,Lugano,St. Gallen,2.6,2.4,3.6,1.29,3.5,2.25,1.57,5.5,1.14,2.01,3.6,3.25,1.03,15.0,1.17,5.0,1.6,2.3,2.38,1.53,4.33,1.2,1.5,2.5,1.33,1.29,1.73,15.0,15.0,19.0,34.0,11.0,7.0,12.0,23.0,12.0,9.0,11.0,26.0,21.0,15.0,21.0,34.0,101.0
rgReL4ET,SPAIN 2,ROUND 13,2025-11-26,15:00,Ceuta,Almeria,3.6,2.2,2.88,1.4,2.75,2.75,1.4,8.0,1.08,3.05,3.4,2.25,1.06,10.0,1.29,3.5,1.98,1.83,3.4,1.3,7.0,1.1,1.73,2.0,1.57,1.3,1.36,10.0,8.0,11.0,21.0,10.0,6.5,9.5,19.0,15.0,11.0,13.0,29.0,34.0,23.0,34.0,41.0,201.0
ENbJ6erK,ENGLAND 2,ROUND 17,2025-11-26,16:45,Sheffield Utd,Portsmouth,2.38,2.2,5.0,1.4,2.75,2.75,1.4,8.0,1.08,1.76,3.6,4.5,1.06,10.0,1.3,3.5,2.0,1.85,3.4,1.33,6.5,1.11,1.83,1.83,1.18,1.29,1.95,10.0,13.0,23.0,51.0,7.0,6.5,15.0,41.0,8.0,8.5,15.0,41.0,15.0,15.0,26.0,51.0,251.0
KdZ5AKWs,ENGLAND 2,ROUND 17,2025-11-26,16:45,Wrexham,Bristol City,3.2,2.1,3.4,1.4,2.75,3.0,1.36,8.0,1.08,2.45,3.3,2.75,1.06,9.5,1.33,3.4,2.05,1.8,3.5,1.3,7.0,1.1,1.73,2.0,1.4,1.33,1.5,9.5,9.0,13.0,29.0,8.5,6.0,11.0,23.0,12.0,10.0,13.0,34.0,23.0,21.0,29.0,51.0,251.0
8pzFeVZI,ENGLAND 2,ROUND 17,2025-11-26,16:45,Blackburn,QPR,2.75,2.1,4.0,1.4,2.75,3.0,1.36,8.0,1.08,2.1,3.4,3.3,1.06,10.0,1.33,3.4,2.05,1.8,3.5,1.3,7.0,1.1,1.8,1.91,1.33,1.3,1.67,9.5,9.5,17.0,34.0,7.5,6.5,12.0,26.0,10.0,9.0,15.0,34.0,21.0,17.0,29.0,51.0,251.0
lUvuqhjD,ENGLAND 2,ROUND 17,2025-11-26,16:45,Millwall,Sheffield Wed,2.25,2.2,5.5,1.4,2.75,2.75,1.4,8.0,1.08,1.62,3.75,5.25,1.06,10.0,1.3,3.5,2.0,1.85,3.4,1.33,6.5,1.11,1.83,1.83,1.17,1.25,2.15,10.0,13.0,26.0,51.0,6.5,7.0,17.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,301.0
